Commission Agent,Policy No,Premium transaction name,Policy Status,Applied Premium Date,Issued Date,Receive Policy date,Freelook,CUTOFF,Status,Premium Collected,FYC,RYC,Total Com
60001470,80008210,Premium Collection            ,IF,2024-01-08,2016-12-22,2016-12-25,2578.0,20240115,5,6437000.0,0.0,133000.0,133000.0
60001470,80009045,Single Premium Top-up         ,IF,2024-01-05,2017-01-12,2017-01-18,2554.0,20240115,5,2915000.0,0.0,29000.0,29000.0
60001894,80007404,Flex Prem Premium Collection  ,IF,2024-01-03,2016-11-29,2016-12-16,2587.0,20240115,5,1000000.0,0.0,10000.0,10000.0
60001911,80047063,Flex Prem Premium Collection  ,IF,2024-01-15,2019-07-24,2019-07-28,1633.0,20240115,5,3500000.0,0.0,140000.0,140000.0
60002599,80002454,Premium Collection            ,IF,2024-01-02,2016-04-05,2016-04-11,2836.0,20240115,5,18673000.0,0.0,384000.0,384000.0
60003427,80008506,Flex Prem Premium Collection  ,IF,2024-01-12,2016-12-27,2016-12-30,2573.0,20240115,5,5249000.0,0.0,55000.0,55000.0
60003542,80001378,Premium Collection            ,IF,2024-01-04,2015-12-31,2016-01-07,2931.0,20240115,5,11328000.0,0.0,227000.0,227000.0
60003542,80002175,Premium Collection            ,IF,2024-01-08,2016-03-22,2016-03-25,2853.0,20240115,5,3282000.0,0.0,68000.0,68000.0
60003542,80004616,Flex Prem Premium Collection  ,IF,2024-01-06,2016-07-30,2016-08-03,2722.0,20240115,5,4775000.0,0.0,48000.0,48000.0
60003542,80036542,Flex Prem Premium Collection  ,IF,2024-01-05,2019-01-07,2019-01-09,1833.0,20240115,5,48692000.0,0.0,644000.0,644000.0
60003542,80036542,Single Premium Top-up         ,IF,2024-01-08,2019-01-07,2019-01-09,1833.0,20240115,5,8493000.0,0.0,85000.0,85000.0
60003542,80058968,Flex Prem Premium Collection  ,IF,2024-01-05,2020-05-27,2020-06-04,1321.0,20240115,5,4351000.0,0.0,281000.0,281000.0
60003542,80058968,Single Premium Top-up         ,IF,2024-01-08,2020-05-27,2020-06-04,1321.0,20240115,5,1652000.0,0.0,50000.0,50000.0
60004720,80068569,Flex Prem Premium Collection  ,IF,2024-01-02,2020-12-09,2020-12-16,1126.0,20240115,5,15325000.0,0.0,920000.0,920000.0
60005097,80018707,Flex Prem Premium Collection  ,IF,2024-01-05,2017-12-25,2018-01-05,2202.0,20240115,5,3000000.0,0.0,37000.0,37000.0
60005229,80018333,Flex Prem Premium Collection  ,IF,2024-01-08,2017-12-25,2018-01-07,2200.0,20240115,5,6575000.0,0.0,74000.0,74000.0
60005229,80018333,Single Premium Top-up         ,IF,2024-01-09,2017-12-25,2018-01-07,2200.0,20240115,5,10425000.0,0.0,104000.0,104000.0
60005229,80022979,Flex Prem Premium Collection  ,IF,2024-01-05,2018-04-26,2018-05-09,2078.0,20240115,5,4090000.0,0.0,41000.0,41000.0
60005229,80022979,Full Contract Reversal        ,IF,2024-01-05,2018-04-26,2018-05-09,2078.0,20240115,5,-5023000.0,0.0,-50000.0,-50000.0
60005229,80024756,Flex Prem Premium Collection  ,IF,2024-01-03,2018-06-18,2018-06-20,2036.0,20240115,5,2287000.0,0.0,23000.0,23000.0
60005229,80024756,Single Premium Top-up         ,IF,2024-01-04,2018-06-18,2018-06-20,2036.0,20240115,5,2713000.0,0.0,27000.0,27000.0
60005229,80024758,Flex Prem Premium Collection  ,IF,2024-01-03,2018-06-18,2018-06-20,2036.0,20240115,5,5000000.0,0.0,50000.0,50000.0
60005229,80033723,Flex Prem Premium Collection  ,IF,2024-01-03,2018-11-30,2018-12-05,1868.0,20240115,5,1000000.0,0.0,10000.0,10000.0
60005229,80033788,Flex Prem Premium Collection  ,IF,2024-01-03,2018-11-28,2018-12-04,1869.0,20240115,5,1000000.0,0.0,10000.0,10000.0
60005229,80033829,Flex Prem Premium Collection  ,IF,2024-01-03,2018-11-28,2018-12-04,1869.0,20240115,5,1000000.0,0.0,10000.0,10000.0
60005229,80033998,Flex Prem Premium Collection  ,IF,2024-01-03,2018-11-29,2018-12-04,1869.0,20240115,5,1000000.0,0.0,10000.0,10000.0
60005229,80055271,Single Premium Top-up         ,IF,2024-01-05,2020-01-13,2020-01-16,1461.0,20240115,5,4866000.0,0.0,97000.0,97000.0
60005229,80061758,Flex Prem Premium Collection  ,IF,2024-01-08,2020-08-14,2020-08-20,1244.0,20240115,5,2000000.0,0.0,120000.0,120000.0
60005229,80078546,Premium Collection            ,IF,2024-01-05,2021-04-12,2021-04-19,1002.0,20240115,5,5347000.0,0.0,405000.0,405000.0
60005229,80089187,Premium Collection            ,IF,2024-01-13,2021-08-03,2021-08-20,879.0,20240115,5,2535000.0,0.0,200000.0,200000.0
60005229,80101689,Premium Collection            ,IF,2024-01-08,2022-01-12,2022-02-23,692.0,20240115,5,16468000.0,0.0,1194000.0,1194000.0
60005229,80102466,Premium Collection            ,IF,2024-01-11,2022-01-26,2022-02-17,698.0,20240115,5,8840000.0,0.0,640000.0,640000.0
60005229,80102473,Premium Collection            ,IF,2024-01-11,2022-01-26,2022-02-19,696.0,20240115,5,8017000.0,0.0,543000.0,543000.0
60005229,80130715,Premium Collection            ,IF,2024-01-08,2022-12-30,2023-01-08,373.0,20240115,5,15080000.0,0.0,1497000.0,1497000.0
60005397,80007078,Premium Collection            ,IF,2024-01-06,2016-11-08,2016-11-12,2621.0,20240115,5,7807000.0,0.0,161000.0,161000.0
60005410,80007566,Flex Prem Premium Collection  ,IF,2024-01-04,2016-11-30,2016-12-07,2596.0,20240115,5,7800000.0,0.0,78000.0,78000.0
60005410,80007566,Single Premium Top-up         ,IF,2024-01-05,2016-11-30,2016-12-07,2596.0,20240115,5,200000.0,0.0,2000.0,2000.0
60005526,80008140,Flex Prem Premium Collection  ,IF,2024-01-10,2016-12-23,2016-12-30,2573.0,20240115,5,7143000.0,0.0,71000.0,71000.0
60005526,80008140,Single Premium Top-up         ,IF,2024-01-11,2016-12-23,2016-12-30,2573.0,20240115,5,3550000.0,0.0,36000.0,36000.0
60005526,80009784,Flex Prem Premium Collection  ,IF,2024-01-08,2017-02-15,2017-02-17,2524.0,20240115,5,715000.0,0.0,7000.0,7000.0
60005648,80009051,Flex Prem Premium Collection  ,IF,2024-01-11,2017-01-04,2017-01-09,2563.0,20240115,5,8195000.0,0.0,82000.0,82000.0
60005648,80009051,Single Premium Top-up         ,IF,2024-01-12,2017-01-04,2017-01-09,2563.0,20240115,5,1146000.0,0.0,11000.0,11000.0
60005705,80004131,Premium Collection            ,IF,2024-01-12,2016-07-13,2016-07-15,2741.0,20240115,5,5490000.0,0.0,111000.0,111000.0
60005897,80003607,Premium Collection            ,IF,2024-01-05,2016-06-27,2016-06-29,2757.0,20240115,5,4447000.0,0.0,91000.0,91000.0
60005897,80007158,Premium Collection            ,IF,2024-01-11,2016-11-15,2016-11-19,2614.0,20240115,5,8177000.0,0.0,163000.0,163000.0
60005897,80009118,Flex Prem Premium Collection  ,IF,2024-01-11,2017-01-10,2017-01-16,2556.0,20240115,5,8734000.0,0.0,95000.0,95000.0
60005897,80101750,Premium Collection            ,IF,2024-01-11,2022-01-12,2022-01-17,729.0,20240115,5,6734000.0,0.0,487000.0,487000.0
60005947,80008845,Flex Prem Premium Collection  ,IF,2024-01-11,2016-12-29,2017-01-04,2568.0,20240115,5,2519000.0,0.0,25000.0,25000.0
60005947,80013506,Flex Prem Premium Collection  ,IF,2024-01-04,2017-07-24,2017-07-31,2360.0,20240115,5,2925000.0,0.0,29000.0,29000.0
60005947,80013506,Single Premium Top-up         ,IF,2024-01-11,2017-07-24,2017-07-31,2360.0,20240115,5,3071000.0,0.0,31000.0,31000.0
60006251,80008351,Premium Collection            ,IF,2024-01-05,2016-12-26,2016-12-31,2572.0,20240115,5,7432000.0,0.0,149000.0,149000.0
60006251,80009238,Flex Prem Premium Collection  ,IF,2024-01-12,2017-01-17,2017-01-24,2548.0,20240115,5,8085000.0,0.0,87000.0,87000.0
60006251,80009238,Single Premium Top-up         ,IF,2024-01-15,2017-01-17,2017-01-24,2548.0,20240115,5,1353000.0,0.0,14000.0,14000.0
60006251,80009264,Premium Collection            ,IF,2024-01-13,2017-01-16,2017-01-19,2553.0,20240115,5,8559000.0,0.0,172000.0,172000.0
60006251,80011766,Flex Prem Premium Collection  ,IF,2024-01-08,2017-05-31,2017-06-02,2419.0,20240115,5,1839000.0,0.0,18000.0,18000.0
60006559,80018632,Flex Prem Premium Collection  ,IF,2024-01-11,2017-12-23,2017-12-26,2212.0,20240115,5,8502000.0,0.0,91000.0,91000.0
60006786,80132091,Premium Collection            ,IF,2024-01-15,2023-01-17,2023-01-31,350.0,20240115,5,10223000.0,0.0,971000.0,971000.0
60006894,80009243,Premium Collection            ,IF,2024-01-14,2017-01-16,2017-01-19,2553.0,20240115,5,5699000.0,0.0,114000.0,114000.0
60006894,80101529,Premium Collection            ,IF,2024-01-05,2022-01-05,2022-01-10,736.0,20240115,5,18658000.0,0.0,1362000.0,1362000.0
60006914,80009153,Premium Collection            ,IF,2024-01-10,2017-01-12,2017-01-16,2556.0,20240115,5,6628000.0,0.0,133000.0,133000.0
60006926,80009093,Flex Prem Premium Collection  ,IF,2024-01-12,2017-01-06,2017-01-10,2562.0,20240115,5,5519000.0,0.0,58000.0,58000.0
60006926,80019390,Flex Prem Premium Collection  ,IF,2024-01-08,2018-01-11,2018-01-16,2191.0,20240115,5,4390000.0,0.0,46000.0,46000.0
60007095,80008578,Flex Prem Premium Collection  ,IF,2024-01-15,2016-12-28,2017-01-03,2569.0,20240115,5,8258000.0,0.0,86000.0,86000.0
60007165,80009114,Premium Collection            ,IF,2024-01-11,2017-01-09,2017-01-16,2556.0,20240115,5,5378000.0,0.0,111000.0,111000.0
60007492,80055293,Single Premium Top-up         ,IF,2024-01-02,2020-01-03,2020-01-10,1467.0,20240115,5,4806000.0,0.0,96000.0,96000.0
60007595,80009112,Premium Collection            ,IF,2024-01-11,2017-01-19,2017-01-24,2548.0,20240115,5,8456000.0,0.0,169000.0,169000.0
60007702,80009267,Premium Collection            ,IF,2024-01-05,2017-01-17,2017-01-19,2553.0,20240115,5,936000.0,0.0,19000.0,19000.0
60007710,80009194,Flex Prem Premium Collection  ,IF,2024-01-15,2017-01-13,2017-01-23,2549.0,20240115,5,7237000.0,0.0,75000.0,75000.0
60007710,80012599,Flex Prem Premium Collection  ,IF,2024-01-05,2017-06-20,2017-06-24,2397.0,20240115,5,2080000.0,0.0,22000.0,22000.0
60007717,80009187,Flex Prem Premium Collection  ,IF,2024-01-15,2017-01-12,2017-01-23,2549.0,20240115,5,11019000.0,0.0,110000.0,110000.0
60007717,80009204,Flex Prem Premium Collection  ,IF,2024-01-12,2017-01-13,2017-01-23,2549.0,20240115,5,8712000.0,0.0,90000.0,90000.0
60007717,80009210,Flex Prem Premium Collection  ,IF,2024-01-12,2017-01-13,2017-01-23,2549.0,20240115,5,7494000.0,0.0,80000.0,80000.0
60007717,80009210,Single Premium Top-up         ,IF,2024-01-15,2017-01-13,2017-01-23,2549.0,20240115,5,187000.0,0.0,2000.0,2000.0
60007834,80012542,Flex Prem Premium Collection  ,IF,2024-01-03,2017-06-16,2017-06-21,2400.0,20240115,5,5219000.0,0.0,52000.0,52000.0
60007834,80013122,Single Premium Top-up         ,IF,2024-01-09,2017-06-27,2017-07-02,2389.0,20240115,5,2405000.0,0.0,24000.0,24000.0
60008144,80013433,Flex Prem Premium Collection  ,IF,2024-01-12,2017-07-17,2017-07-28,2363.0,20240115,5,1284000.0,0.0,13000.0,13000.0
60008144,80013433,Flex Prem Premium Collection  ,IF,2024-01-14,2017-07-17,2017-07-28,2363.0,20240115,5,731000.0,0.0,14000.0,14000.0
60008144,80013433,Single Premium Top-up         ,IF,2024-01-15,2017-07-17,2017-07-28,2363.0,20240115,5,3731000.0,0.0,37000.0,37000.0
60008299,80011895,Flex Prem Premium Collection  ,IF,2024-01-02,2017-05-23,2017-06-02,2419.0,20240115,5,3375000.0,0.0,34000.0,34000.0
60008299,80011895,Single Premium Top-up         ,IF,2024-01-03,2017-05-23,2017-06-02,2419.0,20240115,5,3599000.0,0.0,36000.0,36000.0
60008316,80013020,Flex Prem Premium Collection  ,IF,2024-01-11,2017-06-26,2017-06-30,2391.0,20240115,5,2729000.0,0.0,31000.0,31000.0
60008316,80013020,Single Premium Top-up         ,IF,2024-01-12,2017-06-26,2017-06-30,2391.0,20240115,5,1946000.0,0.0,19000.0,19000.0
60008398,80016979,Flex Prem Premium Collection  ,IF,2024-01-03,2017-11-09,2017-11-13,2255.0,20240115,5,6221000.0,0.0,72000.0,72000.0
60008439,80012009,Flex Prem Premium Collection  ,IF,2024-01-03,2017-05-24,2017-05-31,2421.0,20240115,5,2203000.0,0.0,23000.0,23000.0
60008439,80012009,Single Premium Top-up         ,IF,2024-01-04,2017-05-24,2017-05-31,2421.0,20240115,5,1896000.0,0.0,19000.0,19000.0
60008439,80018390,Flex Prem Premium Collection  ,IF,2024-01-03,2017-12-20,2017-12-25,2213.0,20240115,5,1000000.0,0.0,10000.0,10000.0
60008440,80019424,Flex Prem Premium Collection  ,IF,2024-01-15,2018-01-17,2018-01-19,2188.0,20240115,5,8810000.0,0.0,88000.0,88000.0
60008440,80025828,Flex Prem Premium Collection  ,IF,2024-01-08,2018-06-28,2018-07-06,2020.0,20240115,5,2046000.0,0.0,20000.0,20000.0
60008440,80025828,Single Premium Top-up         ,IF,2024-01-09,2018-06-28,2018-07-06,2020.0,20240115,5,1004000.0,0.0,10000.0,10000.0
60008440,80052328,Flex Prem Premium Collection  ,IF,2024-01-03,2019-11-11,2019-11-13,1525.0,20240115,5,6108000.0,0.0,244000.0,244000.0
60008440,80055333,Flex Prem Premium Collection  ,IF,2024-01-05,2020-01-07,2020-01-09,1468.0,20240115,5,5188000.0,0.0,208000.0,208000.0
60008637,80020520,Flex Prem Premium Collection  ,IF,2024-01-09,2018-02-23,2018-02-28,2148.0,20240115,5,1916000.0,0.0,19000.0,19000.0
60008698,80011858,Flex Prem Premium Collection  ,IF,2024-01-15,2017-05-22,2017-05-24,2428.0,20240115,5,3430000.0,0.0,34000.0,34000.0
60008718,80013326,Flex Prem Premium Collection  ,IF,2024-01-12,2017-07-04,2017-07-11,2380.0,20240115,5,199000.0,0.0,2000.0,2000.0
60008718,80013326,Single Premium Top-up         ,IF,2024-01-15,2017-07-04,2017-07-11,2380.0,20240115,5,4415000.0,0.0,44000.0,44000.0
60008806,80013421,Flex Prem Premium Collection  ,IF,2024-01-11,2017-07-14,2017-07-20,2371.0,20240115,5,1961000.0,0.0,20000.0,20000.0
60008806,80013421,Flex Prem Premium Collection  ,IF,2024-01-14,2017-07-14,2017-07-20,2371.0,20240115,5,231000.0,0.0,5000.0,5000.0
60008806,80013421,Single Premium Top-up         ,IF,2024-01-12,2017-07-14,2017-07-20,2371.0,20240115,5,2448000.0,0.0,24000.0,24000.0
60008893,80019156,Flex Prem Premium Collection  ,IF,2024-01-09,2017-12-27,2018-01-07,2200.0,20240115,5,8040000.0,0.0,80000.0,80000.0
60008928,80012634,Flex Prem Premium Collection  ,IF,2024-01-02,2017-06-21,2017-06-29,2392.0,20240115,5,503000.0,0.0,10000.0,10000.0
60008928,80012634,Single Premium Top-up         ,IF,2024-01-03,2017-06-21,2017-06-29,2392.0,20240115,5,6535000.0,0.0,65000.0,65000.0
60008930,80101706,Premium Collection            ,IF,2024-01-08,2022-01-26,2022-02-19,696.0,20240115,5,10053000.0,0.0,737000.0,737000.0
60008953,80019359,Flex Prem Premium Collection  ,IF,2024-01-08,2018-01-04,2018-01-12,2195.0,20240115,5,5542000.0,0.0,87000.0,87000.0
60008955,80007383,Component change - prem coll  ,IF,2024-01-11,2016-11-28,2016-12-06,2597.0,20240115,5,892000.0,339000.0,0.0,339000.0
60008955,80019355,Flex Prem Premium Collection  ,IF,2024-01-02,2018-01-04,2018-01-09,2198.0,20240115,5,3950000.0,0.0,40000.0,40000.0
60009026,80013458,Flex Prem Premium Collection  ,IF,2024-01-15,2017-07-20,2017-07-23,2368.0,20240115,5,2122000.0,0.0,21000.0,21000.0
60009098,80071822,Flex Prem Premium Collection  ,IF,2024-01-07,2021-01-08,2021-01-19,1092.0,20240115,5,10247000.0,0.0,615000.0,615000.0
60009139,80017169,Flex Prem Premium Collection  ,IF,2024-01-04,2017-11-20,2017-11-24,2244.0,20240115,5,3000000.0,0.0,30000.0,30000.0
60009139,80103446,Premium Collection            ,IF,2024-01-09,2022-02-11,2022-02-15,700.0,20240115,5,6301000.0,0.0,605000.0,605000.0
60009335,80035677,Flex Prem Premium Collection  ,IF,2024-01-12,2018-12-25,2018-12-28,1845.0,20240115,5,8334000.0,0.0,83000.0,83000.0
60009335,80054964,Flex Prem Premium Collection  ,IF,2024-01-10,2019-12-30,2020-01-07,1470.0,20240115,5,10219000.0,0.0,413000.0,413000.0
60009348,80054052,Flex Prem Premium Collection  ,IF,2024-01-10,2019-12-30,2020-01-06,1471.0,20240115,5,1000000.0,0.0,40000.0,40000.0
60009428,80012650,Flex Prem Premium Collection  ,IF,2024-01-15,2017-06-21,2017-06-25,2396.0,20240115,5,4000000.0,0.0,40000.0,40000.0
60009490,80098566,Premium Collection            ,IF,2024-01-12,2021-12-29,2022-01-08,738.0,20240115,5,24006000.0,0.0,1965000.0,1965000.0
60009588,80013638,Flex Prem Premium Collection  ,IF,2024-01-08,2017-07-24,2017-07-31,2360.0,20240115,5,3295000.0,0.0,33000.0,33000.0
60009597,80015294,Flex Prem Premium Collection  ,IF,2024-01-03,2017-09-18,2017-09-21,2308.0,20240115,5,1000000.0,0.0,10000.0,10000.0
60009597,80015339,Flex Prem Premium Collection  ,IF,2024-01-04,2017-09-19,2017-09-22,2307.0,20240115,5,2067000.0,0.0,21000.0,21000.0
60009597,80015339,Single Premium Top-up         ,IF,2024-01-04,2017-09-19,2017-09-22,2307.0,20240115,5,2933000.0,0.0,29000.0,29000.0
60009597,80071796,Flex Prem Premium Collection  ,IF,2024-01-07,2021-01-08,2021-01-13,1098.0,20240115,5,5000000.0,0.0,301000.0,301000.0
60009601,80067156,Flex Prem Premium Collection  ,IF,2024-01-03,2020-11-28,2020-12-02,1140.0,20240115,5,7974000.0,0.0,478000.0,478000.0
60009601,80067156,Single Premium Top-up         ,IF,2024-01-04,2020-11-28,2020-12-02,1140.0,20240115,5,500000.0,0.0,15000.0,15000.0
60009611,80013183,Flex Prem Premium Collection  ,IF,2024-01-15,2017-06-27,2017-07-01,2390.0,20240115,5,8000000.0,0.0,80000.0,80000.0
60009611,80014353,Flex Prem Premium Collection  ,IF,2024-01-15,2017-08-18,2017-08-22,2338.0,20240115,5,8000000.0,0.0,80000.0,80000.0
60009632,80018374,Component change - prem coll  ,IF,2024-01-05,2018-01-12,2018-01-19,2188.0,20240115,5,4205000.0,1522000.0,0.0,1522000.0
60009632,80018374,Full Contract Reversal        ,IF,2024-01-05,2018-01-12,2018-01-19,2188.0,20240115,5,-4201000.0,0.0,-42000.0,-42000.0
60009754,80014028,Flex Prem Premium Collection  ,IF,2024-01-09,2017-08-21,2017-08-24,2336.0,20240115,5,1000000.0,0.0,10000.0,10000.0
60009764,80016578,Single Premium Top-up         ,IF,2024-01-12,2017-10-25,2017-11-04,2264.0,20240115,5,2800000.0,0.0,28000.0,28000.0
60009794,80052300,Flex Prem Premium Collection  ,IF,2024-01-02,2019-11-06,2019-11-10,1528.0,20240115,5,4762000.0,0.0,190000.0,190000.0
60009800,80046821,Flex Prem Premium Collection  ,IF,2024-01-15,2019-07-22,2019-07-26,1635.0,20240115,5,6250000.0,0.0,250000.0,250000.0
60009815,80019392,Flex Prem Premium Collection  ,IF,2024-01-09,2018-01-09,2018-01-16,2191.0,20240115,5,6100000.0,0.0,61000.0,61000.0
60009815,80019393,Flex Prem Premium Collection  ,IF,2024-01-09,2018-01-09,2018-01-16,2191.0,20240115,5,5000000.0,0.0,50000.0,50000.0
60009925,80014014,Flex Prem Premium Collection  ,IF,2024-01-03,2017-07-31,2017-08-02,2358.0,20240115,5,3880000.0,0.0,39000.0,39000.0
60009998,80013579,Flex Prem Premium Collection  ,IF,2024-01-05,2017-07-22,2017-07-31,2360.0,20240115,5,2938000.0,0.0,29000.0,29000.0
60010007,80019577,Flex Prem Premium Collection  ,IF,2024-01-15,2018-01-29,2018-02-07,2169.0,20240115,5,9133000.0,0.0,103000.0,103000.0
60010102,80019454,Flex Prem Premium Collection  ,IF,2024-01-12,2018-01-16,2018-01-19,2188.0,20240115,5,8421000.0,0.0,97000.0,97000.0
60010102,80019454,Single Premium Top-up         ,IF,2024-01-15,2018-01-16,2018-01-19,2188.0,20240115,5,2933000.0,0.0,29000.0,29000.0
60010314,80055753,Flex Prem Premium Collection  ,IF,2024-01-14,2020-02-05,2020-02-08,1438.0,20240115,5,15288000.0,0.0,612000.0,612000.0
60010412,80041080,Flex Prem Premium Collection  ,IF,2024-01-03,2019-03-29,2019-04-09,1743.0,20240115,5,1000000.0,0.0,40000.0,40000.0
60010424,80017227,Flex Prem Premium Collection  ,IF,2024-01-15,2017-11-21,2017-11-23,2245.0,20240115,5,8696000.0,0.0,87000.0,87000.0
60010560,80032928,Flex Prem Premium Collection  ,IF,2024-01-15,2018-11-25,2018-12-01,1872.0,20240115,5,5340000.0,0.0,58000.0,58000.0
60010560,80032938,Flex Prem Premium Collection  ,IF,2024-01-15,2018-11-20,2018-11-27,1876.0,20240115,5,5516000.0,0.0,55000.0,55000.0
60010810,80017253,Flex Prem Premium Collection  ,IF,2024-01-12,2017-11-22,2017-11-25,2243.0,20240115,5,5754000.0,0.0,63000.0,63000.0
60010810,80017253,Single Premium Top-up         ,IF,2024-01-15,2017-11-22,2017-11-25,2243.0,20240115,5,1269000.0,0.0,13000.0,13000.0
60010810,80019470,Flex Prem Premium Collection  ,IF,2024-01-15,2018-01-18,2018-01-25,2182.0,20240115,5,15789000.0,0.0,158000.0,158000.0
60010828,80019504,Flex Prem Premium Collection  ,IF,2024-01-15,2018-01-16,2018-01-20,2187.0,20240115,5,5304000.0,0.0,56000.0,56000.0
60010833,80015499,Flex Prem Premium Collection  ,IF,2024-01-15,2017-09-23,2017-09-28,2301.0,20240115,5,1000000.0,0.0,10000.0,10000.0
60010896,80018611,Flex Prem Premium Collection  ,IF,2024-01-03,2017-12-25,2018-01-08,2199.0,20240115,5,6131000.0,0.0,63000.0,63000.0
60010896,80018611,Single Premium Top-up         ,IF,2024-01-04,2017-12-25,2018-01-08,2199.0,20240115,5,333000.0,0.0,3000.0,3000.0
60010957,80017958,Flex Prem Premium Collection  ,IF,2024-01-02,2017-12-04,2017-12-14,2224.0,20240115,5,3555000.0,0.0,37000.0,37000.0
60011016,80019494,Flex Prem Premium Collection  ,IF,2024-01-15,2018-01-15,2018-01-21,2186.0,20240115,5,138000.0,0.0,1000.0,1000.0
60011043,80015718,Flex Prem Premium Collection  ,IF,2024-01-08,2017-09-25,2017-10-10,2289.0,20240115,5,4466000.0,0.0,45000.0,45000.0
60011125,80009143,Flex Prem Premium Collection  ,IF,2024-01-11,2017-01-11,2017-01-17,2555.0,20240115,5,2500000.0,0.0,25000.0,25000.0
60011125,80009143,Single Premium Top-up         ,IF,2024-01-15,2017-01-11,2017-01-17,2555.0,20240115,5,3500000.0,0.0,35000.0,35000.0
60011125,80009239,Flex Prem Premium Collection  ,IF,2024-01-03,2017-01-16,2017-01-22,2550.0,20240115,5,581000.0,0.0,6000.0,6000.0
60011125,80009239,Flex Prem Premium Collection  ,IF,2024-01-04,2017-01-16,2017-01-22,2550.0,20240115,5,581000.0,0.0,6000.0,6000.0
60011125,80009239,Flex Prem Premium Collection  ,IF,2024-01-05,2017-01-16,2017-01-22,2550.0,20240115,5,581000.0,0.0,6000.0,6000.0
60011125,80009239,Flex Prem Premium Collection  ,IF,2024-01-06,2017-01-16,2017-01-22,2550.0,20240115,5,581000.0,0.0,6000.0,6000.0
60011125,80009239,Flex Prem Premium Collection  ,IF,2024-01-07,2017-01-16,2017-01-22,2550.0,20240115,5,581000.0,0.0,6000.0,6000.0
60011125,80009239,Flex Prem Premium Collection  ,IF,2024-01-08,2017-01-16,2017-01-22,2550.0,20240115,5,581000.0,0.0,6000.0,6000.0
60011125,80009239,Flex Prem Premium Collection  ,IF,2024-01-09,2017-01-16,2017-01-22,2550.0,20240115,5,581000.0,0.0,6000.0,6000.0
60011125,80009239,Flex Prem Premium Collection  ,IF,2024-01-10,2017-01-16,2017-01-22,2550.0,20240115,5,1514000.0,0.0,21000.0,21000.0
60011234,80058813,Flex Prem Premium Collection  ,IF,2024-01-12,2020-05-27,2020-06-15,1310.0,20240115,5,5000000.0,0.0,320000.0,320000.0
60011319,80017336,Flex Prem Premium Collection  ,IF,2024-01-04,2017-11-23,2017-12-13,2225.0,20240115,5,4000000.0,0.0,40000.0,40000.0
60011319,80018973,Flex Prem Premium Collection  ,IF,2024-01-05,2017-12-27,2018-01-09,2198.0,20240115,5,8000000.0,0.0,80000.0,80000.0
