,Commission Agent,Policy No,Premium transaction name,Policy Status,Applied Premium Date,CheckTer,Issued Date,Receive Policy date,Freelook,CUTOFF,Premium Collected,FYC,RYC,Status
24,60000727,80060438,Flex Prem Premium Collection  ,IF,2024-01-02,,2020-06-29,2020-07-10,1285.0,20240115,3590000.0,0.0,211000.0,5
25,60000727,80060438,Flex Prem Premium Collection  ,IF,2024-01-02,,2020-06-29,2020-07-10,1296.0,20240126,3590000.0,0.0,211000.0,5
26,60000727,80060444,Flex Prem Premium Collection  ,IF,2024-01-02,,2020-06-29,2020-07-10,1285.0,20240115,3364000.0,0.0,208000.0,5
27,60000727,80060444,Flex Prem Premium Collection  ,IF,2024-01-02,,2020-06-29,2020-07-10,1296.0,20240126,3364000.0,0.0,208000.0,5
28,60000727,80068604,Flex Prem Premium Collection  ,IF,2024-01-26,,2020-12-10,2020-12-19,1134.0,20240126,6200000.0,0.0,373000.0,5
29,60000908,80102253,Premium Collection            ,IF,2024-01-16,,2022-01-27,2022-02-09,717.0,20240126,16556000.0,0.0,1273000.0,5
30,60001006,80001339,Premium Collection            ,IF,2024-01-24,,2015-12-25,2015-12-30,2950.0,20240126,4199000.0,0.0,86000.0,5
31,60001042,80008752,Premium Collection            ,IF,2024-01-25,,2016-12-29,2017-01-02,2581.0,20240126,7460000.0,0.0,151000.0,5
32,60001194,80002559,Premium Collection            ,IF,2024-01-14,,2016-04-15,2016-04-25,2822.0,20240115,2543000.0,0.0,52000.0,5
33,60001194,80002559,Premium Collection            ,IF,2024-01-14,,2016-04-15,2016-04-25,2833.0,20240126,2543000.0,0.0,52000.0,5
34,60001255,80008668,Flex Prem Premium Collection  ,IF,2024-01-08,,2016-12-28,2017-01-03,2569.0,20240115,3000000.0,0.0,30000.0,5
35,60001255,80008668,Flex Prem Premium Collection  ,IF,2024-01-08,,2016-12-28,2017-01-03,2580.0,20240126,3000000.0,0.0,30000.0,5
36,60001255,80009245,Flex Prem Premium Collection  ,IF,2024-01-14,,2017-01-19,2017-01-24,2548.0,20240115,3151000.0,0.0,32000.0,5
37,60001255,80009245,Flex Prem Premium Collection  ,IF,2024-01-14,,2017-01-19,2017-01-24,2559.0,20240126,3151000.0,0.0,32000.0,5
38,60001457,80000227,Premium Collection            ,IF,2024-01-09,,2014-11-13,2014-11-16,3348.0,20240115,2733000.0,0.0,55000.0,5
39,60001457,80000227,Premium Collection            ,IF,2024-01-09,,2014-11-13,2014-11-16,3359.0,20240126,2733000.0,0.0,55000.0,5
40,60001457,80000584,Premium Collection            ,IF,2024-01-22,,2015-08-27,2015-08-29,3073.0,20240126,4003000.0,0.0,80000.0,5
41,60001457,80000748,Premium Collection            ,IF,2024-01-25,,2015-09-28,2015-09-30,3041.0,20240126,3485000.0,0.0,71000.0,5
42,60001457,80001715,Premium Collection            ,IF,2024-01-23,,2016-01-25,2016-01-27,2922.0,20240126,10718000.0,0.0,222000.0,5
43,60001457,80004179,Premium Collection            ,IF,2024-01-24,,2016-07-22,2016-07-28,2739.0,20240126,3167000.0,0.0,65000.0,5
44,60001457,80007951,Flex Prem Premium Collection  ,IF,2024-01-15,,2016-12-09,2016-12-20,2583.0,20240115,7262000.0,0.0,85000.0,5
45,60001457,80007951,Flex Prem Premium Collection  ,IF,2024-01-15,,2016-12-09,2016-12-20,2594.0,20240126,7262000.0,0.0,85000.0,5
46,60001457,80007951,Single Premium Top-up         ,IF,2024-01-16,,2016-12-09,2016-12-20,2594.0,20240126,1490000.0,0.0,15000.0,5
47,60001457,80008448,Premium Collection            ,IF,2024-01-02,,2016-12-27,2016-12-30,2573.0,20240115,4012000.0,0.0,80000.0,5
48,60001457,80008448,Premium Collection            ,IF,2024-01-02,,2016-12-27,2016-12-30,2584.0,20240126,4012000.0,0.0,80000.0,5
49,60001457,80008678,Premium Collection            ,IF,2024-01-15,,2016-12-28,2017-01-03,2569.0,20240115,6150000.0,0.0,127000.0,5
50,60001457,80008678,Premium Collection            ,IF,2024-01-15,,2016-12-28,2017-01-03,2580.0,20240126,6150000.0,0.0,127000.0,5
51,60001457,80008991,Flex Prem Premium Collection  ,IF,2024-01-15,,2017-01-03,2017-01-05,2567.0,20240115,5702000.0,0.0,59000.0,5
52,60001457,80008991,Flex Prem Premium Collection  ,IF,2024-01-15,,2017-01-03,2017-01-05,2578.0,20240126,5702000.0,0.0,59000.0,5
53,60001457,80008991,Single Premium Top-up         ,IF,2024-01-16,,2017-01-03,2017-01-05,2578.0,20240126,2753000.0,0.0,28000.0,5
54,60001457,80014517,Component change - prem coll  ,IF,2024-01-08,,2017-08-23,2017-08-28,2332.0,20240115,1253000.0,451000.0,0.0,5
55,60001457,80014517,Component change - prem coll  ,IF,2024-01-08,,2017-08-23,2017-08-28,2343.0,20240126,1253000.0,451000.0,0.0,5
56,60001457,80018065,Flex Prem Premium Collection  ,IF,2024-01-18,,2017-12-21,2017-12-27,2222.0,20240126,28101000.0,0.0,317000.0,5
57,60001457,80018065,Single Premium Top-up         ,IF,2024-01-19,,2017-12-21,2017-12-27,2222.0,20240126,11056000.0,0.0,111000.0,5
58,60001457,80018080,Flex Prem Premium Collection  ,IF,2024-01-18,,2017-12-20,2017-12-27,2222.0,20240126,18383000.0,0.0,212000.0,5
59,60001457,80018080,Single Premium Top-up         ,IF,2024-01-19,,2017-12-20,2017-12-27,2222.0,20240126,10984000.0,0.0,110000.0,5
60,60001457,80026547,Flex Prem Premium Collection  ,IF,2024-01-22,,2018-07-24,2018-07-31,2006.0,20240126,2764000.0,0.0,28000.0,5
61,60001457,80026547,Single Premium Top-up         ,IF,2024-01-25,,2018-07-24,2018-07-31,2006.0,20240126,1749000.0,0.0,17000.0,5
62,60001457,80055868,Flex Prem Premium Collection  ,IF,2024-01-16,,2020-02-06,2020-02-19,1438.0,20240126,10294000.0,0.0,412000.0,5
63,60001457,80055868,Single Premium Top-up         ,IF,2024-01-17,,2020-02-06,2020-02-19,1438.0,20240126,1206000.0,0.0,24000.0,5
64,60001470,80001330,Premium Collection            ,IF,2024-01-08,,2015-12-23,2015-12-26,2943.0,20240115,7449000.0,0.0,149000.0,5
65,60001470,80001330,Premium Collection            ,IF,2024-01-08,,2015-12-23,2015-12-26,2954.0,20240126,7449000.0,0.0,149000.0,5
66,60001470,80001331,Premium Collection            ,IF,2024-01-08,,2015-12-23,2015-12-26,2943.0,20240115,7523000.0,0.0,150000.0,5
67,60001470,80001331,Premium Collection            ,IF,2024-01-08,,2015-12-23,2015-12-26,2954.0,20240126,7523000.0,0.0,150000.0,5
68,60001470,80008210,Premium Collection            ,IF,2024-01-08,,2016-12-22,2016-12-25,2578.0,20240115,6437000.0,0.0,133000.0,5
69,60001470,80008210,Premium Collection            ,IF,2024-01-08,,2016-12-22,2016-12-25,2589.0,20240126,6437000.0,0.0,133000.0,5
70,60001470,80009045,Single Premium Top-up         ,IF,2024-01-05,,2017-01-12,2017-01-18,2554.0,20240115,2915000.0,0.0,29000.0,5
71,60001470,80009045,Single Premium Top-up         ,IF,2024-01-05,,2017-01-12,2017-01-18,2565.0,20240126,2915000.0,0.0,29000.0,5
72,60001479,80007905,Flex Prem Premium Collection  ,IF,2024-01-23,,2016-12-09,2016-12-13,2601.0,20240126,8084000.0,0.0,81000.0,5
73,60001479,80007905,Single Premium Top-up         ,IF,2024-01-24,,2016-12-09,2016-12-13,2601.0,20240126,6834000.0,0.0,68000.0,5
74,60001894,80007404,Flex Prem Premium Collection  ,IF,2024-01-03,,2016-11-29,2016-12-16,2587.0,20240115,1000000.0,0.0,10000.0,5
75,60001894,80007404,Flex Prem Premium Collection  ,IF,2024-01-03,,2016-11-29,2016-12-16,2598.0,20240126,1000000.0,0.0,10000.0,5
76,60001911,80022240,Flex Prem Premium Collection  ,IF,2024-01-17,,2018-04-17,2018-04-20,2108.0,20240126,3000000.0,0.0,30000.0,5
77,60001911,80047063,Flex Prem Premium Collection  ,IF,2024-01-15,,2019-07-24,2019-07-28,1633.0,20240115,3500000.0,0.0,140000.0,5
78,60001911,80047063,Flex Prem Premium Collection  ,IF,2024-01-15,,2019-07-24,2019-07-28,1644.0,20240126,3500000.0,0.0,140000.0,5
79,60002084,80009465,Flex Prem Premium Collection  ,IF,2024-01-18,,2017-01-19,2017-02-04,2548.0,20240126,12614000.0,0.0,126000.0,5
80,60002523,80004711,Flex Prem Premium Collection  ,IF,2024-01-18,,2016-08-05,2016-08-11,2725.0,20240126,2167000.0,0.0,22000.0,5
81,60002599,80002454,Premium Collection            ,IF,2024-01-02,,2016-04-05,2016-04-11,2836.0,20240115,18673000.0,0.0,384000.0,5
82,60002599,80002454,Premium Collection            ,IF,2024-01-02,,2016-04-05,2016-04-11,2847.0,20240126,18673000.0,0.0,384000.0,5
83,60002860,80003061,Premium Collection            ,IF,2024-01-25,,2016-05-27,2016-05-31,2797.0,20240126,6837000.0,0.0,139000.0,5
84,60003286,80035048,Flex Prem Premium Collection  ,IF,2024-01-22,,2018-12-20,2018-12-25,1859.0,20240126,4035000.0,0.0,40000.0,5
85,60003412,80016492,Flex Prem Premium Collection  ,IF,2024-01-23,,2017-10-24,2017-11-07,2272.0,20240126,2934000.0,0.0,29000.0,5
86,60003412,80016492,Flex Prem Premium Collection  ,IF,2024-01-24,,2017-10-24,2017-11-07,2272.0,20240126,84000.0,0.0,2000.0,5
87,60003427,80008506,Flex Prem Premium Collection  ,IF,2024-01-12,,2016-12-27,2016-12-30,2573.0,20240115,5249000.0,0.0,55000.0,5
88,60003427,80008506,Flex Prem Premium Collection  ,IF,2024-01-12,,2016-12-27,2016-12-30,2584.0,20240126,5249000.0,0.0,55000.0,5
89,60003542,80001050,Premium Collection            ,IF,2024-01-22,,2015-11-30,2015-12-08,2972.0,20240126,9244000.0,0.0,185000.0,5
90,60003542,80001205,Premium Collection            ,IF,2024-01-26,,2015-11-30,2015-12-05,2975.0,20240126,23322000.0,0.0,466000.0,5
91,60003542,80001378,Premium Collection            ,IF,2024-01-04,,2015-12-31,2016-01-07,2931.0,20240115,11328000.0,0.0,227000.0,5
92,60003542,80001378,Premium Collection            ,IF,2024-01-04,,2015-12-31,2016-01-07,2942.0,20240126,11328000.0,0.0,227000.0,5
93,60003542,80002175,Premium Collection            ,IF,2024-01-08,,2016-03-22,2016-03-25,2853.0,20240115,3282000.0,0.0,68000.0,5
94,60003542,80002175,Premium Collection            ,IF,2024-01-08,,2016-03-22,2016-03-25,2864.0,20240126,3282000.0,0.0,68000.0,5
95,60003542,80004616,Flex Prem Premium Collection  ,IF,2024-01-06,,2016-07-30,2016-08-03,2722.0,20240115,4775000.0,0.0,48000.0,5
96,60003542,80004616,Flex Prem Premium Collection  ,IF,2024-01-06,,2016-07-30,2016-08-03,2733.0,20240126,4775000.0,0.0,48000.0,5
97,60003542,80007481,Premium Collection            ,IF,2024-01-16,,2016-11-29,2016-12-07,2607.0,20240126,11017000.0,0.0,225000.0,5
98,60003542,80009534,Premium Collection            ,IF,2024-01-19,,2017-01-19,2017-02-04,2548.0,20240126,8801000.0,0.0,180000.0,5
99,60003542,80010174,Premium Collection            ,IF,2024-01-25,,2017-02-27,2017-03-08,2516.0,20240126,4689000.0,0.0,94000.0,5
100,60003542,80010189,Flex Prem Premium Collection  ,IF,2024-01-25,,2017-02-27,2017-03-08,2516.0,20240126,3473000.0,0.0,35000.0,5
101,60003542,80036542,Flex Prem Premium Collection  ,IF,2024-01-05,,2019-01-07,2019-01-09,1833.0,20240115,48692000.0,0.0,644000.0,5
102,60003542,80036542,Flex Prem Premium Collection  ,IF,2024-01-05,,2019-01-07,2019-01-09,1844.0,20240126,48692000.0,0.0,644000.0,5
103,60003542,80036542,Single Premium Top-up         ,IF,2024-01-08,,2019-01-07,2019-01-09,1833.0,20240115,8493000.0,0.0,85000.0,5
104,60003542,80036542,Single Premium Top-up         ,IF,2024-01-08,,2019-01-07,2019-01-09,1844.0,20240126,8493000.0,0.0,85000.0,5
105,60003542,80058968,Flex Prem Premium Collection  ,IF,2024-01-05,,2020-05-27,2020-06-04,1321.0,20240115,4351000.0,0.0,281000.0,5
106,60003542,80058968,Flex Prem Premium Collection  ,IF,2024-01-05,,2020-05-27,2020-06-04,1332.0,20240126,4351000.0,0.0,281000.0,5
107,60003542,80058968,Single Premium Top-up         ,IF,2024-01-08,,2020-05-27,2020-06-04,1321.0,20240115,1652000.0,0.0,50000.0,5
108,60003542,80058968,Single Premium Top-up         ,IF,2024-01-08,,2020-05-27,2020-06-04,1332.0,20240126,1652000.0,0.0,50000.0,5
109,60003905,80014783,Flex Prem Premium Collection  ,IF,2024-01-23,,2017-08-26,2017-09-01,2339.0,20240126,774000.0,0.0,8000.0,5
110,60004432,80009578,Flex Prem Premium Collection  ,IF,2024-01-19,,2017-01-20,2017-01-25,2558.0,20240126,10133000.0,0.0,101000.0,5
111,60004432,80009586,Flex Prem Premium Collection  ,IF,2024-01-19,,2017-01-20,2017-01-25,2558.0,20240126,8696000.0,0.0,87000.0,5
112,60004720,80068569,Flex Prem Premium Collection  ,IF,2024-01-02,,2020-12-09,2020-12-16,1126.0,20240115,15325000.0,0.0,920000.0,5
113,60004720,80068569,Flex Prem Premium Collection  ,IF,2024-01-02,,2020-12-09,2020-12-16,1137.0,20240126,15325000.0,0.0,920000.0,5
114,60004979,80009529,Flex Prem Premium Collection  ,IF,2024-01-19,,2017-01-19,2017-01-23,2560.0,20240126,2403000.0,0.0,24000.0,5
115,60005027,80007543,Premium Collection            ,IF,2024-01-22,,2016-11-30,2016-12-07,2607.0,20240126,9629000.0,0.0,197000.0,5
116,60005097,80018707,Flex Prem Premium Collection  ,IF,2024-01-05,,2017-12-25,2018-01-05,2202.0,20240115,3000000.0,0.0,37000.0,5
117,60005097,80018707,Flex Prem Premium Collection  ,IF,2024-01-05,,2017-12-25,2018-01-05,2213.0,20240126,3000000.0,0.0,37000.0,5
118,60005229,80000291,Premium Collection            ,IF,2024-01-17,,2015-01-09,2015-01-20,3294.0,20240126,1898000.0,0.0,38000.0,5
119,60005229,80005225,Flex Prem Premium Collection  ,IF,2024-01-25,,2016-08-31,2016-09-20,2685.0,20240126,2049000.0,0.0,20000.0,5
120,60005229,80009756,Flex Prem Premium Collection  ,IF,2024-01-18,,2017-02-16,2017-02-18,2534.0,20240126,8077000.0,0.0,81000.0,5
121,60005229,80013972,Flex Prem Premium Collection  ,IF,2024-01-22,,2017-07-26,2017-08-05,2366.0,20240126,1594000.0,0.0,16000.0,5
122,60005229,80013972,Flex Prem Premium Collection  ,IF,2024-01-25,,2017-07-26,2017-08-05,2366.0,20240126,182000.0,0.0,4000.0,5
123,60005229,80013972,Full Contract Reversal        ,IF,2024-01-26,,2017-07-26,2017-08-05,2366.0,20240126,-1699000.0,0.0,-17000.0,5
124,60005229,80013972,Single Premium Top-up         ,IF,2024-01-26,,2017-07-26,2017-08-05,2366.0,20240126,3216000.0,0.0,32000.0,5
125,60005229,80018333,Flex Prem Premium Collection  ,IF,2024-01-08,,2017-12-25,2018-01-07,2200.0,20240115,6575000.0,0.0,74000.0,5
126,60005229,80018333,Flex Prem Premium Collection  ,IF,2024-01-08,,2017-12-25,2018-01-07,2211.0,20240126,6575000.0,0.0,74000.0,5
127,60005229,80018333,Single Premium Top-up         ,IF,2024-01-09,,2017-12-25,2018-01-07,2200.0,20240115,10425000.0,0.0,104000.0,5
128,60005229,80018333,Single Premium Top-up         ,IF,2024-01-09,,2017-12-25,2018-01-07,2211.0,20240126,10425000.0,0.0,104000.0,5
129,60005229,80022979,Flex Prem Premium Collection  ,IF,2024-01-05,,2018-04-26,2018-05-09,2078.0,20240115,4090000.0,0.0,41000.0,5
130,60005229,80022979,Flex Prem Premium Collection  ,IF,2024-01-05,,2018-04-26,2018-05-09,2089.0,20240126,4090000.0,0.0,41000.0,5
131,60005229,80022979,Flex Prem Premium Collection  ,IF,2024-01-19,,2018-04-26,2018-05-09,2089.0,20240126,3803000.0,0.0,41000.0,5
132,60005229,80022979,Full Contract Reversal        ,IF,2024-01-05,,2018-04-26,2018-05-09,2078.0,20240115,-5023000.0,0.0,-50000.0,5
133,60005229,80022979,Full Contract Reversal        ,IF,2024-01-05,,2018-04-26,2018-05-09,2089.0,20240126,-5023000.0,0.0,-50000.0,5
134,60005229,80022979,Full Contract Reversal        ,IF,2024-01-19,,2018-04-26,2018-05-09,2089.0,20240126,-4090000.0,0.0,-41000.0,5
135,60005229,80024756,Flex Prem Premium Collection  ,IF,2024-01-03,,2018-06-18,2018-06-20,2036.0,20240115,2287000.0,0.0,23000.0,5
136,60005229,80024756,Flex Prem Premium Collection  ,IF,2024-01-03,,2018-06-18,2018-06-20,2047.0,20240126,2287000.0,0.0,23000.0,5
137,60005229,80024756,Single Premium Top-up         ,IF,2024-01-04,,2018-06-18,2018-06-20,2036.0,20240115,2713000.0,0.0,27000.0,5
138,60005229,80024756,Single Premium Top-up         ,IF,2024-01-04,,2018-06-18,2018-06-20,2047.0,20240126,2713000.0,0.0,27000.0,5
139,60005229,80024758,Flex Prem Premium Collection  ,IF,2024-01-03,,2018-06-18,2018-06-20,2036.0,20240115,5000000.0,0.0,50000.0,5
140,60005229,80024758,Flex Prem Premium Collection  ,IF,2024-01-03,,2018-06-18,2018-06-20,2047.0,20240126,5000000.0,0.0,50000.0,5
141,60005229,80033723,Flex Prem Premium Collection  ,IF,2024-01-03,,2018-11-30,2018-12-05,1868.0,20240115,1000000.0,0.0,10000.0,5
142,60005229,80033723,Flex Prem Premium Collection  ,IF,2024-01-03,,2018-11-30,2018-12-05,1879.0,20240126,1000000.0,0.0,10000.0,5
143,60005229,80033788,Flex Prem Premium Collection  ,IF,2024-01-03,,2018-11-28,2018-12-04,1869.0,20240115,1000000.0,0.0,10000.0,5
144,60005229,80033788,Flex Prem Premium Collection  ,IF,2024-01-03,,2018-11-28,2018-12-04,1880.0,20240126,1000000.0,0.0,10000.0,5
145,60005229,80033829,Flex Prem Premium Collection  ,IF,2024-01-03,,2018-11-28,2018-12-04,1869.0,20240115,1000000.0,0.0,10000.0,5
146,60005229,80033829,Flex Prem Premium Collection  ,IF,2024-01-03,,2018-11-28,2018-12-04,1880.0,20240126,1000000.0,0.0,10000.0,5
147,60005229,80033998,Flex Prem Premium Collection  ,IF,2024-01-03,,2018-11-29,2018-12-04,1869.0,20240115,1000000.0,0.0,10000.0,5
148,60005229,80033998,Flex Prem Premium Collection  ,IF,2024-01-03,,2018-11-29,2018-12-04,1880.0,20240126,1000000.0,0.0,10000.0,5
149,60005229,80055271,Single Premium Top-up         ,IF,2024-01-05,,2020-01-13,2020-01-16,1461.0,20240115,4866000.0,0.0,97000.0,5
150,60005229,80055271,Single Premium Top-up         ,IF,2024-01-05,,2020-01-13,2020-01-16,1472.0,20240126,4866000.0,0.0,97000.0,5
151,60005229,80061758,Flex Prem Premium Collection  ,IF,2024-01-08,,2020-08-14,2020-08-20,1244.0,20240115,2000000.0,0.0,120000.0,5
152,60005229,80061758,Flex Prem Premium Collection  ,IF,2024-01-08,,2020-08-14,2020-08-20,1255.0,20240126,2000000.0,0.0,120000.0,5
153,60005229,80078546,Premium Collection            ,IF,2024-01-05,,2021-04-12,2021-04-19,1002.0,20240115,5347000.0,0.0,405000.0,5
154,60005229,80078546,Premium Collection            ,IF,2024-01-05,,2021-04-12,2021-04-19,1013.0,20240126,5347000.0,0.0,405000.0,5
155,60005229,80089187,Premium Collection            ,IF,2024-01-13,,2021-08-03,2021-08-20,879.0,20240115,2535000.0,0.0,200000.0,5
156,60005229,80089187,Premium Collection            ,IF,2024-01-13,,2021-08-03,2021-08-20,890.0,20240126,2535000.0,0.0,200000.0,5
157,60005229,80101689,Premium Collection            ,IF,2024-01-08,,2022-01-12,2022-02-23,692.0,20240115,16468000.0,0.0,1194000.0,5
158,60005229,80101689,Premium Collection            ,IF,2024-01-08,,2022-01-12,2022-02-23,703.0,20240126,16468000.0,0.0,1194000.0,5
159,60005229,80102466,Premium Collection            ,IF,2024-01-11,,2022-01-26,2022-02-17,698.0,20240115,8840000.0,0.0,640000.0,5
160,60005229,80102466,Premium Collection            ,IF,2024-01-11,,2022-01-26,2022-02-17,709.0,20240126,8840000.0,0.0,640000.0,5
161,60005229,80102473,Premium Collection            ,IF,2024-01-11,,2022-01-26,2022-02-19,696.0,20240115,8017000.0,0.0,543000.0,5
162,60005229,80102473,Premium Collection            ,IF,2024-01-11,,2022-01-26,2022-02-19,707.0,20240126,8017000.0,0.0,543000.0,5
163,60005229,80123106,Premium Collection            ,IF,2024-01-24,,2022-10-24,2022-11-08,445.0,20240126,2057000.0,0.0,199000.0,5
164,60005229,80123110,Premium Collection            ,IF,2024-01-24,,2022-10-24,2022-11-08,445.0,20240126,2013000.0,0.0,203000.0,5
165,60005229,80123111,Premium Collection            ,IF,2024-01-24,,2022-10-24,2022-11-08,445.0,20240126,2056000.0,0.0,198000.0,5
166,60005229,80130715,Premium Collection            ,IF,2024-01-08,,2022-12-30,2023-01-08,373.0,20240115,15080000.0,0.0,1497000.0,5
167,60005229,80130715,Premium Collection            ,IF,2024-01-08,,2022-12-30,2023-01-08,384.0,20240126,15080000.0,0.0,1497000.0,5
168,60005244,80034740,Flex Prem Premium Collection  ,IF,2024-01-16,,2018-12-13,2018-12-17,1867.0,20240126,5000000.0,0.0,50000.0,5
169,60005244,80034740,Single Premium Top-up         ,IF,2024-01-17,,2018-12-13,2018-12-17,1867.0,20240126,1566000.0,0.0,16000.0,5
170,60005397,80007078,Premium Collection            ,IF,2024-01-06,,2016-11-08,2016-11-12,2621.0,20240115,7807000.0,0.0,161000.0,5
171,60005397,80007078,Premium Collection            ,IF,2024-01-06,,2016-11-08,2016-11-12,2632.0,20240126,7807000.0,0.0,161000.0,5
172,60005410,80007566,Flex Prem Premium Collection  ,IF,2024-01-04,,2016-11-30,2016-12-07,2596.0,20240115,7800000.0,0.0,78000.0,5
173,60005410,80007566,Flex Prem Premium Collection  ,IF,2024-01-04,,2016-11-30,2016-12-07,2607.0,20240126,7800000.0,0.0,78000.0,5
174,60005410,80007566,Single Premium Top-up         ,IF,2024-01-05,,2016-11-30,2016-12-07,2596.0,20240115,200000.0,0.0,2000.0,5
175,60005410,80007566,Single Premium Top-up         ,IF,2024-01-05,,2016-11-30,2016-12-07,2607.0,20240126,200000.0,0.0,2000.0,5
176,60005526,80008140,Flex Prem Premium Collection  ,IF,2024-01-10,,2016-12-23,2016-12-30,2573.0,20240115,7143000.0,0.0,71000.0,5
177,60005526,80008140,Flex Prem Premium Collection  ,IF,2024-01-10,,2016-12-23,2016-12-30,2584.0,20240126,7143000.0,0.0,71000.0,5
178,60005526,80008140,Single Premium Top-up         ,IF,2024-01-11,,2016-12-23,2016-12-30,2573.0,20240115,3550000.0,0.0,36000.0,5
179,60005526,80008140,Single Premium Top-up         ,IF,2024-01-11,,2016-12-23,2016-12-30,2584.0,20240126,3550000.0,0.0,36000.0,5
180,60005526,80009388,Flex Prem Premium Collection  ,IF,2024-01-18,,2017-01-19,2017-01-25,2558.0,20240126,5268000.0,0.0,55000.0,5
181,60005526,80009388,Single Premium Top-up         ,IF,2024-01-19,,2017-01-19,2017-01-25,2558.0,20240126,5894000.0,0.0,59000.0,5
182,60005526,80009784,Flex Prem Premium Collection  ,IF,2024-01-08,,2017-02-15,2017-02-17,2524.0,20240115,715000.0,0.0,7000.0,5
183,60005526,80009784,Flex Prem Premium Collection  ,IF,2024-01-08,,2017-02-15,2017-02-17,2535.0,20240126,715000.0,0.0,7000.0,5
184,60005526,80017677,Flex Prem Premium Collection  ,IF,2024-01-18,,2017-11-28,2017-12-12,2237.0,20240126,14705000.0,0.0,147000.0,5
185,60005526,80017677,Single Premium Top-up         ,IF,2024-01-19,,2017-11-28,2017-12-12,2237.0,20240126,5570000.0,0.0,56000.0,5
186,60005648,80009051,Flex Prem Premium Collection  ,IF,2024-01-11,,2017-01-04,2017-01-09,2563.0,20240115,8195000.0,0.0,82000.0,5
187,60005648,80009051,Flex Prem Premium Collection  ,IF,2024-01-11,,2017-01-04,2017-01-09,2574.0,20240126,8195000.0,0.0,82000.0,5
188,60005648,80009051,Single Premium Top-up         ,IF,2024-01-12,,2017-01-04,2017-01-09,2563.0,20240115,1146000.0,0.0,11000.0,5
