,Agent Numer of Introducer,Agent_Number
325,60033354,60056758
326,60052205,60058587
327,60056655,60061439
328,60064977,60065027
330,60016529,60020876
331,60059311,60074004
332,60068087,60073567
333,60032311,60039358
334,60073053,60073058
335,60015579,60021355
336,60032768,60038025
337,60044456,60044971
338,60059283,60060724
339,60046817,60055419
340,60047018,60063977
341,60061684,60073865
342,60058054,60065417
343,60066930,60071486
345,60016146,60018436
349,60045660,60063441
350,60034831,60042503
352,60037648,60037649
353,60045087,60048810
354,60023280,60023335
355,60031413,60033422
356,60042282,60044091
357,60041076,60045126
360,60019797,60022262
361,60047604,60050969
362,60046440,60057023
364,60036825,60038474
365,60057799,60060288
366,60060427,60068515
369,60034196,60034204
370,60055636,60066794
372,60058447,60058454
375,60037552,60048535
376,60057635,60069673
379,60023408,60024341
380,60024273,60031345
381,60059502,60061308
383,60010144,60010147
385,60035456,60037189
387,60051844,60051884
388,60059776,60066748
389,60025308,60050433
390,60068275,60068417
391,60067482,60069667
392,60068322,60071797
393,60038128,60040041
394,60035736,60048647
395,60051285,60056694
396,60071066,60070756
398,60014887,60018728
399,60012378,60012395
400,60028881,60035739
401,60026643,60042433
402,60028639,60047788
403,60046024,60061679
406,60022379,60025312
407,60035538,60037364
409,60074614,60074806
410,60007951,60008769
415,60047435,60053727
416,60041662,60044552
417,60060664,60061123
418,60067208,60068833
421,60038011,60012405
422,60052457,60066246
424,60025974,60030543
425,60039137,60043207
426,60067089,60067102
427,60069495,60070060
428,60049711,60068766
429,60021084,60024310
430,60022199,60033434
431,60053542,60053585
434,60003005,60005600
436,60027614,60028646
437,60026020,60028931
438,60042196,60042201
439,60057995,60069369
443,60016270,60016907
444,60022770,60035773
445,60059795,60062421
446,60055497,60072257
447,60029700,60029730
448,60055360,60057983
449,60051806,60054593
450,60056830,60062978
452,60042179,60042309
453,60041781,60047150
454,60055170,60055183
455,60061563,60067307
456,60062474,60073653
457,60010713,60010711
458,60016946,60017497
459,60022333,60025665
460,60033565,60033577
461,60055323,60055884
463,60054174,60055369
464,60041469,60042489
465,60034961,60043797
467,60024912,60033420
468,60044957,60048038
469,60033691,60040077
470,60057288,60061094
471,60055935,60072977
472,60067029,60074145
475,60047214,60047242
478,60047220,60047233
479,60053074,60062008
481,60041486,60041530
482,60059265,60060249
486,60039198,60041273
487,60068342,60070625
491,60030133,60033767
492,60019610,60048793
494,60016548,60019326
495,60038603,60053825
496,60056074,60056075
498,60031544,60031543
499,60037359,60036422
500,60032596,60043426
501,60046463,60049403
502,60041197,60070243
503,60059816,60070250
506,60042175,60046839
507,60033403,60061330
508,60021309,60065840
513,60045986,60048004
514,60019014,60019015
515,60023145,60025038
516,60022229,60022242
518,60027395,60027664
519,60032060,60032224
520,60068754,60068755
522,60045466,60045739
523,60042783,60055223
524,60066658,60066723
526,60028776,60039119
527,60059832,60063017
528,60067613,60067618
529,60067720,60068817
530,60067538,60069648
531,60070602,60070570
532,60026079,60060266
533,60060671,60072859
535,60035512,60012163
536,60022225,60024847
537,60057121,60057175
538,60022748,60022926
539,60048191,60050853
541,60022395,60022396
542,60034163,60034168
543,60051343,60053917
544,60030524,60033197
545,60039874,60047864
546,60066877,60069969
547,60005206,60006569
548,60012349,60014831
550,60049271,60049280
551,60052727,60052946
552,60061020,60061417
553,60029493,60033684
554,60046727,60048796
555,60033427,60049361
556,60034632,60061340
557,60059134,60064916
558,60058989,60068578
559,60059311,60073903
561,60063082,60072627
563,60038543,60038688
565,60049334,60049338
566,60027069,60063637
567,60008436,60064493
569,60026316,60026320
570,60054723,60063435
571,60041862,60045590
572,60055933,60062842
573,60059310,60074014
574,60027073,60029144
576,60033354,60038223
577,60059660,60061184
578,60033191,60033385
579,60068327,60069020
580,60025274,60027063
581,60027633,60029183
582,60053290,60053329
583,60075728,60075758
584,60027115,60028285
585,60015989,60042954
586,60041827,60045934
591,60016289,60028473
592,60018609,60029690
593,60044051,60044056
595,60025903,60026930
596,60036833,60036942
597,60068140,60070015
603,60051773,60052924
604,60053454,60069324
605,60071864,60072539
606,60071832,60072712
607,60071354,60075325
609,60050647,60050652
610,60052534,60054494
611,60055637,60060282
612,60020419,60021229
613,60038342,60041141
614,60075129,60074996
615,60036495,60038382
616,60055279,60055305
618,60059795,60062415
619,60028336,60028342
621,60023863,60024785
622,60065578,60068772
625,60026501,60026840
626,60065577,60068626
627,60018436,60019076
628,60031088,60065551
629,60046034,60065367
631,60071597,60071594
633,60030655,60030675
634,60057359,60059517
637,60028063,60037552
638,60044896,60047649
640,60071360,60073093
642,60030076,60030080
643,60038162,60039692
647,60028612,60031329
649,60055984,60056505
650,60053045,60065256
651,60018144,60033046
652,60029523,60030636
655,60041071,60065209
656,60071977,60075954
657,60070257,60072562
658,60024183,60024813
659,60059174,60063999
661,60034406,60052674
662,60057048,60074892
663,60008059,60027560
669,60006047,60006318
671,60021626,60032483
672,60037687,60061517
673,60024252,60062124
676,60015807,60015814
677,60067564,60067568
678,60047430,60049645
679,60059290,60070165
680,60056384,60066370
681,60033755,60033754
683,60011122,60015903
685,60053049,60053208
686,60014549,60021221
687,60070969,60071020
688,60022874,60027985
690,60031074,60031081
691,60027699,60033360
692,60072023,60072652
693,60043903,60070253
697,60057009,60062022
698,60015732,60015776
699,60067593,60067630
701,60036552,60036630
702,60041513,60043151
704,60049402,60051889
706,60027715,60032396
707,60041906,60044277
708,60055932,60072343
709,60048377,60050084
710,60059307,60071653
712,60030642,60039301
713,60067591,60067593
715,60041662,60046937
716,60059403,60059945
717,60057637,60059436
718,60052899,60054952
719,60068087,60073358
720,60040137,60042844
721,60031016,60054004
722,60046971,60050413
723,60030537,60063781
724,60034414,60046813
725,60036213,60036234
726,60035546,60037911
727,60059136,60068289
728,60053535,60053539
729,60045327,60050387
730,60059148,60073628
731,60062474,60074418
734,60044698,60048171
736,60042977,60047564
737,60041222,60042326
738,60027582,60036552
741,60022023,60025729
742,60037684,60044947
744,60026718,60031320
745,60057082,60069087
747,60027702,60028222
748,60028829,60031290
749,60073158,60074865
750,60020931,60009008
751,60060167,60064525
752,60070705,60074027
753,60042577,60048769
755,60057103,60060067
756,60022668,60023048
758,60033652,60035902
759,60054544,60022710
760,60017218,60018507
761,60024145,60025635
762,60022910,60023743
764,60045565,60048221
765,60059153,60074912
766,60037998,60040061
767,60069004,60073351
768,60032614,60032617
769,60011372,60014467
770,60069291,60073256
771,60063051,60063068
774,60056914,60056917
775,60029493,60033683
776,60041645,60057724
778,60016483,60016485
781,60027674,60027687
782,60045998,60046360
785,60041074,60066179
786,60036376,60038989
787,60057730,60073639
788,60014549,60034173
791,60055496,60062821
792,60015528,60015529
793,60027816,60031222
796,60036830,60036894
797,60056614,60056618
799,60021351,60045342
801,60028818,60036617
803,60055816,60055828
804,60002523,60003286
806,60037612,60037630
808,60030537,60063811
809,60074562,60074117
813,60028299,60028975
814,60021149,60021724
815,60070225,60069165
817,60055728,60058493
818,60045387,60046518
819,60013674,60013902
820,60055768,60055870
821,60011026,60013024
822,60032815,60035537
823,60074777,60074555
824,60075327,60075631
825,60039824,60040625
826,60041480,60041489
827,60028818,60034306
828,60027815,60040125
829,60063252,60065665
830,60042282,60042291
832,60026082,60026446
835,60048205,60052428
837,60028204,60028211
838,60032248,60033065
839,60046818,60046825
846,60059153,60074003
847,60038603,60039820
848,60027283,60027284
849,60057526,60067220
850,60031591,60060628
851,60025050,60025140
853,60025310,60026287
855,60069367,60075623
856,60022756,60022766
859,60044677,60048267
860,60051073,60061475
861,60076100,60076157
862,60057365,60057659
865,60057637,60066443
866,60057288,60072850
867,60052537,60054213
870,60049762,60049769
871,60013198,60026367
872,60019805,60029807
874,60037685,60038727
875,60067724,60067923
876,60056290,60063187
879,60024942,60025293
880,60038360,60043856
881,60048568,60064877
882,60068706,60068904
883,60028443,60067420
884,60057799,60060296
885,60067347,60071861
887,60057593,60074242
888,60040113,60040812
889,60029993,60030290
890,60014946,60014947
891,60028060,60028702
892,60052559,60053043
893,60014462,60022015
894,60025650,60026029
895,60073273,60075224
898,60014462,60029208
899,60036383,60037342
901,60052534,60052724
902,60041398,60055096
903,60056997,60056998
904,60058041,60058254
905,60027534,60042767
906,60057767,60058593
908,60054871,60059426
909,60013391,60015106
910,60039833,60039852
911,60040995,60054969
912,60029221,60033906
913,60038506,60038515
916,60023595,60039985
917,60032972,60037585
919,60061876,60068901
922,60031868,60035500
923,60051749,60051758
924,60014570,60014577
925,60029008,60030407
926,60030275,60038847
927,60041748,60043222
928,60041174,60043609
929,60045316,60045443
930,60051037,60056377
931,60051731,60064258
932,60025501,60025509
933,60025081,60027066
934,60032242,60033606
935,60054380,60055583
936,60068086,60070624
941,60045056,60050462
942,60054787,60059626
943,60043986,60062005
944,60024008,60028981
945,60042963,60043007
946,60070912,60073258
947,60044692,60061135
949,60033978,60037979
953,60054546,60055558
954,60035209,60064678
956,60020287,60022788
957,60059615,60064057
958,60058003,60064594
959,60059311,60073884
960,60059754,60075522
963,60041778,60044531
964,60042213,60048711
965,60050739,60054211
966,60004490,60004486
968,60003396,60010551
972,60038934,60043126
973,60033534,60034138
974,60041762,60045946
975,60046368,60056186
976,60038417,60039690
977,60015089,60054954
978,60041528,60041649
981,60024982,60024970
982,60025704,60060058
983,60056194,60061501
984,60069030,60071189
988,60038634,60049455
989,60044052,60053767
990,60047908,60029913
991,60044649,60044752
992,60055505,60055509
993,60059062,60059063
998,60029951,60038379
999,60041797,60052395
1000,60041073,60065179
1001,60046034,60065881
1006,60035433,60037173
1007,60054017,60057595
1008,60072002,60074435
1012,60009598,60009932
1015,60048367,60048391
1016,60058852,60060000
1017,60068617,60071368
1018,60031591,60061228
1019,60051344,60053770
1020,60052750,60054647
1021,60066070,60073850
1026,60014697,60015485
1028,60032703,60046846
1029,60070559,60071999
1031,60021278,60022682
1032,60058934,60066582
1033,60047752,60053240
1034,60069063,60069242
1037,60058053,60058567
1038,60064315,60066434
1039,60039305,60042059
1041,60026640,60040464
1042,60067496,60070874
1043,60036830,60036892
1044,60042670,60049566
1045,60052748,60052941
1047,60012288,60012289
1048,60018960,60021154
1049,60029319,60031658
1052,60039611,60041171
1053,60038604,60048951
1054,60037664,60049084
1058,60043830,60044057
1059,60056068,60063409
1061,60069994,60071740
1064,60057907,60064383
1066,60075787,60075788
1067,60037649,60043210
1068,60047573,60047589
1069,60045107,60051352
1070,60033545,60034595
1071,60028279,60043466
1074,60031868,60037736
1075,60055453,60060039
1076,60058852,60062526
1077,60055648,60065977
1080,60006894,60046449
1082,60052691,60061811
1087,60026084,60026098
1088,60028310,60028326
1089,60075444,60075443
1090,60026530,60026535
1092,60031211,60063814
1094,60058376,60063305
1095,60037441,60037856
1099,60033057,60057624
1101,60067355,60071783
1102,60059816,60066599
1103,60013280,60014159
1104,60027762,60029106
1105,60050033,60050204
1107,60024767,60025100
1108,60033309,60039103
1109,60055607,60060558
1111,60037610,60038464
1112,60026857,60039789
1114,60021127,60021133
1117,60031342,60033067
1118,60057846,60058581
1119,60056934,60070991
1120,60070443,60072212
1121,60059310,60073936
1122,60012800,60013930
1123,60059816,60066598
1124,60025998,60042895
1125,60027073,60045788
1126,60046423,60046437
1127,60027699,60064272
1128,60059816,60066523
1129,60067953,60068106
1130,60028044,60029552
1131,60057290,60074565
1132,60059153,60073995
1133,60051046,60052105
1134,60066903,60069779
1135,60033850,60047121
1137,60022547,60026192
1138,60037664,60037669
1139,60055095,60061545
1140,60038357,60049348
1143,60056936,60069554
1144,60070988,60073084
1145,60033309,60036394
1147,60055929,60072914
1149,60027721,60030328
1150,60025308,60051263
1152,60052656,60052669
1154,60014607,60017021
1156,60020064,60021789
1157,60031408,60054180
1158,60024730,60024729
1159,60026292,60036266
1160,60030620,60041003
1161,60041815,60048430
1162,60041534,60044739
1163,60010315,60011529
1164,60073052,60073060
1167,60047573,60047590
1168,60057799,60060285
1169,60039186,60042934
1170,60045369,60045972
1171,60047040,60053233
1172,60058200,60066508
1173,60058928,60058943
1174,60070934,60071769
1176,60046492,60050547
1181,60035259,60045280
1182,60066792,60070153
1185,60028014,60046323
1186,60053995,60053999
1187,60044054,60061106
1189,60008469,60019330
1190,60039329,60039334
1191,60054297,60054980
1194,60037874,60037876
1195,60070075,60071515
1196,60071815,60071765
1201,60026224,60026409
1202,60024098,60035070
1203,60048337,60051231
1204,60056360,60058223
1205,60028684,60064163
1207,60051326,60055711
1209,60068304,60068399
1210,60068088,60073355
1211,60050228,60075760
1213,60028179,60030230
1214,60040261,60040265
1215,60032614,60032616
1216,60060457,60060513
1217,60064278,60064310
1218,60072427,60074091
1219,60073331,60075439
1221,60032455,60034652
1222,60039239,60042653
1223,60037648,60072216
1224,60031423,60031441
1225,60030654,60048164
1226,60048402,60052287
1227,60071728,60071947
1228,60036854,60040342
1230,60029783,60034136
1231,60037894,60041665
1232,60031212,60049456
1233,60033592,60052411
1235,60036213,60036241
1236,60057258,60061552
1238,60016208,60016210
1239,60024087,60038435
1240,60044037,60044086
1241,60052055,60052272
1242,60067249,60069884
1245,60055930,60072724
1246,60013502,60019716
1247,60019476,60020592
1248,60032936,60034286
1250,60029702,60043462
1251,60045998,60046314
1252,60061022,60071703
1254,60057869,60065500
1255,60014768,60066944
1256,60015881,60015853
1257,60027586,60051331
1258,60038641,60060665
1259,60068374,60069601
1260,60038293,60045345
1261,60070913,60070705
1262,60059146,60073678
1263,60026645,60030016
1264,60032060,60038621
1265,60039113,60041689
1266,60041782,60044478
1267,60041861,60045136
1269,60045563,60050557
1271,60014462,60018965
1272,60038353,60043402
1273,60045463,60049603
1274,60049754,60051613
1275,60051340,60052141
1277,60067159,60067170
1278,60013965,60027307
1279,60047651,60047657
1280,60055093,60055094
1281,60051657,60058169
1282,60059407,60059469
1283,60045531,60046123
1284,60056210,60075972
1285,60013170,60013545
1287,60047665,60048399
1288,60055934,60060840
1289,60026983,60027426
1291,60052587,60068112
1293,60061717,60067665
1294,60027203,60041572
1295,60049006,60049119
1296,60056669,60056674
1297,60056321,60056793
1301,60026800,60028583
1302,60015947,60018321
1303,60062474,60062649
1305,60056938,60059043
1306,60039033,60042820
1308,60031529,60032221
1309,60060671,60063492
1310,60005648,60005973
1312,60046072,60056112
1314,60053045,60065245
1315,60057907,60064396
1316,60057009,60061665
1318,60039378,60042050
1319,60037999,60048717
1320,60050520,60051011
1321,60055497,60073606
1322,60019105,60049717
1324,60037766,60055606
1325,60067538,60069647
1326,60054467,60071608
1327,60059149,60073896
1329,60028014,60030908
1330,60059134,60064914
1331,60032246,60032925
1332,60068088,60073530
1333,60059147,60073898
1334,60031248,60031460
1335,60072376,60072381
1337,60027314,60028693
1338,60052646,60064682
1339,60047026,60048472
1341,60018554,60018556
1343,60030065,60054288
1344,60067089,60071455
1347,60028108,60038441
1349,60055401,60055402
1350,60045507,60066069
1352,60033047,60033122
1354,60032429,60032427
1355,60035008,60036419
1356,60041071,60065199
1358,60023964,60026845
1359,60052592,60053343
1360,60057893,60059312
1362,60025876,60050512
1363,60063964,60064596
1364,60041662,60065356
1367,60047810,60050020
1368,60047018,60049386
1370,60020147,60020566
1371,60033578,60034857
1372,60067576,60067577
1373,60016713,60019740
1374,60067658,60074102
1375,60059283,60074188
1377,60025177,60025185
1378,60035340,60041496
1379,60058551,60066885
1380,60031456,60031477
1381,60048568,60053846
1382,60019246,60019245
1383,60021508,60022031
1386,60071189,60071188
1387,60025688,60026995
1388,60035540,60035663
1389,60033424,60059142
1390,60058948,60068222
1391,60037886,60040966
1392,60038294,60041454
1394,60046398,60048590
1395,60053045,60053322
1396,60055323,60056113
1397,60057724,60057915
1398,60051280,60051285
1401,60037886,60043353
1402,60034217,60064010
1406,60028959,60033034
1407,60059201,60059205
1410,60027762,60029105
1411,60030056,60030992
1412,60033420,60033421
1413,60041783,60047552
1414,60073438,60072503
1415,60075254,60075599
1418,60070882,60074010
1420,60044529,60044539
1422,60026707,60027260
1423,60056860,60070525
1425,60039671,60044533
1426,60054191,60054228
1427,60059490,60060440
1428,60066699,60066719
1429,60075198,60075629
1432,60065646,60065662
1434,60038544,60038590
1435,60039036,60040800
1436,60035512,60046686
1437,60030376,60052321
1438,60028179,60056398
1439,60025704,60065632
1440,60040917,60043185
1441,60048116,60050624
1442,60055306,60056381
1443,60056768,60058172
1444,60059146,60073677
1445,60040475,60041426
1450,60056287,60059033
1452,60026628,60027088
1454,60050285,60053590
1455,60059795,60066483
1458,60027246,60036094
1462,60056311,60066171
1465,60055985,60032577
1467,60053684,60053713
1468,60073297,60073296
1469,60068088,60073515
1470,60016699,60020165
1471,60028093,60034343
1474,60027661,60031742
1475,60071367,60070949
1476,60075174,60074486
1478,60024098,60024388
1479,60026528,60027149
1480,60027833,60042418
1481,60063975,60070003
1482,60013391,60014901
1485,60014549,60014551
1486,60041662,60044877
1487,60026559,60028885
1488,60029783,60033333
1489,60031943,60032145
1490,60040179,60040201
1491,60045627,60048853
1492,60071977,60072029
1493,60060665,60060672
1494,60059132,60064892
1498,60044572,60046513
1499,60043103,60050504
1500,60041787,60042831
1501,60056364,60056579
1502,60055095,60065973
1503,60068161,60068168
1505,60030537,60063747
1506,60059583,60069864
1507,60027274,60033676
1508,60038327,60038330
1509,60058045,60060949
1512,60032705,60041563
1513,60039734,60042515
1514,60066820,60067096
1517,60017945,60017947
1518,60019587,60019588
1520,60038823,60040476
1521,60075519,60074716
1523,60041989,60044247
1524,60041146,60044147
1528,60051866,60051867
1529,60057288,60060800
1530,60050483,60075094
1534,60027964,60028004
1535,60034723,60044997
1536,60050896,60051075
1537,60020772,60021471
1538,60026501,60041222
1539,60031088,60065534
1544,60038953,60041505
1545,60058266,60059375
1546,60069318,60069327
1547,60044946,60061356
1548,60059153,60073930
1550,60055813,60055821
1552,60025077,60025505
1554,60025011,60054814
1555,60056657,60056658
1557,60056160,60056162
1558,60066190,60066939
1560,60033714,60037877
1561,60037914,60039951
1562,60041727,60045401
1563,60052612,60052627
1564,60005127,60026218
1566,60047682,60051936
1568,60045962,60047073
1571,60013627,60016051
1572,60025619,60027387
1574,60030652,60032892
1575,60064577,60067157
1577,60058887,60022809
1578,60026999,60030372
1579,60052970,60062283
1580,60056938,60062747
1581,60063273,60069001
1583,60049276,60049486
1584,60070913,60075209
1587,60018889,60020000
1589,60024075,60040016
1590,60027093,60027094
1591,60049919,60051609
1592,60076117,60076125
1593,60014548,60015063
1594,60017179,60017189
1595,60039840,60046271
1596,60055955,60058621
1597,60046034,60064336
1598,60067282,60073025
1599,60040081,60055548
1600,60059490,60062429
1602,60069080,60070712
1603,60030112,60032895
1604,60037200,60040384
1605,60059501,60062432
1606,60056672,60066559
1607,60072496,60072604
1609,60030116,60030863
1610,60023164,60032949
1611,60037684,60037702
1612,60038609,60039662
1613,60057583,60057586
1617,60027752,60028486
1618,60038662,60040792
1620,60035369,60035362
1621,60055292,60055296
1622,60055231,60062680
1623,60028713,60029917
1624,60071321,60072353
1625,60024367,60025628
1626,60031936,60031941
1627,60059146,60059149
1628,60007636,60007637
1631,60036238,60056500
1634,60027264,60027266
1635,60047754,60049278
1636,60068487,60068492
1638,60017581,60049050
1639,60048358,60052051
1640,60032645,60053841
1641,60063273,60063546
1642,60040662,60064366
1643,60026573,60065692
1644,60059149,60073977
1647,60024430,60027464
1648,60012689,60061424
1649,60039981,60064564
1650,60040662,60065849
1651,60072637,60074987
1653,60019644,60019670
1654,60031066,60031781
1657,60014571,60015920
1659,60042718,60047843
1660,60050813,60054010
1661,60056063,60056064
1662,60043790,60046705
1663,60039820,60061699
1664,60030674,60062670
1665,60059964,60067878
1666,60017912,60023120
1667,60008930,60069915
1670,60030056,60032219
1671,60038954,60051220
1672,60066976,60067960
1676,60021865,60021871
1677,60028879,60029666
1678,60062474,60074427
1679,60037976,60039828
1681,60040662,60065856
1683,60023345,60023828
1685,60027918,60066094
1686,60023469,60023727
1687,60031208,60031244
1689,60046057,60046059
1690,60040180,60052080
1691,60027586,60061342
1692,60061036,60065566
1694,60046129,60050868
1695,60051589,60058026
1696,60043905,60059698
1698,60025252,60025923
1699,60015179,60015385
1701,60051216,60051429
1704,60016699,60016706
1705,60026739,60027213
1706,60030654,60030672
1707,60041195,60042701
1708,60056830,60062975
1710,60020688,60020897
1711,60068250,60072262
1714,60037074,60049723
1716,60032705,60017389
1717,60026277,60026736
1718,60037572,60041650
1719,60045474,60045483
1720,60048730,60048764
1721,60057201,60057205
1723,60074696,60074453
1724,60014571,60014882
1725,60054541,60054555
1726,60054465,60061752
1728,60027141,60027144
1729,60032952,60042456
1730,60044758,60044763
1731,60057050,60074220
1738,60040357,60040437
1739,60027586,60063949
1741,60033469,60035516
1742,60036073,60036145
1743,60018857,60021042
1744,60024390,60025575
1745,60051249,60051252
1746,60068839,60068840
1747,60033410,60033412
1748,60027274,60041017
1749,60041230,60042596
1750,60042492,60046577
1751,60038347,60048771
1752,60049334,60053255
1756,60032652,60034062
1757,60051979,60052493
1758,60038634,60055788
1759,60059490,60059499
1761,60037706,60043910
1762,60030524,60065494
1764,60011164,60013337
1765,60034692,60037333
1767,60023083,60023081
1768,60028064,60028840
1769,60035252,60044916
1770,60026640,60053685
1771,60052691,60061825
1772,60074496,60074483
1774,60039469,60039915
1775,60044677,60047083
1778,60007708,60026918
1779,60028301,60028972
1781,60044052,60044092
1783,60054546,60055035
1784,60054126,60058733
1785,60058279,60059585
1786,60041662,60063646
1787,60068732,60070270
1790,60040327,60049764
1791,60057829,60061058
1792,60057635,60070256
1794,60054726,60055863
1795,60058359,60061914
1796,60059615,60064054
1797,60067268,60071533
1798,60055933,60073580
1804,60051888,60057518
1806,60053580,60055209
1807,60057794,60060354
1808,60058200,60066497
1809,60026718,60026926
1814,60008568,60008572
1815,60059328,60060615
1816,60061503,60061633
1818,60016699,60017290
1819,60032225,60041268
1820,60042600,60065333
1821,60014980,60025281
1823,60048826,60057413
1824,60055308,60066615
1826,60024375,60024274
1827,60023586,60025661
1828,60027768,60028570
1829,60059119,60059933
1830,60060232,60065487
1833,60043796,60045075
1834,60008948,60066797
1839,60052090,60053575
1840,60031591,60060624
1841,60051806,60051807
1842,60053541,60053900
1843,60046392,60058878
1844,60061965,60064729
1845,60070253,60075012
1847,60030761,60047640
1848,60050638,60050647
1851,60033224,60046434
1852,60045718,60051184
1853,60067630,60067636
1855,60054198,60054268
1856,60039451,60063961
1859,60037994,60031632
1860,60035929,60038214
1861,60035280,60074072
1862,60037995,60043463
1863,60058245,60066949
1864,60069291,60074832
1865,60057000,60067079
1866,60047964,60048055
1868,60008709,60009127
1870,60027142,60027612
1871,60029993,60037487
1872,60058567,60058674
1875,60033626,60037439
1876,60023705,60038995
1877,60040780,60043593
1882,60024732,60024746
1883,60060164,60062355
1884,60028421,60028704
1888,60021409,60021924
1891,60031517,60042356
1893,60020082,60020087
1894,60026887,60027352
1895,60046858,60048415
1896,60052250,60053613
1899,60032646,60032649
1900,60028679,60043543
1901,60058948,60066417
1902,60075262,60075263
1904,60037552,60039615
1905,60034632,60061333
1906,60042067,60054788
1910,60013095,60026920
1912,60031265,60038650
1913,60033917,60039014
1914,60060427,60064873
1915,60059316,60068805
1916,60041807,60044341
