,Issuing Agent,Policy No,POLICY ACKNOWLED,CC_Month
122204,60074800,80129646,2023-01-10,3
122209,60055151,80129237,2023-01-04,3
122220,60074686,80129014,2022-12-26,3
122221,60074799,80129647,2023-01-10,3
122241,60074148,80128400,2022-12-27,3
122256,60074796,80129260,2023-01-09,3
122259,60074720,80129659,2022-12-30,3
122268,60074689,80128406,2022-12-21,3
122272,60073294,80128725,2022-12-23,3
122275,60074533,80128728,2022-12-22,3
122281,60074686,80129019,2022-12-26,3
122282,60074106,80128407,2022-12-27,3
122283,60074079,80128408,2022-12-21,3
122290,60073026,80128414,2022-12-22,3
122296,60074643,80128420,2022-12-26,3
122301,60074075,80128425,2023-01-16,3
122303,60072767,80128427,2022-12-23,3
122311,60074147,80128435,2022-12-26,3
122330,60073026,80128454,2022-12-22,3
122334,60074148,80128458,2022-12-27,3
122342,60074118,80128466,2022-12-26,3
122353,60074079,80128477,2022-12-21,3
122357,60074648,80128481,2022-12-22,3
122364,60074686,80129024,2022-12-26,3
122395,60074498,80129936,2022-12-31,3
122429,60074945,80129068,2023-01-03,3
122430,60055151,80129271,2023-01-04,3
122466,60074117,80129948,2023-01-04,3
122480,60074117,80129949,2023-01-04,3
122499,60055151,80129094,2022-12-27,3
122521,60074742,80129957,2022-12-31,3
122523,60070731,80129959,2023-01-07,3
122525,60075099,80129961,2023-01-04,3
122531,60074742,80129967,2022-12-31,3
122533,60074944,80129969,2023-01-10,3
122534,60074950,80129970,2023-01-04,3
122536,60075095,80129972,2023-01-03,3
122537,60075122,80129973,2023-01-11,3
122540,60074743,80129976,2022-12-31,3
122543,60075502,80129979,2023-01-06,3
122544,60075193,80129980,2023-01-03,3
122545,60074919,80129981,2023-01-06,3
122548,60074117,80129984,2023-01-04,3
122549,60075320,80129985,2023-01-09,3
122550,60075193,80129986,2023-01-03,3
122552,60075320,80129989,2023-01-09,3
122559,60075320,80129996,2023-01-09,3
122560,60074512,80129669,2022-12-30,3
122561,60074686,80129670,2022-12-30,3
122562,60074658,80129671,2022-12-30,3
122565,60074686,80129318,2022-12-30,3
122574,60075197,80129998,2023-01-09,3
122579,60074686,80129673,2022-12-30,3
122582,60074686,80129676,2022-12-30,3
122583,60074636,80129677,2023-01-05,3
122592,60075390,80130011,2023-01-04,3
122594,60075192,80130014,2023-01-04,3
122600,60075095,80130021,2023-01-03,3
122618,60074686,80129679,2022-12-30,3
122621,60074802,80129332,2023-01-10,3
122628,60074686,80129683,2022-12-30,3
122629,60074686,80129684,2022-12-30,3
122639,60074686,80129689,2022-12-30,3
122648,60074450,80130025,2023-01-09,3
122649,60072687,80130026,2022-12-31,3
122650,60075199,80130027,2022-12-31,3
122656,60074686,80129693,2022-12-30,3
122658,60074686,80129695,2022-12-30,3
122664,60074678,80129699,2023-01-04,3
122668,60075351,80129703,2023-01-15,3
122670,60074686,80129705,2022-12-30,3
122673,60074686,80129708,2022-12-30,3
122676,60074463,80129711,2023-01-03,3
122678,60075092,80129713,2023-01-10,3
122681,60075197,80129717,2022-12-30,3
122697,60055151,80129106,2022-12-27,3
122699,60075539,80130043,2023-01-03,3
122700,60074761,80130045,2022-12-31,3
122703,60075181,80130050,2022-12-31,3
122704,60075498,80130051,2023-01-07,3
122707,60075494,80130054,2022-12-30,3
122711,60075283,80130058,2023-01-04,3
122720,60075509,80130061,2023-01-03,3
122722,60075143,80130064,2022-12-31,3
122724,60075508,80130067,2023-01-04,3
122726,60026306,80130069,2023-01-04,3
122733,60074676,80129360,2023-01-03,3
122737,60075234,80129720,2023-01-04,3
122738,60074141,80129721,2023-01-09,3
122739,60074154,80129722,2023-01-04,3
122740,60074154,80129723,2023-01-04,3
122745,60074794,80130071,2023-01-03,3
122746,60075143,80130072,2022-12-31,3
122747,60074237,80130073,2023-01-03,3
122748,60074210,80130074,2023-01-04,3
122751,60074265,80130078,2023-01-04,3
122755,60055151,80130081,2023-01-04,3
122757,60075132,80130083,2023-01-07,3
122758,60075062,80130084,2023-01-04,3
122759,60074623,80130085,2023-01-09,3
122760,60073837,80130086,2023-01-04,3
122761,60075143,80130087,2023-01-12,3
122762,60072687,80130088,2022-12-31,3
122763,60075232,80130089,2023-01-04,3
122765,60075143,80130091,2023-01-03,3
122767,60075292,80130093,2022-12-30,3
122768,60074794,80130094,2023-01-03,3
122788,60074134,80129372,2023-01-09,3
122793,60071860,80129377,2022-12-30,3
122798,60074837,80129382,2022-12-28,3
122799,60075064,80129383,2022-12-29,3
122803,60075067,80129387,2022-12-29,3
122807,60075131,80129391,2023-01-07,3
122812,60075149,80129396,2022-12-31,3
122825,60069360,80129407,2022-12-30,3
122826,60075002,80129408,2022-12-30,3
122829,60069360,80129411,2022-12-30,3
122835,60074803,80129412,2023-01-10,3
122836,60074676,80129413,2022-12-28,3
122837,60074804,80129414,2023-01-10,3
122838,60074117,80129415,2023-01-04,3
122849,60075143,80130097,2023-01-03,3
122861,60075143,80130099,2023-01-03,3
122862,60075545,80130100,2023-01-09,3
122877,60074731,80130108,2023-01-04,3
122882,60074676,80129423,2022-12-28,3
122891,60075216,80129728,2023-01-04,3
122899,60074757,80129732,2023-01-04,3
122904,60075094,80130122,2023-02-08,2
122905,60074805,80129428,2023-01-10,3
122907,60073308,80128741,2022-12-23,3
122913,60075006,80130124,2023-01-05,3
122915,60075195,80130126,2022-12-31,3
122916,60026306,80130127,2023-01-10,3
122917,60075199,80130128,2022-12-31,3
122925,60074686,80129133,2022-12-26,3
122928,60074686,80129136,2022-12-26,3
122930,60074802,80129433,2023-01-10,3
122931,60074805,80129434,2023-01-10,3
122937,60075078,80130134,2023-01-10,3
122939,60073308,80128747,2022-12-23,3
122946,60074834,80129435,2023-01-08,3
122955,60075194,80130136,2022-12-31,3
122961,60074743,80129443,2022-12-29,3
122964,60074686,80129143,2022-12-26,3
122965,60074686,80129144,2022-12-26,3
122967,60074686,80129146,2022-12-26,3
122969,60075092,80129148,2023-01-10,3
122976,60074462,80128758,2023-01-04,3
122978,60074595,80128760,2022-12-23,3
122980,60075204,80129734,2022-12-30,3
122989,60075257,80129445,2022-12-31,3
122990,60075163,80129446,2022-12-29,3
122991,60074743,80129447,2023-01-10,3
122992,60074686,80129149,2022-12-26,3
123003,60074683,80129451,2022-12-29,3
123006,60074713,80129742,2023-01-03,3
123007,60074713,80129743,2023-01-08,3
123008,60074758,80129744,2023-01-10,3
123017,60075110,80129751,2022-12-31,3
123023,60075221,80130145,2023-01-04,3
123041,60075163,80129456,2023-02-13,2
123043,60074743,80129458,2022-12-31,3
123055,60075336,80130154,2023-01-05,3
123060,60074684,80129459,2022-12-29,3
123063,60074679,80129763,2023-01-04,3
123066,60074597,80129765,2023-01-09,3
123067,60074144,80129766,2023-01-04,3
123068,60074142,80129767,2023-01-03,3
123069,60075163,80129768,2023-01-03,3
123070,60074583,80129769,2023-01-08,3
123077,60074720,80129771,2022-12-30,3
123081,60074686,80129775,2022-12-30,3
123084,60074743,80129778,2022-12-31,3
123088,60074666,80129464,2022-12-28,3
123089,60074142,80129780,2023-01-03,3
123090,60074142,80129781,2023-01-03,3
123092,60055151,80129783,2023-01-01,3
123093,60075181,80129784,2022-12-29,3
123098,60074934,80129786,2022-12-29,3
123100,60075197,80129788,2022-12-30,3
123102,60075237,80129790,2023-01-04,3
123104,60074551,80129793,2023-01-09,3
123105,60075149,80129794,2022-12-31,3
123106,60074597,80129795,2023-01-09,3
123107,60074141,80129796,2023-01-09,3
123108,60074686,80129797,2022-12-30,3
123113,60055151,80129471,2022-12-28,3
123117,60074212,80129800,2023-01-03,3
123121,60074155,80129804,2023-01-03,3
123129,60074461,80130155,2023-01-14,3
123130,60074841,80130156,2023-01-14,3
123131,60074831,80129809,2022-12-29,3
123133,60074087,80129811,2023-01-02,3
123134,60075344,80129812,2023-01-04,3
123135,60074765,80129813,2023-01-04,3
123141,60074142,80129814,2023-01-03,3
123142,60074146,80129815,2023-01-04,3
123149,60055151,80129817,2023-01-01,3
123151,60074154,80129819,2023-01-04,3
123157,60075236,80129492,2022-12-27,3
123160,60074551,80129824,2023-01-09,3
123167,60074765,80129827,2023-01-03,3
123168,60075308,80129828,2023-01-05,3
123169,60074035,80128776,2022-12-24,3
123171,60055151,80129830,2023-01-03,3
123172,60074839,80129831,2022-12-30,3
123174,60074748,80129833,2022-12-30,3
123178,60074839,80129838,2022-12-30,3
123179,60074838,80129839,2022-12-30,3
123181,60074980,80129493,2022-12-29,3
123182,60075163,80129494,2023-01-03,3
123183,60075163,80129495,2022-12-29,3
123185,60074676,80129498,2022-12-28,3
123186,60075163,80129499,2022-12-29,3
123191,60074983,80129842,2023-01-18,3
123197,60074806,80130159,2023-01-10,3
123199,60075163,80130161,2023-01-18,3
123200,60075163,80129500,2022-12-29,3
123204,60074142,80129846,2023-01-03,3
123208,60074757,80130163,2023-01-04,3
123211,60074838,80129849,2022-12-30,3
123233,60074945,80129862,2023-01-03,3
123246,60074801,80130166,2023-01-10,3
123249,60074250,80130169,2023-01-07,3
123259,60074837,80129510,2022-12-28,3
123265,60075070,80129185,2022-12-26,3
123268,60075070,80129188,2023-01-08,3
123269,60074563,80129511,2022-12-28,3
123273,60075252,80130173,2023-01-03,3
123274,60074918,80130177,2022-12-31,3
123277,60074960,80130181,2023-01-14,3
123282,60069836,80130186,2022-12-31,3
123289,60074743,80129518,2022-12-31,3
123297,60075000,80130198,2023-01-10,3
123298,60043211,80130199,2023-01-13,3
123300,60074621,80129519,2022-12-27,3
123306,60075461,80130203,2023-01-03,3
123310,60075080,80130207,2023-01-08,3
123314,60043211,80130211,2023-01-13,3
123315,60075231,80130212,2023-01-04,3
123316,60075080,80130213,2023-01-08,3
123325,60043211,80130218,2023-01-13,3
123334,60075083,80129876,2023-01-04,3
123336,60075083,80129878,2023-01-04,3
123337,60074474,80129879,2023-01-03,3
123342,60074679,80129535,2022-12-31,3
123343,60074454,80129536,2022-12-27,3
123345,60074454,80129539,2022-12-27,3
123346,60074819,80129540,2022-12-31,3
123348,60075197,80129542,2022-12-30,3
123349,60075197,80129543,2022-12-30,3
123350,60075197,80129544,2022-12-30,3
123353,60074778,80129547,2022-12-30,3
123354,60070852,80129548,2022-12-29,3
123359,60074678,80129553,2022-12-31,3
123361,60074542,80129555,2022-12-30,3
123363,60074778,80129558,2022-12-30,3
123367,60074722,80129562,2022-12-30,3
123368,60074154,80129563,2023-01-03,3
123376,60074755,80129571,2023-01-08,3
123378,60074049,80129573,2023-01-04,3
123388,60074659,80129583,2022-12-30,3
123391,60075207,80129586,2023-01-04,3
123393,60075208,80129588,2023-01-04,3
123395,60074986,80129590,2022-12-30,3
123397,60075197,80129592,2022-12-30,3
123404,60074568,80129599,2022-12-30,3
123406,60074049,80129601,2023-01-04,3
123419,60074667,80129192,2022-12-28,3
123421,60074762,80129194,2023-01-09,3
123446,60033352,80130290,2023-01-10,3
123448,60060590,80130292,2023-01-09,3
123453,60075341,80130297,2023-01-15,3
123458,60074967,80130301,2023-01-10,3
123459,60074680,80130620,2023-01-10,3
123464,60075383,80130625,2023-01-10,3
123467,60074796,80130628,2023-01-09,3
123468,60075023,80130629,2023-01-14,3
123470,60074800,80130631,2023-01-10,3
123471,60073433,80130632,2023-01-16,3
123473,60074646,80130634,2023-01-10,3
123474,60074716,80130636,2023-01-12,3
123475,60072972,80130637,2023-01-09,3
123478,60074646,80130640,2023-01-08,3
123482,60075519,80130644,2023-01-12,3
123483,60069884,80130646,2023-01-10,3
123502,60072049,80130302,2023-01-13,3
123513,60074970,80130312,2023-01-09,3
123531,60074955,80129898,2023-01-04,3
123533,60020975,80129900,2023-01-12,3
123537,60075498,80130221,2023-01-12,3
123539,60074677,80130223,2023-01-09,3
123543,60074677,80130227,2023-01-09,3
123546,60074556,80130230,2023-01-10,3
123547,60075425,80130231,2023-01-16,3
123552,60074968,80130316,2023-01-15,3
123554,60043211,80130235,2023-01-13,3
123555,60043211,80130236,2023-01-13,3
123556,60029058,80130317,2023-01-11,3
123563,60075425,80130321,2023-02-04,2
123564,60075336,80130322,2023-01-09,3
123567,60072782,80129906,2023-01-09,3
123570,60075286,80129910,2023-01-03,3
123585,60074813,80129920,2022-12-31,3
123587,60074120,80129922,2023-01-06,3
123588,60075085,80129923,2023-01-09,3
123592,60074719,80129927,2023-01-03,3
123593,60074833,80129928,2023-01-16,3
123597,60075342,80130326,2023-01-09,3
123613,60074969,80130342,2023-01-14,3
123615,60074734,80130344,2023-01-11,3
123620,60074731,80130349,2023-01-05,3
123634,60075013,80130360,2023-01-09,3
123645,60043211,80130249,2023-01-13,3
123649,60075105,80129930,2023-01-05,3
123656,60075163,80130364,2023-01-18,3
123657,60075435,80130666,2023-01-10,3
123658,60074710,80130667,2023-01-09,3
123659,60075527,80130668,2023-01-09,3
123663,60075521,80130672,2023-01-09,3
123679,60043211,80130263,2023-01-13,3
123681,60074120,80128794,2022-12-21,3
123686,60071972,80130265,2023-01-05,3
123692,60074412,80128801,2022-12-21,3
123711,60075074,80130674,2023-01-10,3
123716,60074974,80130676,2023-01-13,3
123721,60055151,80130367,2023-01-04,3
123726,60055151,80130372,2023-01-04,3
123727,60055151,80130373,2023-01-04,3
123728,60074948,80130374,2023-01-10,3
123732,60074669,80130944,2023-01-10,3
123743,60075351,80130375,2023-01-09,3
123749,60075097,80130948,2023-01-10,3
123752,60074976,80130680,2023-01-13,3
123759,60075541,80130282,2023-01-10,3
123760,60075311,80130283,2023-01-10,3
123764,60075187,80130383,2023-01-09,3
123765,60075179,80130384,2023-01-09,3
123766,60074510,80131248,2023-01-09,3
123767,60075725,80131249,2023-01-10,3
123775,60060590,80130387,2023-01-10,3
123776,60071425,80130388,2023-01-10,3
123777,60075425,80130284,2023-01-16,3
123787,60074510,80131250,2023-01-09,3
123788,60075723,80131251,2023-01-09,3
123790,60075710,80131253,2023-01-09,3
123793,60075750,80131256,2023-01-09,3
123795,60075374,80131258,2023-01-09,3
123798,60074584,80131261,2023-01-10,3
123799,60075720,80131262,2023-01-11,3
123802,60074603,80131266,2023-01-09,3
123803,60070720,80130389,2023-01-09,3
123804,60075545,80130390,2023-01-08,3
123806,60074119,80130692,2023-01-05,3
123810,60075351,80130392,2023-01-09,3
123811,60034573,80130393,2023-01-10,3
123816,60073069,80130699,2023-01-10,3
123821,60075617,80130957,2023-02-01,2
123823,60074606,80130397,2023-01-09,3
123830,60026306,80131604,2023-01-16,3
123838,60075357,80131608,2023-01-13,3
123839,60075632,80131609,2023-01-13,3
123843,60075230,80130400,2023-01-08,3
123844,60075100,80130401,2023-01-06,3
123845,60074795,80130402,2023-01-06,3
123847,60074795,80130404,2023-01-06,3
123854,60075721,80130969,2023-01-16,3
123858,60075444,80131272,2023-01-09,3
123865,60075293,80130973,2023-01-06,3
123878,60073433,80130979,2023-01-10,3
123886,60075296,80130406,2023-01-06,3
123887,60074924,80130407,2023-01-05,3
123889,60075549,80131614,2023-02-02,2
123890,60075549,80131615,2023-02-02,2
123891,60075636,80131616,2023-01-13,3
123903,60075277,80130988,2023-01-08,3
123913,60074924,80130409,2023-01-05,3
123914,60075613,80131282,2023-01-11,3
123924,60073433,80130997,2023-01-11,3
123938,60075293,80131001,2023-01-08,3
123940,60075046,80131286,2023-01-11,3
123943,60075549,80131627,2023-02-06,2
123944,60075549,80131628,2023-02-06,2
123946,60074923,80130415,2023-01-05,3
123948,60074923,80130417,2023-01-05,3
123954,60075444,80131290,2023-01-09,3
123955,60075578,80131291,2023-01-11,3
123965,60075578,80131292,2023-01-11,3
123968,60075444,80131295,2023-01-09,3
123970,60075179,80131629,2023-01-16,3
123974,60075353,80131633,2023-01-13,3
123975,60074679,80131634,2023-01-17,3
123978,60072972,80130421,2023-01-09,3
123988,60075003,80131011,2023-01-10,3
123990,60075281,80131013,2023-01-09,3
123991,60075311,80131014,2023-01-11,3
123994,60074806,80130731,2023-01-10,3
123997,60075506,80130735,2023-01-09,3
124004,60075864,80131644,2023-01-18,3
124011,60075123,80130429,2023-01-10,3
124015,60075444,80131306,2023-01-09,3
124018,60075444,80131310,2023-01-09,3
124019,60075579,80131311,2023-01-09,3
124021,60075262,80130736,2023-01-09,3
124025,60074681,80130740,2023-01-06,3
124029,60075864,80131649,2023-01-18,3
124030,60075410,80131650,2023-02-06,2
124033,60074672,80131019,2023-01-11,3
124035,60075273,80130430,2023-01-10,3
124036,60075183,80130431,2023-01-09,3
124042,60075444,80131318,2023-01-09,3
124045,60075359,80130434,2023-01-09,3
124047,60074679,80131652,2023-01-17,3
124048,60075545,80131653,2023-02-08,2
124059,60075447,80131323,2023-01-09,3
124060,60075864,80131654,2023-01-19,3
124064,60074575,80130436,2023-01-09,3
124065,60074741,80130437,2023-01-09,3
124066,60075183,80130438,2023-01-09,3
124077,60075549,80131662,2023-02-03,2
124081,60075444,80131329,2023-01-09,3
124083,60075422,80131331,2023-02-01,2
124085,60074646,80130441,2023-01-08,3
124086,60075183,80130442,2023-01-09,3
124087,60075503,80130443,2023-01-09,3
124089,60075183,80130445,2023-01-09,3
124091,60075024,80130745,2023-01-16,3
124092,60074590,80130746,2023-01-08,3
124097,60075520,80130450,2023-01-05,3
124099,60069186,80131031,2023-01-16,3
124103,60074674,80131332,2023-01-18,3
124104,60075444,80131333,2023-01-09,3
124106,60073788,80131335,2023-01-10,3
124108,60075864,80131663,2023-01-19,3
124109,60074208,80131664,2023-01-15,3
124110,60075183,80131665,2023-01-14,3
124111,60074208,80131666,2023-01-15,3
124112,60075279,80131667,2023-01-16,3
124113,60075183,80131668,2023-01-14,3
124115,60075419,80130453,2023-01-09,3
124116,60075154,80130454,2023-01-10,3
124118,60074138,80130456,2023-01-10,3
124119,60075545,80130457,2023-01-09,3
124121,60073831,80131036,2023-03-06,1
124122,60074672,80131037,2023-01-11,3
124123,60075364,80131038,2023-03-03,1
124125,60075444,80131338,2023-01-09,3
124127,60075447,80131340,2023-01-09,3
124128,60073788,80131341,2023-01-11,3
124129,60075437,80131342,2023-01-10,3
124130,60075444,80131343,2023-01-09,3
124135,60075573,80130460,2023-01-13,3
124136,60075279,80131669,2023-01-16,3
124139,60074116,80131672,2023-01-16,3
124149,60074806,80131040,2023-01-10,3
124151,60075447,80131346,2023-01-09,3
124152,60075447,80131347,2023-01-09,3
124153,60075447,80131348,2023-01-09,3
124154,60075444,80131349,2023-01-09,3
124158,60074569,80131353,2023-01-10,3
124162,60075277,80131677,2023-01-14,3
124163,60075295,80131678,2023-01-14,3
124164,60075520,80130461,2023-01-05,3
124166,60075583,80130463,2023-01-09,3
124170,60075603,80131047,2023-01-09,3
124171,60074670,80131048,2023-01-11,3
124174,60075578,80131356,2023-01-11,3
124178,60075513,80130761,2023-01-05,3
124179,60075293,80131679,2023-01-14,3
124180,60075294,80131680,2023-01-14,3
124181,60075810,80131681,2023-01-16,3
124182,60075688,80131682,2023-01-27,3
124186,60075876,80131683,2023-01-27,3
124187,60075810,80131684,2023-01-16,3
124188,60074147,80131685,2023-01-27,3
124189,60075876,80131686,2023-01-27,3
124190,60075807,80131687,2023-01-18,3
124191,60075807,80131688,2023-01-18,3
124201,60075513,80130764,2023-01-05,3
124203,60075654,80131357,2023-01-11,3
124204,60075581,80131358,2023-01-11,3
124205,60075444,80131359,2023-01-09,3
124206,60075447,80131360,2023-01-09,3
124210,60073864,80131365,2023-01-18,3
124211,60075447,80131366,2023-01-09,3
124212,60073788,80131367,2023-01-10,3
124214,60075092,80131050,2023-01-10,3
124216,60074140,80131052,2023-01-12,3
124218,60074118,80131690,2023-01-18,3
124219,60075688,80131691,2023-01-17,3
124220,60074118,80131692,2023-01-18,3
124221,60075549,80131693,2023-02-03,2
124230,60075585,80130478,2023-01-10,3
124233,60074932,80131054,2023-01-31,3
124235,60075463,80131056,2023-02-01,2
124236,60075447,80131368,2023-01-09,3
124237,60073788,80131369,2023-01-10,3
124239,60075818,80131696,2023-01-18,3
124249,60075615,80131371,2023-01-11,3
124250,60075436,80131372,2023-01-10,3
124251,60075444,80131373,2023-01-09,3
124259,60073788,80131375,2023-01-11,3
124260,60075447,80131376,2023-01-09,3
124261,60075447,80131379,2023-01-09,3
124262,60075447,80131380,2023-01-09,3
124263,60075447,80131381,2023-01-09,3
124265,60075447,80131385,2023-01-09,3
124269,60075444,80131389,2023-01-09,3
124270,60075054,80131390,2023-01-18,3
124271,60075305,80131391,2023-01-11,3
124272,60075447,80131392,2023-01-09,3
124273,60075447,80131393,2023-01-09,3
124274,60075447,80131394,2023-01-09,3
124275,60072438,80131395,2023-01-11,3
124276,60075659,80131396,2023-01-09,3
124282,60075634,80130778,2023-01-07,3
124286,60075288,80130782,2023-01-09,3
124289,60075734,80131698,2023-01-17,3
124290,60075816,80131699,2023-01-18,3
124291,60074488,80131700,2023-01-17,3
124298,60074139,80131070,2023-01-10,3
124303,60075741,80131401,2023-01-09,3
124304,60075601,80131402,2023-01-11,3
124305,60075659,80131404,2023-01-09,3
124307,60075447,80131405,2023-01-09,3
124315,60075311,80131408,2023-01-10,3
124316,60075263,80130790,2023-01-09,3
124317,60075263,80130791,2023-01-09,3
124337,60075447,80131412,2023-01-09,3
124338,60075447,80131413,2023-01-09,3
124339,60075447,80131414,2023-01-09,3
124340,60075447,80131415,2023-01-09,3
124342,60075459,80131417,2023-01-31,3
124345,60072438,80131420,2023-01-11,3
124346,60075579,80131421,2023-01-09,3
124358,60075710,80131425,2023-01-10,3
124361,60075311,80131429,2023-01-11,3
124362,60075872,80131702,2023-03-09,1
124364,60074148,80131703,2023-01-27,3
124365,60074509,80131704,2023-01-17,3
124368,60074988,80130812,2023-01-10,3
124371,60074703,80130815,2023-01-13,3
124372,60074703,80130816,2023-03-06,1
124375,60074570,80131431,2023-01-10,3
124376,60075579,80131432,2023-01-09,3
124383,60075427,80131439,2023-02-04,2
124391,60075806,80131705,2023-01-17,3
124392,60075625,80131706,2023-01-16,3
124393,60075854,80131707,2023-01-18,3
124394,60075872,80131708,2023-01-16,3
124399,60075013,80130485,2023-01-09,3
124400,60074741,80130486,2023-01-09,3
124405,60074979,80131092,2023-01-18,3
124406,60075332,80131442,2023-01-09,3
124407,60075545,80131443,2023-01-10,3
124411,60075805,80131712,2023-01-27,3
124412,60075279,80131713,2023-01-16,3
124414,60075818,80131715,2023-01-27,3
124415,60074808,80131716,2023-01-15,3
124418,60075545,80130488,2023-01-09,3
124421,60075679,80131094,2023-01-10,3
124426,60075425,80131449,2023-02-04,2
124427,60075745,80131450,2023-01-09,3
124429,60075704,80131451,2023-01-13,3
124430,60059672,80131452,2023-01-09,3
124431,60070720,80131453,2023-01-09,3
124432,60075650,80130820,2023-01-09,3
124438,60074808,80131721,2023-01-15,3
124449,60074216,80130490,2023-01-10,3
124458,60074450,80131457,2023-01-10,3
124461,60075260,80130497,2023-01-06,3
124465,60034082,80131107,2023-01-30,3
124468,60075706,80131459,2023-01-11,3
124469,60075198,80131460,2023-01-09,3
124470,60073831,80131110,2023-03-06,1
124478,60073306,80130827,2023-01-09,3
124479,60075196,80131464,2023-01-19,3
124481,60075012,80131115,2023-01-09,3
124489,60075706,80131466,2023-01-11,3
124490,60075730,80131467,2023-01-19,3
124494,60073397,80130508,2023-01-09,3
124499,60074666,80130831,2023-01-09,3
124504,60074961,80130510,2023-01-13,3
124510,60074577,80131471,2023-01-09,3
124514,60075631,80130834,2023-01-10,3
124517,60074577,80131475,2023-01-09,3
124518,60075745,80131476,2023-01-09,3
124519,60075885,80131723,2023-01-16,3
124521,60075885,80131725,2023-01-16,3
124522,60075730,80131726,2023-01-19,3
124523,60075311,80131122,2023-01-10,3
124530,60075081,80130516,2023-01-10,3
124531,60073333,80130517,2023-01-10,3
124535,60075703,80130839,2023-01-11,3
124538,60075198,80131477,2023-01-09,3
124539,60059672,80131478,2023-01-09,3
124540,60059672,80131479,2023-01-09,3
124541,60075642,80131480,2023-01-18,3
124542,60057789,80131481,2023-02-08,2
124543,60075456,80131126,2023-01-12,3
124545,60075885,80131728,2023-01-30,3
124546,60074758,80131729,2023-01-27,3
124552,60075715,80130843,2023-01-10,3
124553,60075351,80130844,2023-01-09,3
124567,60075268,80131733,2023-01-16,3
124570,60075863,80131736,2023-01-19,3
124574,60074407,80131487,2023-01-09,3
124581,60070796,80130528,2023-01-10,3
124583,60075183,80130530,2023-01-09,3
124584,60075297,80130531,2023-01-08,3
124586,60074807,80130846,2023-01-13,3
124596,60075545,80130857,2023-01-10,3
124602,60074574,80130864,2023-01-09,3
124603,60075355,80130865,2023-01-09,3
124614,60075355,80130876,2023-01-09,3
124615,60075262,80130877,2023-01-09,3
124616,60074979,80130878,2023-01-18,3
124626,60075043,80130886,2023-01-10,3
124628,60074670,80131138,2023-01-11,3
124640,60067425,80131144,2023-02-21,2
124642,60074961,80130533,2023-01-13,3
124645,60075505,80130536,2023-01-09,3
124648,60075180,80131491,2023-01-09,3
