,AGENT NO,PY2,RYC,%Bonus,Bonus RYC
262,60022274,0.9928,3360000.0,0.5,1680000.0
263,60022286,0.0,,0.0,
264,60022354,0.7678,,0.3,
265,60022359,0.4177,1035000.0,0.0,0.0
266,60022403,0.0,,0.0,
267,60022451,1.0,,0.5,
268,60022586,0.0,,0.0,
269,60022591,0.4742,3233000.0,0.0,0.0
270,60022710,0.0,,0.0,
271,60022750,0.0,,0.0,
272,60022764,0.2521,4707000.0,0.0,0.0
273,60022779,0.0,4569000.0,0.0,0.0
274,60022802,1.0,750000.0,0.5,375000.0
275,60022822,1.0,,0.5,
276,60022839,0.0,,0.0,
277,60022848,1.0,,0.5,
278,60022927,0.0,,0.0,
279,60022964,1.0,,0.5,
280,60022988,0.0,,0.0,
281,60023038,0.0,386000.0,0.0,0.0
282,60023039,0.0,1156000.0,0.0,0.0
283,60023050,0.7049,650000.0,0.3,195000.0
284,60023058,0.0,249000.0,0.0,0.0
285,60023135,0.0,313000.0,0.0,0.0
286,60023159,0.5262,3163000.0,0.0,0.0
287,60023176,0.0,,0.0,
288,60023201,0.0,1170000.0,0.0,0.0
289,60023289,0.7246,852000.0,0.3,255600.0
290,60023311,0.5031,374000.0,0.0,0.0
291,60023321,0.7532,,0.3,
292,60023356,0.0,,0.0,
293,60023409,1.0,695000.0,0.5,347500.0
294,60023528,0.0,,0.0,
295,60023531,1.0,,0.5,
296,60023558,0.0,,0.0,
297,60023566,0.4083,,0.0,
298,60023586,0.0,992000.0,0.0,0.0
299,60023620,1.0,1202000.0,0.5,601000.0
300,60023655,0.7535,1564000.0,0.3,469200.0
301,60023717,0.3619,2724000.0,0.0,0.0
302,60023752,1.0,,0.5,
303,60023759,0.0,,0.0,
304,60023760,1.0,203000.0,0.5,101500.0
305,60023861,1.0,461000.0,0.5,230500.0
306,60023956,0.0,,0.0,
307,60024007,0.8203,,0.35,
308,60024145,1.0,186000.0,0.5,93000.0
309,60024188,0.3647,1143000.0,0.0,0.0
310,60024304,0.6994,4206000.0,0.0,0.0
311,60024352,0.9875,1471000.0,0.5,735500.0
312,60024368,0.7733,,0.3,
313,60024394,0.0981,1316000.0,0.0,0.0
314,60024433,0.0,,0.0,
315,60024436,0.0,,0.0,
316,60024471,0.3323,1817000.0,0.0,0.0
317,60024499,0.2516,,0.0,
318,60024534,1.0,,0.5,
319,60024552,0.0,,0.0,
320,60024553,0.0,,0.0,
321,60024564,0.0,,0.0,
322,60024591,0.5018,,0.0,
323,60024606,0.0,,0.0,
324,60024649,0.272,,0.0,
325,60024677,0.0,,0.0,
326,60024700,0.5017,1222000.0,0.0,0.0
327,60024811,1.0,,0.5,
328,60024833,0.4754,574000.0,0.0,0.0
329,60024843,1.0,,0.5,
330,60024845,0.0,1546000.0,0.0,0.0
331,60024866,1.0,,0.5,
332,60024921,0.5691,,0.0,
333,60024925,1.0,,0.5,
334,60024960,0.0,,0.0,
335,60025007,0.05,12055000.0,0.0,0.0
336,60025011,1.0,1726000.0,0.5,863000.0
337,60025025,0.5247,,0.0,
338,60025050,1.0,,0.5,
339,60025068,0.0,,0.0,
340,60025187,1.0,,0.5,
341,60025210,0.0,,0.0,
342,60025234,0.3377,,0.0,
343,60025243,1.0,,0.5,
344,60025279,1.0,,0.5,
345,60025308,0.2783,60000.0,0.0,0.0
346,60025396,0.0,,0.0,
347,60025421,1.0,512000.0,0.5,256000.0
348,60025432,1.0,492000.0,0.5,246000.0
349,60025458,1.0,,0.5,
350,60025464,0.9569,,0.5,
351,60025480,0.0,,0.0,
352,60025503,1.0,,0.5,
353,60025524,1.0,,0.5,
354,60025543,1.0,,0.5,
355,60025547,0.1874,40000.0,0.0,0.0
356,60025572,0.0,327000.0,0.0,0.0
357,60025599,0.0,,0.0,
358,60025625,1.0,,0.5,
359,60025626,0.0,,0.0,
360,60025656,0.2962,,0.0,
361,60025678,0.5007,,0.0,
362,60025688,1.0,,0.5,
363,60025740,1.0,2037000.0,0.5,1018500.0
364,60025744,0.6927,,0.0,
365,60025863,0.0,,0.0,
366,60025921,1.0,,0.5,
367,60025956,1.0,,0.5,
368,60025986,1.0,,0.5,
369,60025995,0.0,,0.0,
370,60025997,0.2647,180000.0,0.0,0.0
371,60025998,0.0,,0.0,
372,60026017,0.2078,1168000.0,0.0,0.0
373,60026018,1.0,,0.5,
374,60026023,1.0,,0.5,
375,60026048,0.5033,,0.0,
376,60026077,0.0,,0.0,
377,60026079,0.3377,,0.0,
378,60026098,0.0,250000.0,0.0,0.0
379,60026101,0.0,,0.0,
380,60026105,0.0,360000.0,0.0,0.0
381,60026111,0.5766,5945000.0,0.0,0.0
382,60026172,0.9904,,0.5,
383,60026208,0.0,,0.0,
384,60026227,1.0,,0.5,
385,60026234,0.1877,1304000.0,0.0,0.0
386,60026259,0.5015,,0.0,
387,60026331,1.0,,0.5,
388,60026389,0.0,,0.0,
389,60026425,0.1185,4092000.0,0.0,0.0
390,60026428,1.0,,0.5,
391,60026472,0.0,738000.0,0.0,0.0
392,60026501,1.0,1467000.0,0.5,733500.0
393,60026525,0.2727,1536000.0,0.0,0.0
394,60026529,0.0,,0.0,
395,60026559,0.0,2291000.0,0.0,0.0
396,60026561,1.0,1390000.0,0.5,695000.0
397,60026600,1.0,,0.5,
398,60026601,0.1532,2596000.0,0.0,0.0
399,60026625,1.0,1834000.0,0.5,917000.0
400,60026629,0.0,,0.0,
401,60026643,0.0,,0.0,
402,60026703,1.0,,0.5,
403,60026744,1.0,,0.5,
404,60026749,1.0,,0.5,
405,60026777,1.0,,0.5,
406,60026828,0.5138,,0.0,
407,60026830,0.0,,0.0,
408,60026841,0.4648,6052000.0,0.0,0.0
409,60026850,0.0,,0.0,
410,60026855,0.2071,,0.0,
411,60026857,1.0,893000.0,0.5,446500.0
412,60026861,0.0,151000.0,0.0,0.0
413,60026906,1.0,,0.5,
414,60026909,1.0,,0.5,
415,60026910,0.0,,0.0,
416,60026911,1.0,,0.5,
417,60026913,1.0,,0.5,
418,60026914,0.0,,0.0,
419,60026968,0.202,13203000.0,0.0,0.0
420,60026993,0.0,,0.0,
421,60026999,1.0,299000.0,0.5,149500.0
422,60027006,0.0,,0.0,
423,60027028,0.0,,0.0,
424,60027074,1.0,,0.5,
425,60027085,0.2418,,0.0,
426,60027086,0.7437,627000.0,0.3,188100.0
427,60027106,0.0,,0.0,
428,60027252,0.0,,0.0,
429,60027309,0.0,,0.0,
430,60027388,0.4747,491000.0,0.0,0.0
431,60027423,0.0,,0.0,
432,60027431,0.0,2098000.0,0.0,0.0
433,60027432,0.0,,0.0,
434,60027440,1.0,,0.5,
435,60027443,1.0,,0.5,
436,60027457,0.0,,0.0,
437,60027461,0.0,,0.0,
438,60027469,1.0,,0.5,
439,60027470,1.0,,0.5,
440,60027480,1.0,,0.5,
441,60027488,0.0,462000.0,0.0,0.0
442,60027500,1.0,,0.5,
443,60027501,1.0,,0.5,
444,60027530,0.4592,3313000.0,0.0,0.0
445,60027534,0.0972,,0.0,
446,60027545,1.0,,0.5,
447,60027584,0.0,,0.0,
448,60027712,0.0,,0.0,
449,60027715,0.0,,0.0,
450,60027716,0.0,,0.0,
451,60027717,0.1971,,0.0,
452,60027718,0.6055,1906000.0,0.0,0.0
453,60027719,0.0,117000.0,0.0,0.0
454,60027762,0.0,,0.0,
455,60027824,0.502,493000.0,0.0,0.0
456,60027840,1.0,,0.5,
457,60027861,0.0,,0.0,
458,60027912,0.0,,0.0,
459,60027923,1.0,,0.5,
460,60027933,0.0,,0.0,
461,60028033,0.0,,0.0,
462,60028050,1.0,,0.5,
463,60028093,1.0,787000.0,0.5,393500.0
464,60028094,1.0,,0.5,
465,60028096,0.0,,0.0,
466,60028108,0.0,,0.0,
467,60028154,0.0,1479000.0,0.0,0.0
468,60028171,0.0,,0.0,
469,60028179,0.4244,,0.0,
470,60028181,0.5117,,0.0,
471,60028183,1.0,,0.5,
472,60028216,1.0,,0.5,
473,60028258,0.0,,0.0,
474,60028268,0.5021,1164000.0,0.0,0.0
475,60028277,0.0,,0.0,
476,60028290,0.0,,0.0,
477,60028292,0.5419,7944000.0,0.0,0.0
478,60028298,0.1682,596000.0,0.0,0.0
479,60028347,0.0,,0.0,
480,60028442,0.0,,0.0,
481,60028464,1.0,611000.0,0.5,305500.0
482,60028469,0.5856,,0.0,
483,60028471,0.0,,0.0,
484,60028475,0.5568,589000.0,0.0,0.0
485,60028490,0.0,,0.0,
486,60028530,1.0,466000.0,0.5,233000.0
487,60028555,0.0,,0.0,
488,60028563,1.0,,0.5,
489,60028603,0.0,,0.0,
490,60028604,0.0,,0.0,
491,60028639,0.0,,0.0,
492,60028650,0.0959,2499000.0,0.0,0.0
493,60028654,0.2062,,0.0,
494,60028661,0.0,239000.0,0.0,0.0
495,60028684,0.7091,2221000.0,0.3,666300.0
496,60028688,0.5606,,0.0,
497,60028708,0.0,,0.0,
498,60028730,0.0,,0.0,
499,60028814,0.376,963000.0,0.0,0.0
500,60028910,0.0,,0.0,
501,60028927,0.0,,0.0,
502,60028931,0.0,,0.0,
503,60028980,0.0,,0.0,
504,60029052,0.7795,,0.3,
505,60029080,1.0,563000.0,0.5,281500.0
506,60029166,0.0,,0.0,
507,60029167,0.0,,0.0,
508,60029219,0.4613,,0.0,
509,60029238,1.0,,0.5,
510,60029406,1.0,,0.5,
511,60029413,0.8525,939000.0,0.35,328650.0
512,60029419,0.0,,0.0,
513,60029425,0.0,1140000.0,0.0,0.0
514,60029429,0.6117,1893000.0,0.0,0.0
515,60029459,1.0,,0.5,
516,60029472,0.1517,487000.0,0.0,0.0
517,60029495,0.5014,,0.0,
518,60029549,1.0,,0.5,
519,60029585,0.0,,0.0,
520,60029593,0.0,,0.0,
521,60029606,0.0,,0.0,
522,60029659,1.0,,0.5,
523,60029681,1.0,,0.5,
524,60029710,1.0,,0.5,
525,60029711,0.566,,0.0,
526,60029768,0.1753,,0.0,
527,60029788,1.0,,0.5,
528,60029810,0.0,,0.0,
529,60029911,1.0,2277000.0,0.5,1138500.0
530,60029913,1.0,,0.5,
531,60029914,1.0,,0.5,
532,60029946,0.0,,0.0,
533,60029951,0.6667,1946000.0,0.0,0.0
534,60029961,0.0,,0.0,
535,60029964,0.5326,,0.0,
536,60029973,0.5744,,0.0,
537,60030011,1.0,,0.5,
538,60030013,0.392,492000.0,0.0,0.0
539,60030065,0.0,,0.0,
540,60030097,1.0,2520000.0,0.5,1260000.0
541,60030106,1.0,,0.5,
542,60030217,1.0,1391000.0,0.5,695500.0
543,60030246,1.0,,0.5,
544,60030374,0.0,402000.0,0.0,0.0
545,60030381,1.0,,0.5,
546,60030398,0.5012,1656000.0,0.0,0.0
547,60030427,0.0,,0.0,
548,60030459,0.0,1011000.0,0.0,0.0
549,60030460,0.0,,0.0,
550,60030464,1.0,,0.5,
551,60030470,0.2511,678000.0,0.0,0.0
552,60030550,0.6634,,0.0,
553,60030626,0.7512,1954000.0,0.3,586200.0
554,60030628,1.0,,0.5,
555,60030653,0.0,,0.0,
556,60030654,0.0,,0.0,
557,60030655,0.625,1474000.0,0.0,0.0
558,60030673,0.0,,0.0,
559,60030705,0.9089,,0.5,
560,60030813,0.0,,0.0,
561,60030935,1.0,,0.5,
562,60031054,0.0,,0.0,
563,60031064,0.0563,1876000.0,0.0,0.0
564,60031069,0.0,,0.0,
565,60031110,1.0,2061000.0,0.5,1030500.0
566,60031179,0.0,749000.0,0.0,0.0
567,60031203,0.0,,0.0,
568,60031212,1.0,3813000.0,0.5,1906500.0
569,60031222,0.6342,2162000.0,0.0,0.0
570,60031227,0.0,,0.0,
571,60031294,0.3566,,0.0,
572,60031298,1.0,,0.5,
573,60031300,0.2526,310000.0,0.0,0.0
574,60031379,0.0,,0.0,
575,60031386,1.0,379000.0,0.5,189500.0
576,60031388,0.0,,0.0,
577,60031396,0.0,,0.0,
578,60031408,1.0,,0.5,
579,60031413,1.0,,0.5,
580,60031416,1.0,,0.5,
581,60031498,1.0,,0.5,
582,60031502,0.5119,9041000.0,0.0,0.0
583,60031508,0.7573,241000.0,0.3,72300.0
584,60031591,0.7724,,0.3,
585,60031631,0.565,2207000.0,0.0,0.0
586,60031635,0.0,,0.0,
587,60031639,1.0,59000.0,0.5,29500.0
588,60031662,0.0,,0.0,
589,60031674,0.0,,0.0,
590,60031681,1.0,717000.0,0.5,358500.0
591,60031791,0.0,,0.0,
592,60031799,0.0,3548000.0,0.0,0.0
593,60031814,0.5041,180000.0,0.0,0.0
594,60031816,1.0,,0.5,
595,60031857,0.0,,0.0,
596,60031873,0.1364,1578000.0,0.0,0.0
597,60031881,1.0,,0.5,
598,60031892,0.5665,,0.0,
599,60031979,1.0,,0.5,
600,60031980,1.0,,0.5,
601,60031982,1.0,,0.5,
602,60032060,1.0,385000.0,0.5,192500.0
603,60032197,1.0,736000.0,0.5,368000.0
604,60032214,1.0,,0.5,
605,60032225,1.0,1498000.0,0.5,749000.0
606,60032246,0.4992,2877000.0,0.0,0.0
607,60032275,1.0,,0.5,
608,60032307,1.0,,0.5,
609,60032344,0.0,,0.0,
610,60032349,1.0,,0.5,
611,60032350,0.6487,839000.0,0.0,0.0
612,60032375,1.0,,0.5,
613,60032385,0.0,,0.0,
614,60032396,0.0,454000.0,0.0,0.0
615,60032454,0.5024,847000.0,0.0,0.0
616,60032520,0.0,,0.0,
617,60032521,0.0975,1979000.0,0.0,0.0
618,60032522,0.0,,0.0,
619,60032527,0.5016,,0.0,
620,60032553,1.0,,0.5,
621,60032592,1.0,,0.5,
622,60032705,0.5805,886000.0,0.0,0.0
623,60032741,0.0,,0.0,
624,60032748,0.4564,1815000.0,0.0,0.0
625,60032749,0.5023,,0.0,
626,60032759,0.5621,,0.0,
627,60032768,1.0,1449000.0,0.5,724500.0
628,60032775,0.0,717000.0,0.0,0.0
629,60032803,1.0,,0.5,
630,60032816,0.6544,566000.0,0.0,0.0
631,60032818,0.4919,1093000.0,0.0,0.0
632,60032855,0.707,478000.0,0.3,143400.0
633,60032856,0.4025,521000.0,0.0,0.0
634,60032860,0.0,,0.0,
635,60032880,0.5863,,0.0,
636,60032887,1.0,2473000.0,0.5,1236500.0
637,60032889,0.0,557000.0,0.0,0.0
638,60032913,1.0,,0.5,
639,60032916,0.6238,5823000.0,0.0,0.0
640,60032960,0.0,,0.0,
641,60032991,0.4121,,0.0,
642,60033043,0.2782,3292000.0,0.0,0.0
643,60033057,0.642,1447000.0,0.0,0.0
644,60033064,0.0,,0.0,
645,60033079,1.0,,0.5,
646,60033081,0.0,,0.0,
647,60033082,0.0,,0.0,
648,60033083,0.0,,0.0,
649,60033122,0.0,,0.0,
650,60033123,0.5812,383000.0,0.0,0.0
651,60033128,0.0,,0.0,
652,60033130,0.0,,0.0,
653,60033173,0.0,,0.0,
654,60033191,0.2702,,0.0,
655,60033204,1.0,,0.5,
656,60033235,0.5716,600000.0,0.0,0.0
657,60033357,0.0,672000.0,0.0,0.0
658,60033403,0.7811,,0.3,
659,60033425,1.0,,0.5,
660,60033469,0.5029,1443000.0,0.0,0.0
661,60033471,0.0,4269000.0,0.0,0.0
662,60033477,0.3361,282000.0,0.0,0.0
663,60033480,1.0,17000.0,0.5,8500.0
664,60033484,0.0,,0.0,
665,60033486,0.2116,1132000.0,0.0,0.0
666,60033499,0.3836,1353000.0,0.0,0.0
667,60033561,0.4854,1665000.0,0.0,0.0
668,60033580,0.0,324000.0,0.0,0.0
669,60033592,1.0,,0.5,
670,60033594,0.3148,773000.0,0.0,0.0
671,60033628,1.0,,0.5,
672,60033700,0.0,,0.0,
673,60033716,0.0,,0.0,
674,60033792,0.0,,0.0,
675,60033843,0.0,,0.0,
676,60033844,0.6378,,0.0,
677,60033846,0.4217,960000.0,0.0,0.0
678,60033849,0.2509,,0.0,
679,60033850,0.8076,5352000.0,0.35,1873199.9999999998
680,60033880,1.0,,0.5,
681,60033881,0.0,1928000.0,0.0,0.0
682,60033882,0.4821,1040000.0,0.0,0.0
683,60033917,0.502,,0.0,
684,60033937,0.4193,,0.0,
685,60033983,0.0,,0.0,
686,60034005,1.0,,0.5,
687,60034060,0.4982,3576000.0,0.0,0.0
688,60034086,1.0,,0.5,
689,60034089,0.0,,0.0,
690,60034110,0.0,,0.0,
691,60034135,1.0,,0.5,
692,60034159,0.4571,,0.0,
693,60034217,0.0,,0.0,
694,60034347,0.0,,0.0,
695,60034572,1.0,1751000.0,0.5,875500.0
696,60034693,0.0,,0.0,
697,60034703,0.7944,,0.3,
698,60034730,0.0,,0.0,
699,60034772,0.0,,0.0,
700,60034799,0.0,,0.0,
701,60034831,0.619,,0.0,
702,60034870,0.251,518000.0,0.0,0.0
703,60035116,0.0,,0.0,
704,60035129,0.0,,0.0,
705,60035135,0.252,296000.0,0.0,0.0
706,60035137,0.0,,0.0,
707,60035140,0.5612,,0.0,
708,60035141,0.4433,,0.0,
709,60035145,0.0,,0.0,
710,60035181,0.5909,,0.0,
711,60035205,0.0,,0.0,
712,60035209,0.6574,763000.0,0.0,0.0
713,60035280,0.7907,,0.3,
714,60035284,0.0,,0.0,
715,60035287,1.0,826000.0,0.5,413000.0
716,60035323,0.2674,,0.0,
717,60035332,0.0,,0.0,
718,60035374,0.0,,0.0,
719,60035426,0.0,,0.0,
720,60035464,0.1525,,0.0,
721,60035530,1.0,,0.5,
