,Policy No,Topup Premium,TopupForFYP
246,80017650,0.0,0.0
247,80017664,0.0,0.0
248,80017677,5570000.0,557000.0
249,80017688,323000.0,32300.0
250,80017693,0.0,0.0
251,80017703,0.0,0.0
252,80017717,0.0,0.0
253,80017735,2574000.0,257400.0
254,80017778,0.0,0.0
255,80017782,-2165000.0,-216500.0
256,80017801,0.0,0.0
257,80017812,0.0,0.0
258,80017814,0.0,0.0
259,80017951,277000.0,27700.0
260,80018045,0.0,0.0
261,80018146,0.0,0.0
262,80018147,0.0,0.0
263,80018176,0.0,0.0
264,80018180,0.0,0.0
265,80018231,2154000.0,215400.0
266,80018277,2180000.0,218000.0
267,80018285,0.0,0.0
268,80018295,0.0,0.0
269,80018320,0.0,0.0
270,80018347,2979000.0,297900.0
271,80018355,0.0,0.0
272,80018375,950000.0,95000.0
273,80018376,0.0,0.0
274,80018377,0.0,0.0
275,80018394,0.0,0.0
276,80018532,2066000.0,206600.0
277,80018583,0.0,0.0
278,80018704,3961000.0,396100.0
279,80018717,0.0,0.0
280,80018751,5213000.0,521300.0
281,80018768,4659000.0,465900.0
282,80018772,485000.0,48500.0
283,80018786,0.0,0.0
284,80018789,0.0,0.0
285,80018790,1468000.0,146800.0
286,80018792,1552000.0,155200.0
287,80018793,532000.0,53200.0
288,80018863,0.0,0.0
289,80018905,0.0,0.0
290,80018930,0.0,0.0
291,80018996,0.0,0.0
292,80019022,0.0,0.0
293,80019038,0.0,0.0
294,80019053,0.0,0.0
295,80019089,0.0,0.0
296,80019152,0.0,0.0
297,80019304,0.0,0.0
298,80019310,0.0,0.0
299,80019328,323000.0,32300.0
300,80019329,0.0,0.0
301,80019358,0.0,0.0
302,80019359,0.0,0.0
303,80019361,0.0,0.0
304,80019366,3029000.0,302900.0
305,80019369,0.0,0.0
306,80019370,0.0,0.0
307,80019375,0.0,0.0
308,80019390,0.0,0.0
309,80019392,0.0,0.0
310,80019393,0.0,0.0
311,80019394,0.0,0.0
312,80019411,0.0,0.0
313,80019415,0.0,0.0
314,80019416,0.0,0.0
315,80019420,0.0,0.0
316,80019423,0.0,0.0
317,80019424,0.0,0.0
318,80019425,0.0,0.0
319,80019426,0.0,0.0
320,80019428,0.0,0.0
321,80019429,1022000.0,102200.0
322,80019434,0.0,0.0
323,80019435,0.0,0.0
324,80019446,0.0,0.0
325,80019447,1782000.0,178200.0
326,80019449,0.0,0.0
327,80019451,1353000.0,135300.0
328,80019453,0.0,0.0
329,80019454,2929000.0,292900.0
330,80019455,0.0,0.0
331,80019458,1223000.0,122300.0
332,80019459,1172000.0,117200.0
333,80019461,0.0,0.0
334,80019464,0.0,0.0
335,80019469,0.0,0.0
336,80019470,4876000.0,487600.0
337,80019477,0.0,0.0
338,80019483,2658000.0,265800.0
339,80019490,0.0,0.0
340,80019502,2069000.0,206900.0
341,80019504,0.0,0.0
342,80019532,0.0,0.0
343,80019533,1000000.0,100000.0
344,80019534,0.0,0.0
345,80019545,0.0,0.0
346,80019559,1390000.0,139000.0
347,80019562,0.0,0.0
348,80019573,0.0,0.0
349,80019577,2867000.0,286700.0
350,80019590,0.0,0.0
351,80019594,0.0,0.0
352,80019602,0.0,0.0
353,80019607,5104000.0,510400.0
354,80019609,0.0,0.0
355,80019614,1385000.0,138500.0
356,80019620,0.0,0.0
357,80019630,0.0,0.0
358,80019637,0.0,0.0
359,80019640,0.0,0.0
360,80019642,1817000.0,181700.0
361,80019645,0.0,0.0
362,80019648,1947000.0,194700.0
363,80019650,1753000.0,175300.0
364,80019664,0.0,0.0
365,80019666,0.0,0.0
366,80019671,3268000.0,326800.0
367,80019674,0.0,0.0
368,80019690,0.0,0.0
369,80019691,0.0,0.0
370,80019715,0.0,0.0
371,80019722,1699000.0,169900.0
372,80019728,2188000.0,218800.0
373,80019730,2980000.0,298000.0
374,80019736,2754000.0,275400.0
375,80019756,0.0,0.0
376,80019761,0.0,0.0
377,80019767,3306000.0,330600.0
378,80019768,0.0,0.0
379,80019782,1379000.0,137900.0
380,80019794,2123000.0,212300.0
381,80019796,3978000.0,397800.0
382,80019798,1617000.0,161700.0
383,80019800,3071000.0,307100.0
384,80019804,0.0,0.0
385,80019805,0.0,0.0
386,80019807,0.0,0.0
387,80019809,0.0,0.0
388,80019821,0.0,0.0
389,80019833,2764000.0,276400.0
390,80019835,0.0,0.0
391,80019842,665000.0,66500.0
392,80019854,1408000.0,140800.0
393,80019893,1121000.0,112100.0
394,80019895,0.0,0.0
395,80019906,1380000.0,138000.0
396,80019908,0.0,0.0
397,80019932,0.0,0.0
398,80019936,0.0,0.0
399,80019938,0.0,0.0
400,80019950,0.0,0.0
401,80019957,1758000.0,175800.0
402,80019965,1140000.0,114000.0
403,80019977,0.0,0.0
404,80020006,2577000.0,257700.0
405,80020028,0.0,0.0
406,80020039,0.0,0.0
407,80020058,0.0,0.0
408,80020110,2713000.0,271300.0
409,80020113,0.0,0.0
410,80020127,0.0,0.0
411,80020140,0.0,0.0
412,80020141,3925000.0,392500.0
413,80020149,0.0,0.0
414,80020151,847000.0,84700.0
415,80020170,0.0,0.0
416,80020172,0.0,0.0
417,80020224,0.0,0.0
418,80020544,0.0,0.0
419,80020651,0.0,0.0
420,80020954,0.0,0.0
421,80022522,3708000.0,370800.0
422,80023028,0.0,0.0
423,80023041,0.0,0.0
424,80023259,0.0,0.0
425,80023260,0.0,0.0
426,80023308,1228000.0,122800.0
427,80023420,691000.0,69100.0
428,80023450,0.0,0.0
429,80023584,1480000.0,148000.0
430,80023778,914000.0,91400.0
431,80023947,0.0,0.0
432,80024054,1890000.0,189000.0
433,80024239,0.0,0.0
434,80024336,0.0,0.0
435,80024426,1065000.0,106500.0
436,80024615,3184000.0,318400.0
437,80024706,0.0,0.0
438,80024905,0.0,0.0
439,80025207,1582000.0,158200.0
440,80025224,0.0,0.0
441,80025270,0.0,0.0
442,80025403,0.0,0.0
443,80025427,0.0,0.0
444,80025518,0.0,0.0
445,80025615,1496000.0,149600.0
446,80025745,0.0,0.0
447,80025881,0.0,0.0
448,80025904,0.0,0.0
449,80025908,0.0,0.0
450,80025997,698000.0,69800.0
451,80026285,1096000.0,109600.0
452,80026538,0.0,0.0
453,80026547,1667000.0,166700.0
454,80026551,1906000.0,190600.0
455,80026584,271000.0,27100.0
456,80026630,0.0,0.0
457,80026705,0.0,0.0
458,80026851,1110000.0,111000.0
459,80026887,0.0,0.0
460,80026926,955000.0,95500.0
461,80027323,0.0,0.0
462,80028307,0.0,0.0
463,80028534,0.0,0.0
464,80028626,0.0,0.0
465,80028715,0.0,0.0
466,80029674,0.0,0.0
467,80029818,0.0,0.0
468,80029959,0.0,0.0
469,80030634,0.0,0.0
470,80031544,0.0,0.0
471,80031881,0.0,0.0
472,80031887,0.0,0.0
473,80031893,0.0,0.0
474,80032333,2532000.0,253200.0
475,80032387,0.0,0.0
476,80032418,0.0,0.0
477,80032498,0.0,0.0
478,80032528,1329000.0,132900.0
479,80032581,0.0,0.0
480,80032621,3675000.0,367500.0
481,80032702,0.0,0.0
482,80032743,0.0,0.0
483,80032766,0.0,0.0
484,80032812,0.0,0.0
485,80032862,0.0,0.0
486,80032899,0.0,0.0
487,80032908,0.0,0.0
488,80032920,0.0,0.0
489,80032928,0.0,0.0
490,80032936,0.0,0.0
491,80032938,0.0,0.0
492,80032975,4331000.0,433100.0
493,80033017,0.0,0.0
494,80033021,0.0,0.0
495,80033025,0.0,0.0
496,80033112,0.0,0.0
497,80033119,0.0,0.0
498,80033129,0.0,0.0
499,80033156,2207000.0,220700.0
500,80033166,0.0,0.0
501,80033255,1061000.0,106100.0
502,80033278,0.0,0.0
503,80033289,0.0,0.0
504,80033302,2583000.0,258300.0
505,80033335,2327000.0,232700.0
506,80033412,0.0,0.0
507,80033504,1212000.0,121200.0
508,80033509,907000.0,90700.0
509,80033533,2607000.0,260700.0
510,80033550,2962000.0,296200.0
511,80033559,2988000.0,298800.0
512,80033591,0.0,0.0
513,80033682,2001000.0,200100.0
514,80033704,1765000.0,176500.0
515,80033750,1411000.0,141100.0
516,80033751,725000.0,72500.0
517,80033753,0.0,0.0
518,80033772,1464000.0,146400.0
519,80033796,0.0,0.0
520,80033818,0.0,0.0
521,80033833,0.0,0.0
522,80033862,1854000.0,185400.0
523,80033915,0.0,0.0
524,80033940,1568000.0,156800.0
525,80033973,1998000.0,199800.0
526,80033977,0.0,0.0
527,80033979,0.0,0.0
528,80033988,0.0,0.0
529,80033989,0.0,0.0
530,80034007,0.0,0.0
531,80034037,0.0,0.0
532,80034039,0.0,0.0
533,80034140,0.0,0.0
534,80034159,0.0,0.0
535,80034164,0.0,0.0
536,80034191,2740000.0,274000.0
537,80034193,1281000.0,128100.0
538,80034197,1475000.0,147500.0
539,80034205,1427000.0,142700.0
540,80034219,0.0,0.0
541,80034221,0.0,0.0
542,80034229,1266000.0,126600.0
543,80034251,1497000.0,149700.0
544,80034269,0.0,0.0
545,80034287,0.0,0.0
546,80034353,1899000.0,189900.0
547,80034384,1937000.0,193700.0
548,80034385,1388000.0,138800.0
549,80034402,0.0,0.0
550,80034411,0.0,0.0
551,80034422,2800000.0,280000.0
552,80034436,0.0,0.0
553,80034453,1827000.0,182700.0
554,80034458,3120000.0,312000.0
555,80034473,0.0,0.0
556,80034478,0.0,0.0
557,80034493,1908000.0,190800.0
558,80034500,3417000.0,341700.0
559,80034514,2219000.0,221900.0
560,80034557,0.0,0.0
561,80034594,0.0,0.0
562,80034621,2864000.0,286400.0
563,80034627,0.0,0.0
564,80034657,0.0,0.0
565,80034666,358000.0,35800.0
566,80034774,0.0,0.0
567,80034781,2863000.0,286300.0
568,80034785,3396000.0,339600.0
569,80034814,0.0,0.0
570,80034816,0.0,0.0
571,80034946,0.0,0.0
572,80034961,2520000.0,252000.0
573,80035018,0.0,0.0
574,80035032,2637000.0,263700.0
575,80035078,0.0,0.0
576,80035106,3759000.0,375900.0
577,80035112,0.0,0.0
578,80035141,0.0,0.0
579,80035164,0.0,0.0
580,80035167,0.0,0.0
581,80035169,0.0,0.0
582,80035176,6842000.0,684200.0
583,80035189,0.0,0.0
584,80035226,0.0,0.0
585,80035271,2525000.0,252500.0
586,80035286,0.0,0.0
587,80035383,0.0,0.0
588,80035401,0.0,0.0
589,80035409,4839000.0,483900.0
590,80035464,2501000.0,250100.0
591,80035531,0.0,0.0
592,80035595,0.0,0.0
593,80035604,0.0,0.0
594,80035624,759000.0,75900.0
595,80035668,0.0,0.0
596,80035682,0.0,0.0
597,80035709,0.0,0.0
598,80035720,2320000.0,232000.0
599,80035828,0.0,0.0
600,80035857,0.0,0.0
601,80035862,2058000.0,205800.0
602,80035865,0.0,0.0
603,80035937,1016000.0,101600.0
604,80035947,-2167000.0,-216700.0
605,80035993,0.0,0.0
606,80035995,4636000.0,463600.0
607,80036002,0.0,0.0
608,80036015,0.0,0.0
609,80036078,2561000.0,256100.0
610,80036090,3952000.0,395200.0
611,80036096,2737000.0,273700.0
612,80036147,1624000.0,162400.0
613,80036166,0.0,0.0
614,80036201,0.0,0.0
615,80036222,0.0,0.0
616,80036243,0.0,0.0
617,80036246,0.0,0.0
618,80036273,1933000.0,193300.0
619,80036284,806000.0,80600.0
620,80036320,0.0,0.0
621,80036337,0.0,0.0
622,80036371,988000.0,98800.0
623,80036378,684000.0,68400.0
624,80036384,0.0,0.0
625,80036385,3305000.0,330500.0
626,80036389,0.0,0.0
627,80036390,0.0,0.0
628,80036393,0.0,0.0
629,80036409,0.0,0.0
630,80036438,0.0,0.0
631,80036449,1503000.0,150300.0
632,80036456,2106000.0,210600.0
633,80036486,0.0,0.0
634,80036494,2182000.0,218200.0
635,80036496,1513000.0,151300.0
636,80036497,2752000.0,275200.0
637,80036499,5165000.0,516500.0
638,80036500,2047000.0,204700.0
639,80036501,1474000.0,147400.0
640,80036505,2891000.0,289100.0
641,80036506,2086000.0,208600.0
642,80036508,2339000.0,233900.0
643,80036511,0.0,0.0
644,80036514,2293000.0,229300.0
645,80036520,0.0,0.0
646,80036521,0.0,0.0
647,80036529,4440000.0,444000.0
648,80036532,0.0,0.0
649,80036534,3403000.0,340300.0
650,80036536,0.0,0.0
651,80036541,0.0,0.0
652,80036542,8493000.0,849300.0
653,80036548,0.0,0.0
654,80036550,0.0,0.0
655,80036557,5418000.0,541800.0
656,80036560,0.0,0.0
657,80036562,2533000.0,253300.0
658,80036566,2741000.0,274100.0
659,80036571,1847000.0,184700.0
660,80036573,0.0,0.0
661,80036581,0.0,0.0
662,80036586,2737000.0,273700.0
663,80036602,3270000.0,327000.0
664,80036615,1338000.0,133800.0
665,80036634,0.0,0.0
666,80036636,0.0,0.0
667,80036642,2000000.0,200000.0
668,80036646,3331000.0,333100.0
669,80036661,1644000.0,164400.0
670,80036680,4891000.0,489100.0
671,80036683,0.0,0.0
672,80036701,3620000.0,362000.0
673,80036704,0.0,0.0
674,80036707,0.0,0.0
675,80036713,0.0,0.0
676,80036715,3961000.0,396100.0
677,80036718,1525000.0,152500.0
678,80036719,842000.0,84200.0
679,80036722,1995000.0,199500.0
680,80036727,2308000.0,230800.0
681,80036753,2096000.0,209600.0
682,80036758,0.0,0.0
683,80036764,0.0,0.0
684,80036772,0.0,0.0
685,80036774,0.0,0.0
686,80036782,4003000.0,400300.0
687,80036788,1467000.0,146700.0
688,80036799,0.0,0.0
689,80036800,4809000.0,480900.0
690,80036848,0.0,0.0
691,80036871,1092000.0,109200.0
692,80036886,0.0,0.0
693,80036898,1690000.0,169000.0
694,80036908,2238000.0,223800.0
695,80036910,2227000.0,222700.0
696,80036926,-2000000.0,-200000.0
697,80036930,0.0,0.0
698,80036957,4030000.0,403000.0
699,80036958,2110000.0,211000.0
700,80036969,964000.0,96400.0
701,80036999,811000.0,81100.0
702,80037003,647000.0,64700.0
703,80037011,0.0,0.0
704,80037028,2123000.0,212300.0
705,80037059,0.0,0.0
706,80037072,2000000.0,200000.0
707,80037098,0.0,0.0
708,80037107,0.0,0.0
709,80037129,0.0,0.0
710,80037134,1150000.0,115000.0
711,80037140,2412000.0,241200.0
712,80037148,7631000.0,763100.0
713,80037150,1705000.0,170500.0
714,80037204,0.0,0.0
715,80037215,4542000.0,454200.0
716,80037226,1104000.0,110400.0
717,80037232,5010000.0,501000.0
718,80037275,2428000.0,242800.0
719,80037280,1086000.0,108600.0
720,80037283,1706000.0,170600.0
721,80037295,1497000.0,149700.0
722,80037299,0.0,0.0
723,80037310,1859000.0,185900.0
724,80037330,0.0,0.0
725,80037395,2443000.0,244300.0
726,80037408,1440000.0,144000.0
727,80037414,0.0,0.0
728,80037437,0.0,0.0
729,80037442,0.0,0.0
730,80037443,2129000.0,212900.0
731,80037466,1278000.0,127800.0
732,80037485,665000.0,66500.0
733,80037496,0.0,0.0
734,80037553,0.0,0.0
735,80037562,0.0,0.0
736,80037565,0.0,0.0
737,80037585,1681000.0,168100.0
738,80037588,0.0,0.0
739,80037604,0.0,0.0
740,80037614,1682000.0,168200.0
741,80037644,0.0,0.0
742,80037656,1525000.0,152500.0
743,80037713,0.0,0.0
744,80037736,0.0,0.0
745,80037737,0.0,0.0
746,80037747,1641000.0,164100.0
747,80037750,3776000.0,377600.0
748,80037766,1486000.0,148600.0
749,80037774,2333000.0,233300.0
750,80037775,3616000.0,361600.0
751,80037784,1159000.0,115900.0
752,80037790,0.0,0.0
753,80038103,3396000.0,339600.0
754,80038306,4190000.0,419000.0
755,80038314,3727000.0,372700.0
756,80038319,3000000.0,300000.0
757,80038321,3833000.0,383300.0
758,80038330,3721000.0,372100.0
759,80038340,523000.0,52300.0
760,80038347,1134000.0,113400.0
761,80038354,3000000.0,300000.0
762,80038375,2674000.0,267400.0
763,80039261,2804000.0,280400.0
764,80039608,0.0,0.0
765,80039623,0.0,0.0
766,80041545,0.0,0.0
767,80041800,0.0,0.0
768,80041970,-286000.0,-28600.0
769,80042300,3608000.0,360800.0
770,80042569,30000.0,3000.0
771,80042712,0.0,0.0
772,80042726,0.0,0.0
773,80042734,-10000000.0,-1000000.0
774,80042927,0.0,0.0
775,80042936,3881000.0,388100.0
776,80043013,1513000.0,151300.0
777,80043058,2832000.0,283200.0
778,80043059,2148000.0,214800.0
779,80043192,3410000.0,341000.0
780,80043229,2863000.0,286300.0
781,80043329,2405000.0,240500.0
782,80043335,265000.0,26500.0
783,80043552,4759000.0,475900.0
784,80043826,831000.0,83100.0
785,80044241,2192000.0,219200.0
786,80044304,903000.0,90300.0
787,80044321,2278000.0,227800.0
788,80044322,3232000.0,323200.0
789,80044324,3179000.0,317900.0
790,80044503,666000.0,66600.0
791,80044813,4020000.0,402000.0
792,80045190,7777000.0,777700.0
793,80045351,276000.0,27600.0
794,80045662,2303000.0,230300.0
795,80045874,0.0,0.0
796,80045883,0.0,0.0
797,80046125,0.0,0.0
798,80046126,0.0,0.0
799,80046129,0.0,0.0
800,80046305,2181000.0,218100.0
801,80046349,9044000.0,904400.0
802,80046394,0.0,0.0
803,80046463,782000.0,78200.0
804,80046488,0.0,0.0
805,80046542,0.0,0.0
806,80046667,960000.0,96000.0
807,80046713,0.0,0.0
808,80046764,2828000.0,282800.0
809,80046838,6454000.0,645400.0
810,80046985,0.0,0.0
811,80047042,4372000.0,437200.0
812,80047125,4778000.0,477800.0
813,80047315,0.0,0.0
814,80047458,813000.0,81300.0
815,80047496,0.0,0.0
816,80047567,0.0,0.0
817,80047736,2141000.0,214100.0
818,80047836,2208000.0,220800.0
819,80047883,1174000.0,117400.0
820,80048891,1876000.0,187600.0
821,80049609,0.0,0.0
822,80050489,0.0,0.0
823,80050569,0.0,0.0
824,80051097,2326000.0,232600.0
825,80051255,0.0,0.0
826,80051272,0.0,0.0
827,80051290,4688000.0,468800.0
828,80051735,1999000.0,199900.0
829,80051775,0.0,0.0
830,80052046,0.0,0.0
831,80052232,0.0,0.0
832,80052269,1711000.0,171100.0
833,80052270,7626000.0,762600.0
834,80052321,4224000.0,422400.0
835,80052325,1832000.0,183200.0
836,80052346,563000.0,56300.0
837,80052351,1820000.0,182000.0
838,80052379,3683000.0,368300.0
839,80052424,0.0,0.0
840,80052473,670000.0,67000.0
841,80052487,3137000.0,313700.0
842,80052504,0.0,0.0
843,80052508,0.0,0.0
844,80052533,0.0,0.0
845,80052537,0.0,0.0
846,80052546,2343000.0,234300.0
847,80052547,0.0,0.0
848,80052549,0.0,0.0
849,80052551,0.0,0.0
850,80052553,0.0,0.0
851,80052556,0.0,0.0
852,80052558,0.0,0.0
853,80052565,860000.0,86000.0
854,80052579,0.0,0.0
855,80052595,0.0,0.0
856,80052599,0.0,0.0
857,80052602,0.0,0.0
858,80052607,2749000.0,274900.0
859,80052608,0.0,0.0
860,80052620,5910000.0,591000.0
861,80052666,1325000.0,132500.0
862,80052671,599000.0,59900.0
863,80052673,599000.0,59900.0
864,80052674,1099000.0,109900.0
865,80052724,0.0,0.0
866,80052734,0.0,0.0
867,80052740,0.0,0.0
868,80052762,5000000.0,500000.0
869,80052783,0.0,0.0
870,80052882,0.0,0.0
871,80052886,0.0,0.0
872,80052903,0.0,0.0
873,80052950,1644000.0,164400.0
874,80052982,2025000.0,202500.0
875,80052985,0.0,0.0
876,80053011,0.0,0.0
877,80053065,283000.0,28300.0
878,80053080,3416000.0,341600.0
879,80053085,0.0,0.0
880,80053110,3500000.0,350000.0
881,80053111,0.0,0.0
882,80053118,1975000.0,197500.0
883,80053133,0.0,0.0
884,80053161,0.0,0.0
885,80053172,0.0,0.0
886,80053178,0.0,0.0
887,80053216,-2989000.0,-298900.0
888,80053229,0.0,0.0
889,80053251,0.0,0.0
890,80053276,0.0,0.0
891,80053289,0.0,0.0
892,80053291,716000.0,71600.0
893,80053296,806000.0,80600.0
894,80053297,0.0,0.0
895,80053326,0.0,0.0
896,80053335,0.0,0.0
897,80053337,0.0,0.0
898,80053340,0.0,0.0
899,80053343,0.0,0.0
900,80053349,1560000.0,156000.0
901,80053357,0.0,0.0
902,80053358,0.0,0.0
903,80053374,0.0,0.0
904,80053382,2333000.0,233300.0
905,80053418,0.0,0.0
906,80053420,0.0,0.0
907,80053429,0.0,0.0
908,80053451,970000.0,97000.0
909,80053460,0.0,0.0
910,80053510,1861000.0,186100.0
911,80053515,12552000.0,1255200.0
912,80053525,0.0,0.0
913,80053558,-5805000.0,-580500.0
914,80053559,2405000.0,240500.0
915,80053577,0.0,0.0
916,80053578,0.0,0.0
917,80053587,0.0,0.0
918,80053611,4675000.0,467500.0
919,80053614,0.0,0.0
920,80053636,3963000.0,396300.0
921,80053656,0.0,0.0
922,80053657,0.0,0.0
