,Issuing Agent,Policy No,CUTOFF,Count_Policy
1668,60012134,80019328,20230131,0
1674,60022528,80053685,20230131,0
1678,60014857,80037414,20230131,0
1682,60068834,80132817,20230131,1
1683,60076102,80132882,20230131,1
1685,60075874,80132406,20230131,1
1687,60076076,80132300,20230131,1
1690,60074666,80132869,20230131,1
1715,60045689,80132835,20230131,1
1717,60074496,80132498,20230131,1
1720,60075434,80132565,20230131,1
1725,60021522,80067657,20230131,0
1731,60012180,80019089,20230131,0
1732,60044102,80097734,20230131,0
1741,60043722,80084985,20230131,0
1742,60046368,80098176,20230131,0
1746,60021036,80045883,20230131,0
1747,60075885,80132813,20230131,1
1749,60026101,80063999,20230131,0
1750,60074131,80130110,20230131,-1
1751,60073921,80132175,20230131,1
1757,60008691,80012384,20230131,0
1758,60052646,80132106,20230131,1
1775,60069096,80132604,20230131,1
1777,60057705,80132764,20230131,1
1778,60027580,80061406,20230131,0
1782,60027446,80067689,20230131,0
1785,60075423,80132068,20230131,1
1786,60056992,80131872,20230131,1
1892,60068160,80132051,20230131,1
1897,60022331,80049609,20230131,0
1901,60009467,80017158,20230131,0
2063,60011395,80087665,20230131,0
2068,60028464,80088623,20230131,0
4542,60017312,80052537,20230131,0
5588,60004146,80006251,20230131,0
6137,60051114,80101627,20230131,0
9445,60059672,80131452,20230131,1
11229,60019749,80055264,20230131,0
14594,60016208,80036078,20230131,0
40065,60075877,80131753,20230131,1
40069,60033277,80072357,20230131,0
40071,60028442,80069538,20230131,0
40075,60036167,80070364,20230131,0
40132,60034572,80101249,20230131,0
40134,60015756,80037134,20230131,0
40135,60071979,80131888,20230131,1
40136,60006188,80009095,20230131,0
40139,60073114,80131636,20230131,1
40144,60053940,80098889,20230131,0
40147,60055010,80100073,20230131,0
40188,60013502,80023259,20230131,0
40190,60033890,80069019,20230131,0
40191,60015379,80033412,20230131,0
40193,60049726,80096168,20230131,0
40196,60009895,80013492,20230131,0
40199,60073810,80128234,20230131,-1
40261,60023251,80053765,20230131,0
40277,60028484,80073339,20230131,0
40289,60000717,80132247,20230131,1
40327,60017377,80038375,20230131,0
41567,60019105,80071493,20230131,0
41579,60024273,80101424,20230131,0
41642,60016504,80037442,20230131,0
41643,60021046,80046667,20230131,0
41644,60022528,80053678,20230131,0
41676,60009895,80054973,20230131,0
41678,60031451,80072895,20230131,0
41682,60049386,80096508,20230131,0
41723,60008812,80013541,20230131,0
41734,60055929,80131548,20230131,1
41812,60031408,80100132,20230131,0
41816,60054016,80101702,20230131,0
41823,60028650,80067916,20230131,0
41882,60072421,80132516,20230131,1
41888,60025509,80061465,20230131,0
41891,60075545,80132461,20230131,1
41920,60075699,80132704,20230131,1
41930,60074031,80131519,20230131,1
41985,60033057,80099332,20230131,0
41989,60021885,80058443,20230131,0
42268,60033580,80102473,20230131,0
42279,60021044,80072878,20230131,0
42372,60074570,80131431,20230131,1
42375,60007005,80008345,20230131,0
42376,60057705,80114769,20230131,0
42377,60035726,80131468,20230131,1
42509,60057290,80131621,20230131,1
42559,60032724,80066932,20230131,0
42567,60070705,80131796,20230131,1
42572,60058239,80123420,20230131,-1
42639,60019105,80055272,20230131,0
42641,60018668,80055547,20230131,0
42642,60057789,80131481,20230131,1
42673,60018140,80037204,20230131,0
42674,60039331,80083485,20230131,0
42702,60031231,80072116,20230131,0
42706,60018018,80036486,20230131,0
42708,60011562,80019798,20230131,0
42709,60001181,80001783,20230131,0
42713,60027309,80062651,20230131,0
42770,60074087,80132944,20230131,1
42774,60075687,80132595,20230131,1
42779,60060664,80131979,20230131,1
42784,60010307,80053337,20230131,0
42806,60075854,80131778,20230131,1
42808,60072973,80131610,20230131,1
42809,60067624,80131911,20230131,1
42812,60068331,80132222,20230131,1
44933,60072003,80132877,20230131,1
44936,60067648,80132807,20230131,1
44940,60051731,80101233,20230131,0
44959,60075459,80133051,20230131,1
44981,60069061,80130315,20230131,-1
44983,60036079,80102624,20230131,0
44989,60022274,80098424,20230131,0
44995,60006786,80132091,20230131,1
45006,60029548,80066495,20230131,0
45010,60018981,80036683,20230131,0
45073,60075881,80132090,20230131,1
45105,60033130,80071976,20230131,0
45106,60052876,80096879,20230131,0
45113,60023566,80054258,20230131,0
45114,60075332,80131442,20230131,1
45117,60004680,80004859,20230131,0
45136,60076100,80133024,20230131,1
45140,60073131,80131631,20230131,1
45141,60052984,80102126,20230131,0
45148,60046253,80127325,20230131,-1
45193,60022495,80055266,20230131,0
45194,60033970,80073201,20230131,0
45195,60031179,80070189,20230131,0
45200,60012700,80055853,20230131,0
45204,60074741,80132458,20230131,1
45206,60033843,80098441,20230131,0
45209,60028092,80072470,20230131,0
45212,60075706,80131541,20230131,1
45219,60007794,80009355,20230131,0
45221,60067540,80132145,20230131,1
45234,60014569,80031887,20230131,0
45236,60055533,80101957,20230131,0
45239,60021978,80099194,20230131,0
45261,60075804,80132395,20230131,1
45265,60073085,80132818,20230131,1
45276,60067221,80130945,20230131,-1
45294,60047037,80088721,20230131,0
45302,60075980,80132637,20230131,1
45369,60020746,80042726,20230131,0
45371,60075244,80132854,20230131,1
45372,60076011,80132168,20230131,1
45376,60074479,80132371,20230131,1
45377,60009998,80013579,20230131,0
45380,60027704,80072559,20230131,0
45513,60047939,80101606,20230131,0
45547,60075982,80132602,20230131,1
45550,60014573,80036390,20230131,0
45551,60019105,80071534,20230131,0
45556,60070508,80132549,20230131,1
45557,60024617,80059099,20230131,0
45598,60075878,80132517,20230131,1
45755,60035997,80072560,20230131,0
45757,60024325,80131842,20230131,1
45760,60057214,80113521,20230131,0
45767,60024677,80071226,20230131,0
45768,60043596,80101757,20230131,0
45771,60008778,80011600,20230131,0
45774,60008927,80036586,20230131,0
45775,60021255,80054698,20230131,0
45776,60008405,80011089,20230131,0
45777,60017405,80033119,20230131,0
45778,60016889,80036758,20230131,0
45779,60073751,80133025,20230131,1
45780,60049558,80099818,20230131,0
45781,60055421,80101921,20230131,0
45784,60075460,80131826,20230131,1
45806,60011519,80017239,20230131,0
45817,60040986,80132305,20230131,1
45822,60017069,80031893,20230131,0
45824,60072216,80131941,20230131,1
45831,60059617,80129195,20230131,-1
45840,60073138,80132480,20230131,1
45915,60074813,80132459,20230131,1
45927,60075658,80132634,20230131,1
49096,60018388,80036529,20230131,0
51227,60016715,80036536,20230131,0
52328,60001470,80009045,20230131,0
53466,60017312,80052533,20230131,0
53506,60015584,80036550,20230131,0
58556,60003445,80054824,20230131,0
66784,60031681,80098239,20230131,0
78706,60074548,80132842,20230131,1
78735,60053860,80099306,20230131,0
78737,60026224,80058838,20230131,0
78763,60056287,80131187,20230131,0
78770,60024540,80068301,20230131,0
78863,60035116,80081860,20230131,0
78865,60043588,80082506,20230131,0
78874,60071731,80133002,20230131,1
78877,60023280,80054018,20230131,0
78879,60045818,80102122,20230131,0
78986,60042136,80131864,20230131,1
78988,60056998,80131763,20230131,1
78996,60043785,80101796,20230131,0
78998,60024325,80131841,20230131,1
79000,60069085,80132879,20230131,1
81682,60016700,80036166,20230131,0
82512,60075955,80132789,20230131,1
82522,60020876,80043229,20230131,0
82524,60033130,80071996,20230131,0
82562,60031376,80066541,20230131,0
82564,60030013,80076880,20230131,0
82651,60012281,80019426,20230131,0
82652,60019105,80066756,20230131,0
82657,60047904,80098943,20230131,0
82662,60057769,80131486,20230131,1
82693,60022140,80073599,20230131,0
82785,60069876,80128125,20230131,-1
82826,60024283,80055739,20230131,0
82832,60009868,80037226,20230131,0
82835,60059355,80131515,20230131,1
82838,60074509,80131704,20230131,1
82988,60072008,80132505,20230131,1
82996,60054078,80098671,20230131,0
83037,60032887,80067160,20230131,0
83039,60060671,80131557,20230131,1
83044,60018029,80034140,20230131,0
83046,60014118,80024905,20230131,0
83238,60062463,80132796,20230131,1
83241,60020913,80053793,20230131,0
83451,60032123,80071441,20230131,0
83452,60070704,80131673,20230131,1
83485,60075180,80131491,20230131,1
83489,60029194,80072742,20230131,0
83493,60012338,80019483,20230131,0
83564,60052876,80097091,20230131,0
83769,60019755,80071821,20230131,0
83772,60056562,80126476,20230131,-1
85276,60073214,80130391,20230131,0
85279,60075513,80132475,20230131,1
85284,60059511,80132638,20230131,1
85374,60010558,80017070,20230131,0
85377,60039464,80097987,20230131,0
85387,60059033,80132069,20230131,1
85477,60025196,80067802,20230131,0
87365,60050816,80100990,20230131,0
87923,60052315,80096162,20230131,0
87926,60076037,80132150,20230131,1
87927,60057405,80132563,20230131,1
87930,60072429,80131646,20230131,1
87931,60075925,80132795,20230131,1
89255,60011520,80017522,20230131,0
89437,60021867,80055361,20230131,0
89950,60032385,80068626,20230131,0
90166,60014462,80126790,20230131,-1
93334,60004155,80005960,20230131,0
97082,60024022,80055196,20230131,0
98192,60075629,80131497,20230131,1
110358,60050224,80131528,20230131,1
110362,60023606,80059445,20230131,0
110401,60032388,80071557,20230131,0
110403,60047909,80097055,20230131,0
110407,60024193,80055534,20230131,0
110415,60011862,80019664,20230131,0
110437,60031443,80072140,20230131,0
110444,60021358,80052232,20230131,0
110445,60067312,80132643,20230131,1
110506,60027719,80068020,20230131,0
110507,60031202,80067805,20230131,0
110508,60075838,80132149,20230131,1
110515,60073343,80132518,20230131,1
110520,60075344,80132567,20230131,1
110632,60031110,80073319,20230131,0
110639,60052314,80101613,20230131,0
110678,60075956,80132787,20230131,1
110687,60010966,80017618,20230131,0
110693,60012703,80019854,20230131,0
110730,60067140,80132934,20230131,1
112836,60012287,80020151,20230131,0
112838,60031179,80069733,20230131,0
112896,60054295,80099530,20230131,0
112904,60040745,80099007,20230131,0
113016,60036170,80072370,20230131,0
113019,60045255,80085148,20230131,0
113020,60015441,80095758,20230131,0
113023,60010923,80019842,20230131,0
113061,60075954,80132876,20230131,1
113066,60068331,80132975,20230131,1
113070,60015749,80036337,20230131,0
113071,60013104,80039261,20230131,0
113077,60075460,80131543,20230131,1
113114,60052090,80132265,20230131,1
113115,60071866,80132324,20230131,1
113120,60072567,80132682,20230131,1
113122,60027043,80060520,20230131,0
113154,60007834,80012542,20230131,0
113155,60075853,80132999,20230131,1
113162,60071863,80132061,20230131,1
113163,60075634,80132154,20230131,1
113164,60019239,80055887,20230131,0
113561,60031419,80068130,20230131,0
121302,60029155,80071738,20230131,0
121381,60021489,80048891,20230131,0
121382,60075573,80132239,20230131,1
121385,60070777,80132364,20230131,1
121387,60023409,80052886,20230131,0
121391,60052382,80101952,20230131,0
121397,60074486,80132040,20230131,1
121468,60069381,80131301,20230131,-1
121483,60018385,80035857,20230131,0
122442,60012017,80018277,20230131,0
123897,60005526,80017677,20230131,0
123898,60009695,80013293,20230131,0
123940,60064968,80130569,20230131,-1
123941,60033612,80069740,20230131,0
123942,60031207,80067611,20230131,0
123943,60040965,80098978,20230131,0
123946,60042549,80086672,20230131,0
123947,60070807,80132878,20230131,1
124012,60075441,80132509,20230131,1
124017,60030620,80102348,20230131,0
124018,60059409,80132658,20230131,1
124021,60005682,80009356,20230131,0
124023,60017340,80042927,20230131,0
124024,60069067,80131589,20230131,1
124025,60072044,80132076,20230131,1
124112,60017321,80032498,20230131,0
124116,60046535,80088899,20230131,0
124124,60041174,80089081,20230131,0
124129,60010138,80014076,20230131,0
124197,60067636,80130405,20230131,-1
124274,60024318,80055852,20230131,0
124275,60070988,80128530,20230131,0
124278,60043784,80081987,20230131,0
124279,60074583,80131600,20230131,1
124289,60023201,80052546,20230131,0
124290,60009566,80019730,20230131,0
124387,60075818,80131696,20230131,1
124419,60017518,80035993,20230131,0
124421,60028779,80072539,20230131,0
124422,60075688,80131682,20230131,1
124428,60045437,80088714,20230131,0
124432,60010237,80024239,20230131,0
124435,60075885,80131723,20230131,1
124436,60075326,80131905,20230131,1
124437,60030661,80066869,20230131,0
124441,60023608,80055579,20230131,0
124443,60033884,80072863,20230131,0
124445,60002065,80001809,20230131,0
124449,60057388,80132490,20230131,1
124468,60075951,80132574,20230131,1
124470,60076088,80132611,20230131,1
124472,60076088,80132983,20230131,1
124475,60071278,80132048,20230131,1
124993,60039789,80081801,20230131,0
125049,60017518,80033129,20230131,0
125054,60012169,80019394,20230131,0
125056,60022961,80055336,20230131,0
125105,60031037,80067791,20230131,0
125148,60044722,80095718,20230131,0
125203,60008248,80022522,20230131,0
125205,60034830,80071818,20230131,0
125213,60028475,80080772,20230131,0
125287,60074512,80131766,20230131,1
125289,60031847,80068881,20230131,0
125290,60019105,80102009,20230131,0
125297,60076139,80133037,20230131,1
125298,60030088,80068007,20230131,0
125301,60025572,80058201,20230131,0
125322,60074757,80131869,20230131,1
125324,60010424,80017644,20230131,0
125325,60022872,80052487,20230131,0
125326,60011372,80032862,20230131,0
125336,60035906,80072708,20230131,0
125341,60018143,80036727,20230131,0
125342,60041256,80098075,20230131,0
125343,60074758,80131836,20230131,1
125349,60022382,80055630,20230131,0
125353,60061977,80115762,20230131,0
125415,60022773,80053172,20230131,0
125418,60033157,80068379,20230131,0
125419,60006894,80096402,20230131,0
125458,60014786,80034197,20230131,0
125459,60075659,80132433,20230131,1
125461,60019132,80037003,20230131,0
125467,60012287,80020140,20230131,0
125469,60016557,80132956,20230131,0
125470,60076058,80132544,20230131,1
125473,60016557,80132956,20230131,1
125512,60006447,80012048,20230131,0
125514,60033123,80072870,20230131,0
125523,60054702,80100858,20230131,0
125569,60026101,80064004,20230131,0
125572,60042128,80085558,20230131,0
125576,60012418,80019805,20230131,0
125577,60037485,80102750,20230131,0
125580,60028825,80132557,20230131,1
125619,60055972,80132587,20230131,1
125623,60073059,80132335,20230131,1
125625,60058726,80132887,20230131,1
126743,60047037,80088487,20230131,0
126747,60012749,80020127,20230131,0
126751,60015587,80102466,20230131,0
126943,60055853,80102281,20230131,0
127022,60012081,80132955,20230131,1
127027,60070706,80131772,20230131,1
127029,60069099,80131670,20230131,1
127030,60015655,80033915,20230131,0
127073,60070023,80132924,20230131,1
127080,60024663,80059251,20230131,0
127082,60024239,80055475,20230131,0
127084,60017310,80036438,20230131,0
127085,60042375,80100536,20230131,0
127089,60022753,80052724,20230131,0
127110,60004979,80009529,20230131,0
127111,60023053,80055751,20230131,0
127114,60032182,80089896,20230131,0
127118,60075332,80132246,20230131,1
127121,60026501,80098341,20230131,0
127143,60026425,80059159,20230131,0
127146,60007528,80009323,20230131,0
127153,60051843,80096909,20230131,0
127215,60021643,80053578,20230131,0
127217,60075216,80132793,20230131,1
127220,60031799,80131613,20230131,1
127240,60023493,80054756,20230131,0
127241,60029696,80071403,20230131,0
127246,60008936,80130893,20230131,0
127303,60031386,80101597,20230131,0
127306,60022885,80081779,20230131,0
127316,60042783,80093794,20230131,0
127350,60070835,80131512,20230131,1
127351,60022354,80066743,20230131,0
127352,60057700,80131811,20230131,1
127353,60050232,80102900,20230131,0
127362,60027592,80100387,20230131,0
127363,60030066,80070753,20230131,0
127408,60073190,80132833,20230131,1
127413,60066517,80132636,20230131,1
127419,60075502,80131768,20230131,1
127420,60055929,80131444,20230131,1
127535,60008279,80010419,20230131,0
127536,60033881,80081326,20230131,0
127542,60033585,80071864,20230131,0
127564,60055663,80102117,20230131,0
127592,60033991,80069952,20230131,0
127596,60075854,80131707,20230131,1
127721,60074758,80131729,20230131,1
127723,60075317,80131771,20230131,1
127724,60045305,80131624,20230131,1
127845,60023323,80052549,20230131,0
127846,60074450,80131457,20230131,1
127850,60037350,80072024,20230131,0
127854,60008953,80019359,20230131,0
127945,60014511,80028307,20230131,0
127946,60005229,80055271,20230131,0
127947,60028114,80067029,20230131,0
127948,60050483,80094133,20230131,0
127951,60040537,80097645,20230131,0
127960,60075407,80131972,20230131,1
127997,60037008,80072320,20230131,0
128005,60027638,80066971,20230131,0
128010,60054702,80100442,20230131,0
128115,60025234,80132945,20230131,0
128126,60025234,80132945,20230131,1
128127,60076108,80132962,20230131,1
135364,60032814,80067875,20230131,0
136120,60075885,80131835,20230131,1
144841,60007847,80009643,20230131,0
146582,60027724,80062515,20230131,0
146583,60028666,80076288,20230131,0
146645,60029476,80068630,20230131,0
146655,60034415,80086510,20230131,0
146733,60054979,80101401,20230131,0
146746,60009815,80019392,20230131,0
146819,60019433,80053382,20230131,0
146820,60062474,80131638,20230131,1
146822,60074918,80132765,20230131,1
146832,60075788,80132663,20230131,1
146910,60027086,80068370,20230131,0
146911,60066095,80131558,20230131,1
146919,60026703,80111669,20230131,0
147027,60070767,80128199,20230131,-1
147033,60029901,80068295,20230131,0
147037,60037363,80099090,20230131,0
147097,60027908,80068607,20230131,0
147111,60012540,80019804,20230131,0
147163,60020975,80132340,20230131,1
147166,60052382,80101945,20230131,0
147173,60076141,80133063,20230131,1
147175,60075578,80131292,20230131,0
159392,60053352,80132142,20230131,1
159441,60002077,80001833,20230131,0
162772,60075926,80131927,20230131,1
162773,60008936,80130893,20230131,1
162780,60075451,80132207,20230131,1
162788,60045840,80132221,20230131,1
162826,60017708,80036715,20230131,0
162829,60033130,80073177,20230131,0
162837,60058129,80132190,20230131,1
162911,60076102,80132894,20230131,1
162913,60075239,80132599,20230131,1
162914,60075308,80132502,20230131,1
162925,69999997,80073594,20230131,0
162971,60071346,80132137,20230131,1
164123,60052092,80099061,20230131,0
164135,60031345,80072748,20230131,0
164180,60031538,80067841,20230131,0
164184,60029155,80071740,20230131,0
164223,60023114,80053374,20230131,0
164227,60014005,80101523,20230131,0
164228,60073255,80133067,20230131,1
164232,60014424,80069516,20230131,0
165194,60071603,80132066,20230131,1
165248,60075882,80132088,20230131,1
165249,60030013,80096353,20230131,0
165259,60071675,80131000,20230131,-1
165388,60067560,80132097,20230131,1
166034,60075704,80131451,20230131,1
166039,60075568,80131632,20230131,1
166045,60054883,80100203,20230131,0
166099,60017450,80034251,20230131,0
166100,60074599,80132853,20230131,1
166109,60076102,80132673,20230131,1
166111,60063973,80131732,20230131,1
166115,60068474,80131639,20230131,1
166178,60049558,80096195,20230131,0
166186,60016324,80036910,20230131,0
166240,60021752,80052558,20230131,0
166241,60023343,80052734,20230131,0
166243,60008572,80011696,20230131,0
166250,60050824,80101672,20230131,0
166293,60067636,80130464,20230131,-1
167755,60074534,80131508,20230131,1
167929,60032350,80071913,20230131,0
168092,60018215,80036147,20230131,0
168099,60053182,80099734,20230131,0
168101,60017642,80046838,20230131,0
168140,60053308,80097420,20230131,0
168145,60007809,80009654,20230131,0
168152,60031631,80131599,20230131,1
168316,60016048,80054856,20230131,0
168318,60075263,80132476,20230131,1
168322,60014824,80026851,20230131,0
168323,60029384,80072956,20230131,0
168327,60026653,80068349,20230131,0
168328,60037230,80072479,20230131,0
180353,60055569,80102816,20230131,0
181697,60055929,80131559,20230131,1
181699,60024325,80068962,20230131,0
181706,60073110,80131576,20230131,1
181707,60052995,80132971,20230131,1
181711,60068278,80131756,20230131,1
181787,60030142,80068133,20230131,0
181794,60059672,80131917,20230131,1
181795,60019100,80127057,20230131,-1
181797,60006509,80007343,20230131,0
181799,60012689,80101137,20230131,0
181873,60032845,80073224,20230131,0
181876,60027838,80067696,20230131,0
181877,60033223,80067856,20230131,0
181885,60067632,80132741,20230131,1
181941,60068331,80132133,20230131,1
181942,60072049,80132147,20230131,1
181947,60073443,80132960,20230131,1
181948,60041262,80132381,20230131,1
181949,60038604,80082477,20230131,0
181952,60021572,80055265,20230131,0
181953,60061343,80132002,20230131,1
181957,60075000,80132515,20230131,1
182021,60022202,80132527,20230131,1
182064,60070061,80132425,20230131,1
182068,60057169,80132390,20230131,1
182072,60074762,80133026,20230131,1
182167,60035926,80070220,20230131,0
182175,60009920,80017219,20230131,0
182181,60059982,80131168,20230131,-1
182183,69999997,80132111,20230131,1
182223,60073334,80129834,20230131,-1
182229,60019862,80047315,20230131,0
182230,60076035,80132113,20230131,1
182311,60007711,80093758,20230131,0
183129,60032466,80066703,20230131,0
183258,60012789,80024336,20230131,0
183264,60020772,80054819,20230131,0
183265,60041745,80086353,20230131,0
183267,60032887,80068563,20230131,0
183296,60009762,80017801,20230131,0
183383,60036999,80071426,20230131,0
190683,60048084,80101678,20230131,0
190722,60023329,80053732,20230131,0
190723,60017064,80035032,20230131,0
190737,60075336,80130154,20230131,0
190808,60031245,80072613,20230131,0
190850,60075206,80131370,20230131,-1
190857,60028659,80066841,20230131,0
191050,60018144,80046125,20230131,0
191051,60054572,80101871,20230131,0
191128,60051063,80097731,20230131,0
191133,60045138,80087074,20230131,0
191245,60026936,80072295,20230131,0
191246,60033046,80073170,20230131,0
191249,60070645,80131803,20230131,1
191250,60068331,80132143,20230131,1
191251,60034834,80132162,20230131,1
191253,60076088,80132923,20230131,1
191256,60033130,80073180,20230131,0
191299,60070883,80132966,20230131,1
191350,60051584,80132123,20230131,1
191357,60074713,80132124,20230131,1
191361,60011375,80019630,20230131,0
191559,60015695,80043059,20230131,0
194831,60003542,80058968,20230131,0
195060,60071321,80131722,20230131,1
195061,60016279,80036958,20230131,0
195063,60075730,80131467,20230131,1
195067,60022802,80055417,20230131,0
195074,60037598,80072839,20230131,0
195196,60050772,80097380,20230131,0
195197,60071856,80131859,20230131,1
197805,60076114,80132734,20230131,1
197810,60030537,80072314,20230131,0
197814,60075465,80132228,20230131,1
197856,60055095,80132268,20230131,1
197859,60022975,80053349,20230131,0
197864,60019387,80037614,20230131,0
197867,60075926,80132215,20230131,1
197902,60070717,80132299,20230131,1
197906,60075979,80132204,20230131,1
197910,60075973,80132179,20230131,1
197912,60041681,80082607,20230131,0
197916,60018582,80037310,20230131,0
198229,60075247,80132035,20230131,1
198231,60017326,80035078,20230131,0
199992,60032937,80072787,20230131,0
200048,60032918,80068033,20230131,0
200095,60026168,80058963,20230131,0
200097,60057288,80131483,20230131,1
200102,60027839,80101504,20230131,0
200144,60032974,80067384,20230131,0
200145,60019010,80052321,20230131,0
200147,60067208,80132803,20230131,1
200150,60033057,80100711,20230131,0
200191,60038818,80131276,20230131,1
200192,60056240,80131741,20230131,1
200204,60046818,80131861,20230131,1
200247,60065153,80129221,20230131,0
200312,60002860,80066960,20230131,0
200363,60011716,80017645,20230131,0
204678,60067142,80131775,20230131,1
204682,60075852,80132267,20230131,1
204683,60012281,80037737,20230131,0
204684,60075658,80132690,20230131,1
204724,60014462,80132970,20230131,0
204725,60014462,80132970,20230131,1
204729,60048064,80096442,20230131,0
204735,60005987,80007148,20230131,0
204929,60006251,80100851,20230131,0
204937,60038766,80087948,20230131,0
204980,60008930,80132100,20230131,1
205917,60011971,80018146,20230131,0
206030,60049232,80096737,20230131,0
206036,60072216,80131955,20230131,1
206094,60018975,80103438,20230131,0
206096,60074683,80132428,20230131,1
206102,60045715,80088827,20230131,0
206107,60030789,80066934,20230131,0
206136,60063082,80132135,20230131,1
206137,60071995,80132174,20230131,1
206138,60051262,80097960,20230131,0
206139,60074141,80132108,20230131,1
206141,60075425,80131449,20230131,1
207164,60059355,80131456,20230131,1
207169,60073308,80132732,20230131,1
207174,60011382,80019038,20230131,0
207175,60029413,80086553,20230131,0
207236,60066908,80115370,20230131,-1
207240,60033353,80072068,20230131,0
207243,60028115,80071971,20230131,0
207244,60036996,80102725,20230131,0
207246,60067648,80132824,20230131,1
207284,60016298,80037295,20230131,0
207292,60074919,80131776,20230131,1
207295,60059310,80131815,20230131,1
207370,60027543,80095846,20230131,0
207386,60075311,80132688,20230131,1
207423,60072464,80132166,20230131,1
207437,60017024,80032928,20230131,0
207438,60014005,80101524,20230131,0
207479,60075339,80130176,20230131,-1
207480,60036220,80091836,20230131,0
207484,60020661,80068847,20230131,0
207490,60033927,80072352,20230131,0
207533,60036079,80102594,20230131,0
207596,60070704,80132417,20230131,1
207598,60067413,80132329,20230131,1
207599,60073061,80132315,20230131,1
207600,60076059,80132531,20230131,1
207610,60011863,80017812,20230131,0
207667,60022663,80053708,20230131,0
207668,60074543,80133012,20230131,1
207674,60047641,80132303,20230131,1
207737,60067077,80132954,20230131,1
207746,60013462,80036409,20230131,0
207749,60075764,80132605,20230131,1
208019,60012932,80026285,20230131,0
208024,60074983,80131697,20230131,1
208025,60031222,80072728,20230131,0
208026,60031179,80070525,20230131,0
208027,60019749,80055267,20230131,0
208028,60035441,80072574,20230131,0
208038,60057593,80131720,20230131,1
208040,60052986,80132958,20230131,1
208045,60069067,80131597,20230131,1
208054,60028650,80067308,20230131,0
208058,60010948,80017388,20230131,0
214165,60024184,80058543,20230131,0
220759,60011299,80016935,20230131,0
225572,60041473,80100476,20230131,0
225581,60033421,80071558,20230131,0
225582,60011951,80019800,20230131,0
225583,60006250,80019453,20230131,0
225643,60052873,80097745,20230131,0
225647,60074489,80131812,20230131,1
231832,69999996,80000077,20230131,0
234464,60010948,80018285,20230131,0
235964,60031212,80088233,20230131,0
235966,60023615,80054485,20230131,0
236031,60072989,80131566,20230131,1
236066,60022880,80053118,20230131,0
236070,60015249,80055829,20230131,0
236077,60017004,80037656,20230131,0
236078,60074835,80132353,20230131,1
