,Policy No,Count_Policy
261,80000062,
262,80000076,
263,80000198,
264,80000059,
265,80000340,
266,80000504,
267,80000567,
268,80000631,
269,80000634,
270,80000635,
271,80001482,
272,80001531,
273,80001651,
274,80002189,
275,80002350,
276,80002414,
277,80002625,
278,80002855,
279,80002858,
280,80002869,
281,80002876,
282,80002915,
283,80003256,
284,80003271,
285,80003450,
286,80003616,
287,80003634,
288,80003839,
289,80003906,
290,80003937,
291,80004295,
292,80004427,
293,80004474,
294,80004491,
295,80004513,
296,80004521,
297,80004914,
298,80005004,
299,80005089,
300,80005128,
301,80005132,
302,80005147,
303,80005248,
304,80005611,
305,80005836,
306,80006861,
307,80007076,
308,80007265,
309,80007298,
310,80008368,
311,80008576,
312,80008634,
313,80009190,
314,80009213,
315,80009621,
316,80011206,
317,80011340,
318,80011880,
319,80011887,
320,80011911,
321,80012832,
322,80012834,
323,80012983,
324,80013287,
325,80000607,
326,80000618,
327,80000794,
328,80000798,
329,80000440,
330,80000471,
331,80000546,
332,80045548,
333,80000514,
334,80000833,
335,80000517,
336,80000495,
337,80000524,
338,80000867,
339,80000868,
340,80000950,
341,80000952,
342,80000953,
343,80001623,
344,80001624,
345,80001626,
346,80000522,
347,80000685,
348,80000690,
349,80000691,
350,80000776,
351,80000777,
352,80000778,
353,80000845,
354,80000857,
355,80000859,
356,80000901,
357,80000906,
358,80000907,
359,80000940,
360,80000944,
361,80001025,
362,80001078,
363,80001125,
364,80001126,
365,80001127,
366,80001128,
367,80001129,
368,80001140,
369,80001249,
370,80001250,
371,80001276,
372,80001277,
373,80001307,
374,80001308,
375,80001312,
376,80001365,
377,80001370,
378,80001371,
379,80001372,
380,80001466,
381,80001469,
382,80001578,
383,80001603,
384,80002135,
385,80003471,
386,80003473,
387,80005715,
388,80000756,
389,80000862,
390,80000894,
391,80000893,
392,80000478,
393,80000479,
394,80000480,
395,80000509,
396,80000516,
397,80000630,
398,80000490,
399,80000621,
400,80000035,
401,80000290,
402,80000336,
403,80000929,
404,80001190,
405,80001408,
406,80001479,
407,80000084,
408,80000115,
409,80000153,
410,80000263,
411,80000268,
412,80000283,
413,80000284,
414,80000287,
415,80000360,
416,80000382,
417,80000383,
418,80000499,
419,80001345,
420,80000916,
421,80000484,
422,80000501,
423,80000731,
424,80000951,
425,80001618,
426,80019714,
427,80000523,
428,80000884,
429,80001616,
430,80001617,
431,80001619,
432,80001620,
433,80000932,
434,80000079,
435,80000083,
436,80000086,
437,80000097,
438,80000110,
439,80000111,
440,80000119,
441,80000120,
442,80000121,
443,80000126,
444,80000128,
445,80000162,
446,80000180,
447,80000206,
448,80000208,
449,80000216,
450,80000219,
451,80000503,
452,80000560,
453,80000666,
454,80000602,
455,80000930,
456,80001176,
457,80000641,
458,80000657,
459,80000663,
460,80000771,
461,80000790,
462,80000851,
463,80000865,
464,80001179,
465,80001496,
466,80001499,
467,80001501,
468,80001594,
469,80001599,
470,80001610,
471,80000594,
472,80000596,
473,80000597,
474,80000598,
475,80000763,
476,80000850,
477,80000909,
478,80001122,
479,80001201,
480,80001202,
481,80001220,
482,80001222,
483,80001241,
484,80001300,
485,80001430,
486,80001433,
487,80001471,
488,80001503,
489,80001506,
490,80001513,
491,80001518,
492,80001605,
493,80000880,
494,80000881,
495,80000918,
496,80001206,
497,80001208,
498,80001216,
499,80001232,
500,80002723,
501,80002724,
502,80002725,
503,80002751,
504,80002841,
505,80002871,
506,80000512,
507,80000592,
508,80000586,
509,80000587,
510,80000541,
511,80000660,
512,80000780,
513,80000628,
514,80001204,
515,80066153,
516,80000961,
517,80000963,
518,80000793,
519,80001569,
520,80000570,
521,80000664,
522,80000591,
523,80000593,
524,80000623,
525,80000647,
526,80000651,
527,80000652,
528,80000655,
529,80000661,
530,80000662,
531,80001193,
532,80012427,
533,80018159,
534,80022066,
535,80044553,
536,80000745,
537,80000770,
538,80000887,
539,80000902,
540,80000574,
541,80000782,
542,80001143,
543,80001561,
544,80001560,
545,80000595,
546,80000653,
547,80000654,
548,80000791,
549,80000949,
550,80001555,
551,80000800,
552,80002484,
553,80000285,
554,80000286,
555,80000346,
556,80000466,
557,80000476,
558,80000911,
559,80000913,
560,80001113,
561,80001114,
562,80001146,
563,80001162,
564,80001218,
565,80001236,
566,80001323,
567,80001324,
568,80001545,
569,80001556,
570,80001572,
571,80001696,
572,80001796,
573,80001819,
574,80001821,
575,80001988,
576,80003051,
577,80003265,
578,80003702,
579,80003836,
580,80003847,
581,80003858,
582,80003860,
583,80004440,
584,80004505,
585,80004520,
586,80005196,
587,80005259,
588,80005262,
589,80005302,
590,80000931,
591,80007921,
592,80008485,
593,80001535,
594,80000590,
595,80001221,
596,80001606,
597,80001611,
598,80000050,
599,80000067,
600,80000073,
601,80000085,
602,80000087,
603,80000088,
604,80000089,0.0
605,80000133,
606,80000138,
607,80000184,
608,80000185,
609,80000187,
610,80000251,
611,80000281,
612,80000323,
613,80000324,
614,80000339,
615,80000342,
616,80000344,
617,80000345,
618,80000350,
619,80000351,
620,80000356,
621,80000358,
622,80000361,
623,80000385,
624,80000473,
625,80000474,
626,80000475,
627,80000498,
628,80000508,
629,80000529,
630,80000537,
631,80000545,
632,80000547,
633,80000582,
634,80000669,
635,80000670,
636,80000671,
637,80000673,
638,80000674,
639,80000789,
640,80000840,
641,80000866,
642,80000890,
643,80000896,
644,80000914,
645,80000936,
646,80000975,
647,80001028,
648,80001110,
649,80001115,
650,80001141,
651,80001150,
652,80001392,
653,80001425,
654,80001440,
655,80001705,
656,80001924,
657,80001925,
658,80001926,
659,80001973,
660,80002096,
661,80002612,
662,80002614,
663,80002821,
664,80002824,
665,80002842,
666,80002843,
667,80002956,
668,80002957,
669,80002973,
670,80002988,
671,80002989,
672,80003010,
673,80003053,
674,80003055,
675,80003056,
676,80003074,
677,80003078,
678,80003458,
679,80003460,
680,80003490,
681,80003506,
682,80003549,
683,80004101,
684,80004218,
685,80004340,
686,80004762,
687,80004823,
688,80004857,
689,80004868,
690,80004889,
691,80004894,
692,80005009,
693,80005025,
694,80005115,
695,80005554,
696,80005702,
697,80005703,
698,80005704,
699,80005705,
700,80005706,
701,80005707,
702,80005709,
703,80005763,
704,80005766,
705,80005774,
706,80005775,
707,80006669,
708,80006903,
709,80006915,
710,80006922,
711,80006986,
712,80007008,
713,80007421,0.0
714,80007655,
715,80008369,
716,80008693,
717,80009712,
718,80010108,
719,80010940,
720,80011000,
721,80011590,
722,80012866,
723,80013285,
724,80014235,
725,80014881,
726,80019581,
727,80027428,
728,80027443,
729,80028119,
730,80028122,
731,80041786,
732,80042032,
733,80042034,
734,80042036,
735,80042041,
736,80042045,
737,80042046,
738,80042049,
739,80042707,
740,80043992,
741,80043993,
742,80044005,
743,80044010,
744,80044049,
745,80045201,
746,80045203,
747,80045208,
748,80049406,
749,80050632,
750,80051334,
751,80051345,
752,80073915,
753,80089077,
754,80089308,
755,80093266,
756,80094607,
757,80096961,
758,80097186,
759,80000605,
760,80000608,
761,80001958,
762,80002372,
763,80000551,
764,80000581,
765,80000750,
766,80000752,
767,80001001,
768,80001405,
769,80001406,
770,80001422,
771,80001683,
772,80001835,
773,80001840,
774,80001850,
775,80001869,
776,80001921,
777,80001923,
778,80002087,
779,80002090,
780,80002092,
781,80002099,
782,80002124,
783,80002129,
784,80002130,
785,80002330,
786,80002369,
787,80002381,
788,80002445,
789,80002481,
790,80002808,
791,80002819,
792,80003573,
793,80003574,
794,80003578,
795,80003579,
796,80003694,
797,80003722,
798,80003754,
799,80003803,
800,80003850,
801,80003871,
802,80003872,
803,80003873,
804,80004036,
805,80004040,
806,80001211,
807,80000555,
808,80000624,
809,80000646,
810,80000649,
811,80001564,
812,80000788,
813,80000939,
814,80000933,
815,80000477,
816,80000562,
817,80000675,
818,80000687,
819,80000692,
820,80000702,
821,80000705,
822,80000709,
823,80000746,
824,80000757,
825,80000761,
826,80000830,
827,80000853,
828,80000864,
829,80000877,
830,80001019,
831,80001022,
832,80001135,
833,80001137,
834,80001138,
835,80001139,
836,80001153,
837,80001169,
838,80001174,
839,80001266,
840,80001267,
841,80001268,
842,80001327,
843,80001360,
844,80001362,
845,80001434,
846,80001436,
847,80001464,
848,80001677,
849,80001892,
850,80005513,
851,80005519,
852,80018406,
853,80110518,
854,80112741,
855,80114471,
856,80120580,
857,80123263,
858,80115245,
859,80000831,
860,80110478,
861,80111566,
862,80114472,
863,80116407,
864,80116792,
865,80116810,
866,80117301,
867,80119235,
868,80121828,
869,80122503,
870,80129181,
871,80132262,1.0
872,80000684,
873,80001023,
874,80000683,
875,80000807,
876,80000849,
877,80001798,
878,80001018,
879,80001124,
880,80000708,
881,80001026,
882,80001233,
883,80000729,
884,80000758,
885,80000762,
886,80000818,
887,80000977,
888,80000992,
889,80001016,
890,80001095,
891,80001096,
892,80001598,
893,80003479,
894,80003480,
895,80003560,
896,80003600,
897,80004244,
898,80004738,
899,80004782,
900,80004783,
901,80006414,
902,80007145,
903,80007147,
904,80007208,
905,80011038,
906,80011039,
907,80011633,
908,80022207,
909,80022216,
910,80022574,
911,80000759,
912,80000981,
913,80000773,
914,80005386,
915,80005387,
916,80006146,
917,80000271,
918,80000928,
919,80000937,
920,80001118,
921,80001123,
922,80001152,
923,80001160,
924,80001426,
925,80001553,
926,80001558,
927,80001549,
928,80002095,
929,80002101,
930,80002102,
931,80002279,
932,80002291,
933,80002413,
934,80002415,
935,80000767,
936,80000787,
937,80000835,
938,80000946,
939,80001361,
940,80000935,
941,80000943,
942,80000784,
943,80000786,
944,80000920,
945,80000922,
946,80001156,
947,80001166,
948,80001198,
949,80001407,
950,80000410,
951,80000454,
952,80000483,0.0
953,80000494,
954,80000535,
955,80000636,
956,80000980,
957,80001514,
958,80001517,
959,80001863,
960,80001876,
961,80002493,
962,80002496,
963,80002499,
964,80002506,
965,80002596,
966,80004511,
967,80004519,
968,80005178,
969,80005179,
970,80006051,
971,80006055,
972,80001197,
973,80093924,
974,80000945,
975,80001098,
976,80001099,
977,80001363,
978,80001376,
979,80001486,
980,80001502,
981,80001968,
982,80003519,
983,80004247,
984,80004249,
985,80005126,
986,80000873,
987,80009010,
988,80021750,
989,80062565,
990,80077694,
991,80015001,
992,80000863,
993,80003538,
994,80008399,
995,80001173,
996,80001175,
997,80001525,
998,80000897,
999,80000908,
1000,80001187,
1001,80001571,
1002,80000820,
1003,80000816,
1004,80000817,
1005,80000861,
1006,80001297,
1007,80001299,
1008,80001346,
1009,80000842,
1010,80001054,
1011,80001073,
1012,80001410,
1013,80001448,
1014,80000814,
1015,80000843,
1016,80001063,
1017,80001066,
1018,80001352,
1019,80001357,
1020,80000844,
1021,80000846,
1022,80001076,
1023,80001077,
1024,80001289,
1025,80001290,
1026,80000810,
1027,80000811,
1028,80001262,
1029,80001343,
1030,80001671,
1031,80001884,
1032,80002196,
1033,80002197,
1034,80003603,
1035,80003609,
1036,80011608,
1037,80012109,
1038,80013140,
1039,80013236,
1040,80013239,
1041,80014462,
1042,80029195,
1043,80001455,
1044,80000847,
1045,80001057,
1046,80001061,
1047,80001348,
1048,80001349,
1049,80000092,
1050,80000093,
1051,80000094,
1052,80000122,
1053,80000123,
1054,80000127,
1055,80000136,
1056,80000137,
1057,80000141,
1058,80000142,
1059,80000144,
1060,80000210,
1061,80000245,
1062,80000252,
1063,80000264,
1064,80000272,
1065,80000274,
1066,80000277,
1067,80000280,
1068,80000282,
1069,80001188,
1070,80000686,
1071,80000878,
1072,80000879,
1073,80000611,
1074,80000612,
1075,80000613,
1076,80000795,
1077,80000797,
1078,80000828,
1079,80000948,
1080,80000959,
1081,80000969,
1082,80000970,
1083,80000982,
1084,80000988,
1085,80000989,
1086,80000999,
1087,80001046,
1088,80001047,
1089,80001085,
1090,80001086,
1091,80001117,
1092,80001121,
1093,80001219,
1094,80001223,
1095,80001239,
1096,80001242,
1097,80001423,
1098,80001427,
1099,80001437,
1100,80001438,
1101,80001442,
1102,80001470,
1103,80001477,
1104,80001498,
1105,80001505,
1106,80001508,
1107,80001538,
1108,80001559,
1109,80001565,
1110,80001586,
1111,80001596,
1112,80001597,
1113,80001735,
1114,80001752,
1115,80001818,
1116,80001831,
1117,80001832,
1118,80001839,
1119,80001843,
1120,80001852,
1121,80001853,
1122,80002022,
1123,80002024,
1124,80002025,
1125,80002026,
1126,80002305,
1127,80002321,
1128,80002695,
1129,80003177,
1130,80003270,
1131,80003430,
1132,80003433,
1133,80003545,
1134,80003547,
1135,80003618,
1136,80003624,
1137,80003625,
1138,80003629,
1139,80003649,
1140,80003664,
1141,80003673,
1142,80001497,
1143,80000941,
1144,80000947,
1145,80001196,
1146,80001563,
1147,80000150,
1148,80000168,
1149,80000178,
1150,80000196,
1151,80000201,
1152,80000215,
1153,80000876,
1154,80000925,
1155,80001546,
1156,80000253,
1157,80000408,
1158,80000888,
1159,80000966,
1160,80001702,
1161,80001155,
1162,80000938,
1163,80000942,
1164,80001041,
1165,80001483,
1166,80001484,
1167,80001487,
1168,80001488,
1169,80000883,
1170,80000885,
1171,80013203,
1172,80001120,
1173,80001259,
1174,80000899,
1175,80001067,
1176,80001573,
1177,80001030,
1178,80001053,
1179,80001338,
1180,80002008,
1181,80002164,
1182,80002495,
1183,80005075,
1184,80009338,
1185,80001885,
1186,80002007,
1187,80009507,
1188,80044021,
1189,80045907,
1190,80051439,
1191,80052122,
1192,80053364,
1193,80054138,
1194,80054139,
1195,80054697,
1196,80055378,
1197,80056892,
1198,80106596,
1199,80107274,
1200,80107756,
1201,80108477,
1202,80108489,
1203,80110968,
1204,80113970,
1205,80114017,
1206,80118790,
1207,80121912,
1208,80121921,
1209,80124603,
1210,80124672,
1211,80126041,
1212,80126046,
1213,80127096,
1214,80128748,
1215,80130920,
1216,80132247,1.0
1217,80001374,
1218,80001388,
1219,80001029,
1220,80001133,
1221,80001261,
1222,80001444,
1223,80001454,
1224,80001886,
1225,80001887,
1226,80002011,
1227,80002118,
1228,80002235,
1229,80002237,
1230,80002488,
1231,80002490,
1232,80002575,
1233,80003231,
1234,80003429,
1235,80003442,
1236,80003813,
1237,80004293,
1238,80004930,
1239,80005005,
1240,80005276,
1241,80005290,
1242,80006044,
1243,80007057,
1244,80007644,
1245,80007959,
1246,80009006,
1247,80009008,
1248,80009524,
1249,80011103,
1250,80013488,0.0
1251,80046091,
1252,80050465,
1253,80052084,
1254,80053223,
1255,80053324,
1256,80054257,
1257,80054262,
1258,80054643,
1259,80054645,
1260,80059144,0.0
1261,80059565,
1262,80059571,
1263,80059573,
1264,80059579,
1265,80060438,
1266,80060444,
1267,80068604,
1268,80123899,
1269,80123928,
1270,80129635,
1271,80130411,
1272,80131886,1.0
1273,80132253,1.0
1274,80132775,1.0
1275,80001186,
1276,80001252,
1277,80001520,
1278,80002340,
1279,80001100,
1280,80001101,
1281,80002512,
1282,80003132,
1283,80005929,
1284,80009425,
1285,80001584,
1286,80000954,
1287,80001528,
1288,80001052,
1289,80001547,
1290,80001551,
1291,80001567,
1292,80001568,
1293,80001195,
1294,80000934,
1295,80001172,
1296,80001238,
1297,80000921,
1298,80000967,
1299,80001185,
1300,80000919,
1301,80001031,
1302,80000976,
1303,80001007,
1304,80002620,
1305,80002847,
1306,80003824,
1307,80000923,
1308,80001270,
1309,80001055,
1310,80001069,
1311,80001755,
1312,80001766,
1313,80001773,
1314,80001774,
1315,80001015,
1316,80110638,
1317,80111802,
1318,80111857,
1319,80114468,
1320,80117834,
1321,80121238,
1322,80123915,
1323,80126877,
1324,80128170,
1325,80003835,
1326,80007559,
1327,80008618,
1328,80000995,
1329,80001017,
1330,80001024,
1331,80001355,
1332,80001604,
1333,80003608,
1334,80004100,
1335,80004109,
1336,80004226,
1337,80005710,
1338,80007294,
1339,80008437,
1340,80011373,
1341,80001899,
1342,80001044,
1343,80001045,
1344,80001280,
1345,80001284,
1346,80001676,
1347,80001743,
1348,80002717,
1349,80003006,
1350,80003008,
1351,80003638,
1352,80008372,
1353,80006451,
1354,80002562,
1355,80002563,
1356,80001130,
1357,80001151,
1358,80001608,
1359,80001801,
1360,80001802,
1361,80001846,
1362,80002069,
1363,80002115,
1364,80002123,
1365,80002199,
1366,80002259,
1367,80002584,
1368,80002585,
1369,80009011,
1370,80009017,
1371,80009018,
1372,80002580,
1373,80001134,
1374,80001136,
1375,80001291,
1376,80001319,
1377,80001542,
1378,80001543,
1379,80001630,
1380,80001815,
1381,80002076,
1382,80002586,
1383,80004498,
1384,80006030,
1385,80006185,
1386,80003994,
1387,80001090,
1388,80001091,
1389,80001902,
1390,80002173,
1391,80004883,
1392,80002119,
1393,80001010,
1394,80001254,
1395,80001288,
1396,80002511,
1397,80001411,
1398,80001414,
1399,80001417,
1400,80001009,
1401,80001011,
1402,80001304,
1403,80001420,
1404,80001643,
1405,80001644,
1406,80001645,
1407,80001646,
1408,80002206,
1409,80021253,
1410,80021368,
1411,80057884,
1412,80057939,
1413,80058973,
1414,80102253,0.0
1415,80001337,
1416,80001224,
1417,80001225,
1418,80001226,
1419,80001227,
1420,80001229,
1421,80001234,
1422,80001237,
1423,80001036,
1424,80000733,
1425,80000734,
1426,80001837,
1427,80001950,
1428,80001325,
1429,80001689,
1430,80001694,
1431,80001695,
1432,80001959,
1433,80001989,
1434,80001991,
1435,80001995,
1436,80045542,
1437,80045546,
1438,80001107,
1439,80001485,
1440,80001730,
1441,80001731,
1442,80001178,
1443,80001192,
1444,80012905,
1445,80012931,
1446,80014958,
1447,80015002,
1448,80008755,
1449,80009461,
1450,80001171,
1451,80001298,
1452,80001461,
1453,80001463,
1454,80001882,
1455,80001969,
1456,80017072,
1457,80100088,
1458,80001524,
1459,80001451,
1460,80001071,
1461,80001072,
1462,80001263,
1463,80001519,
1464,80001522,
1465,80001964,
1466,80012571,
1467,80001492,
1468,80001084,
1469,80001662,
1470,80001385,
1471,80002710,
1472,80003598,
1473,80004327,
1474,80004329,
1475,80061300,
1476,80001759,
1477,80001760,
1478,80001761,
1479,80001339,
1480,80001314,
1481,80001168,
1482,80001489,
1483,80002066,
1484,80002067,
1485,80001740,
1486,80001741,
1487,80001750,
1488,80001065,
1489,80001068,
1490,80001294,
1491,80001296,
1492,80001350,
1493,80001512,
1494,80004689,
1495,80001064,
1496,80001467,
1497,80007756,
1498,80008071,
1499,80008752,
1500,80009088,
1501,80044646,
1502,80055895,
1503,80115876,
1504,80123307,
1505,80009025,
1506,80001985,
1507,80001079,
1508,80002073,
1509,80002252,
1510,80008354,
1511,80011540,
1512,80013965,
1513,80001080,
1514,80001082,
1515,80001851,
1516,80001906,
1517,80002083,
1518,80001253,
1519,80001799,
1520,80002116,
1521,80002117,
1522,80003594,
1523,80004910,
1524,80001060,
1525,80001510,
1526,80001965,
1527,80009558,
1528,80001722,
1529,80001889,
1530,80002074,
1531,80002150,
1532,80002227,
1533,80002271,
1534,80002274,
1535,80002397,
1536,80004403,
1537,80001292,
1538,80001867,
1539,80001868,
1540,80001871,
1541,80002492,
1542,80001293,
1543,80001295,
1544,80001177,
1545,80001509,
1546,80001826,
1547,80001848,
1548,80001862,
1549,80002077,
1550,80002078,
1551,80001412,
1552,80001449,
1553,80001754,
1554,80001770,
1555,80001771,
1556,80001148,
1557,80001317,
1558,80001447,
1559,80001590,
1560,80001595,
1561,80001928,0.0
1562,80001949,
1563,80001986,
1564,80001453,
1565,80001533,
1566,80001566,
1567,80000108,
1568,80000544,
1569,80001393,
1570,80001684,
1571,80001685,
1572,80001686,
1573,80001687,
1574,80001688,
1575,80001697,
1576,80001955,
1577,80001956,
1578,80001957,
1579,80001960,
1580,80002303,
1581,80002310,
1582,80002316,
1583,80002333,
1584,80002380,
1585,80002385,
1586,80002387,
1587,80002391,
1588,80002405,
1589,80003462,
1590,80003529,
1591,80004422,
1592,80004425,
1593,80004501,
1594,80004524,
1595,80004526,
1596,80004530,
1597,80004533,
1598,80004535,
1599,80004537,
1600,80004592,
1601,80004737,
1602,80004850,
1603,80004916,
1604,80004920,
1605,80004924,
1606,80005105,
1607,80005107,
1608,80005195,
1609,80005197,
1610,80005279,
1611,80005284,
1612,80005291,
1613,80005295,
1614,80005315,
1615,80005745,
1616,80005748,
1617,80005752,
1618,80005755,
1619,80005758,
1620,80005759,
1621,80010088,
1622,80010103,
1623,80001093,
1624,80001106,
1625,80001164,
1626,80001278,
1627,80001429,
1628,80001580,
1629,80001592,
1630,80001215,
1631,80001094,
1632,80001097,
1633,80001574,
1634,80001132,
1635,80001199,
1636,80001235,
1637,80003541,
1638,80001316,
1639,80001256,
1640,80002565,
1641,80003031,
1642,80004229,
1643,80001421,
1644,80002086,
1645,80001210,
1646,80001706,
1647,80002559,
1648,80001334,
1649,80001481,
1650,80001342,
1651,80002498,
1652,80002638,
1653,80002996,
1654,80003417,
1655,80004110,
1656,80004158,
1657,80004419,
1658,80004817,
1659,80004845,
1660,80005569,
1661,80005570,
1662,80005835,
1663,80006456,
1664,80007042,
1665,80007168,
1666,80007346,
1667,80007362,
1668,80007476,
1669,80007739,
1670,80007931,
1671,80008808,
1672,80009777,
1673,80009863,
1674,80009866,
1675,80010608,
1676,80010610,
1677,80010982,
1678,80011079,
1679,80011730,
1680,80011731,
1681,80011957,
1682,80011967,
1683,80011968,
1684,80011969,
1685,80011972,
1686,80012704,
1687,80012705,
1688,80012848,
1689,80013199,
1690,80013219,
1691,80013222,
1692,80013227,
1693,80013252,
1694,80013265,
1695,80013735,
1696,80013774,
1697,80013935,
1698,80013949,
1699,80013987,
1700,80014492,
1701,80014513,
1702,80014525,
1703,80016278,
1704,80016279,
1705,80001351,
1706,80001354,
1707,80001379,
1708,80001927,
1709,80001265,
1710,80001322,
1711,80001381,
1712,80002071,
1713,80002715,
1714,80009882,
1715,80001264,
1716,80001257,
1717,80002547,
1718,80005539,
1719,80001326,
1720,80002645,
1721,80001441,
1722,80001782,
1723,80001845,
1724,80005638,
1725,80007653,
1726,80008668,0.0
1727,80008789,
1728,80009245,0.0
1729,80010241,
1730,80012493,
1731,80044728,
1732,80055186,
1733,80055834,
1734,80118005,
1735,80001456,
1736,80001458,
1737,80001858,
1738,80001861,
1739,80001274,
1740,80001446,
1741,80001460,
1742,80001465,
1743,80001860,
1744,80001865,
1745,80002017,
1746,80002395,
1747,80002935,
1748,80001020,
1749,80001763,
1750,80002019,
1751,80002021,
1752,80002223,
1753,80011611,
1754,80001131,
1755,80001838,
1756,80001849,
1757,80001856,
1758,80002084,
1759,80003981,
1760,80005189,
1761,80001537,
1762,80001554,
1763,80001588,
1764,80001275,
1765,80001621,
1766,80003032,
1767,80001807,
1768,80004379,
1769,80061370,
1770,80001804,
1771,80016806,
1772,80018454,
1773,80001255,
1774,80001640,
1775,80001704,
1776,80001720,
1777,80001725,
1778,80001817,
1779,80002038,
1780,80002169,
1781,80002219,
1782,80002270,
1783,80002924,
1784,80007071,
1785,80007082,
1786,80001634,
1787,80002062,
1788,80006868,
1789,80001480,
1790,80001478,
1791,80002293,
1792,80004114,
1793,80004490,
1794,80004727,
1795,80004734,
1796,80001962,
1797,80001724,
1798,80001775,
1799,80001983,
1800,80005824,
1801,80006490,
1802,80007055,
1803,80007989,
1804,80009817,
1805,80001475,
1806,80001380,
1807,80001570,
1808,80035544,
1809,80047410,
1810,80049819,
1811,80052290,
1812,80055074,
1813,80092229,
1814,80097657,
1815,80001367,
1816,80001515,
1817,80002079,
1818,80006503,
1819,80001005,
1820,80001006,
1821,80001070,
1822,80001147,
1823,80001149,
1824,80001315,
1825,80001353,
1826,80001369,
1827,80001373,
1828,80001399,
1829,80001647,
1830,80001670,
1831,80001716,
1832,80001734,
1833,80001736,
1834,80001998,
1835,80002287,
1836,80001359,
1837,80001888,
1838,80002268,
1839,80001583,
1840,80001587,
1841,80001631,
1842,80001997,
1843,80002352,
1844,80002354,
1845,80001397,
1846,80001954,
1847,80001511,
1848,80001602,
1849,80001540,
1850,80001859,
1851,80001680,
1852,80002052,
1853,80000130,
1854,80000131,
1855,80000183,
1856,80000217,
1857,80000227,
1858,80000302,0.0
1859,80000343,
1860,80000404,
1861,80000409,
1862,80000413,
1863,80000422,
1864,80000423,
